--- ABOUT ---
"Magellanic Cloud Limited was originally incorporated with ROC, Kolkata in 1981 in the name of “South India Projects Limited”. It is present in Europe, USA and Asia. The company provides its IT services in software development, consulting and human resource business solutions i.e. listing employment vacancies and referring or placing applicants for employment. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,722",29.2,105,14.9

Book Value,Dividend Yield,ROCE,ROE
11.6,0.10,19.8,19.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,115,138,154,131,137,132,157,151,156,164,164,164,206
Expenses +,82,99,114,81,83,79,106,96,111,107,111,111,153
Operating Profit,32,39,41,51,54,53,52,56,45,57,54,53,53
OPM %,28%,28%,26%,39%,39%,40%,33%,37%,29%,35%,33%,32%,26%
Other Income +,2,1,1,1,15,1,0,0,3,0,1,-1,6
Interest,3,4,5,5,6,6,6,6,7,6,6,7,7
Depreciation,7,9,8,12,11,11,11,11,11,11,12,12,16
Profit before tax,24,27,28,34,52,38,35,39,30,40,38,33,35
Tax %,26%,29%,22%,33%,24%,30%,31%,25%,26%,31%,27%,13%,15%
Net Profit +,18,19,22,23,39,27,24,29,23,28,28,29,30
EPS in Rs,0.31,0.33,0.38,0.39,0.67,0.45,0.42,0.50,0.38,0.47,0.48,0.50,0.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,20,161,204,174,212,253,427,561,600,698
Expenses +,18,154,193,164,210,245,319,377,394,482
Operating Profit,2,7,10,11,2,7,108,184,206,216
OPM %,8%,5%,5%,6%,1%,3%,25%,33%,34%,31%
Other Income +,0,-0,0,1,2,30,19,17,4,7
Interest,0,0,1,1,1,2,12,21,25,26
Depreciation,0,0,0,1,1,3,21,40,42,51
Profit before tax,1,7,9,9,1,33,94,140,143,146
Tax %,39%,36%,17%,24%,-48%,10%,21%,27%,28%,22%
Net Profit +,1,4,8,7,2,29,74,103,103,114
EPS in Rs,0.02,0.09,0.16,0.12,0.04,0.59,1.26,1.76,1.76,1.94
Dividend Payout %,29%,0%,0%,21%,71%,4%,2%,2%,2%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,25,25,25,25,117,117,117,118
Reserves,30,34,23,29,28,52,180,290,401,569
Borrowings +,7,1,11,39,80,91,216,279,257,292
Other Liabilities +,18,30,19,33,21,27,207,114,115,175
Total Liabilities,60,70,78,127,155,195,720,799,889,"1,153"
Fixed Assets +,18,19,18,46,72,72,429,440,444,537
CWIP,0,0,0,0,0,0,1,22,42,5
Investments,0,0,0,0,0,0,0,0,5,47
Other Assets +,42,51,59,81,83,123,289,337,398,563
Total Assets,60,70,78,127,155,195,720,799,889,"1,153"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-2,8,-10,12,-15,50,160,32,143,92
Cash from Investing Activity +,3,-1,1,-8,-21,-4,-367,-76,-64,-164
Cash from Financing Activity +,-1,-6,10,5,31,7,203,6,-48,44
Net Cash Flow,-0,0,0,9,-4,53,-5,-37,31,-28
Free Cash Flow,-2,7,-10,3,-36,45,52,-45,84,27
CFO/OP,-110%,149%,-67%,146%,-799%,719%,158%,32%,75%,58%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,517,78,70,91,78,60,58,153,170,184
Inventory Days,,,,,20,,,,,
Days Payable,,,,,191,,,,,
Cash Conversion Cycle,517,78,70,91,-93,60,58,153,170,184
Working Capital Days,320,46,51,35,77,12,-13,86,62,113
ROCE %,,18%,20%,13%,2%,23%,31%,27%,23%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.64%,58.64%,58.64%,58.64%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,54.04%,54.04%
FIIs +,0.00%,0.23%,0.44%,0.19%,0.28%,1.06%,0.92%,0.51%,0.44%,0.43%,0.26%,0.22%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.02%
Public +,41.35%,41.13%,40.92%,41.16%,41.42%,40.63%,40.77%,41.16%,41.25%,41.27%,45.69%,45.70%
No. of Shareholders,"9,824","15,796","14,781","15,847","15,296","27,260","36,530","38,215","38,685","58,799","1,18,655","1,06,611"

--- CAGR BOXES ---




