--- ABOUT ---
"Incorporated in 2013, SolarWorld Energy Solutions Limited is a solar energy solutions provider specializing in engineering, procurement, and construction (EPC) services for solar power projects. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,626",188,389,13.5

Book Value,Dividend Yield,ROCE,ROE
97.8,0.00,23.8,20.8

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,23,142,204,176,68,138,578,592
Expenses +,17,112,145,163,60,123,514,534
Operating Profit,5,30,59,13,9,15,65,58
OPM %,23%,21%,29%,7%,13%,11%,11%,10%
Other Income +,1,1,1,3,12,3,10,16
Interest,1,2,2,2,3,4,6,7
Depreciation,0,0,0,0,0,1,2,2
Profit before tax,5,29,58,14,17,13,66,65
Tax %,51%,23%,27%,32%,26%,27%,26%,24%
Net Profit +,3,22,43,9,13,9,49,49
EPS in Rs,75.39,3.14,5.76,1.27,1.74,1.07,5.68,5.66
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,28,232,501,545,"1,376"
Expenses +,26,211,432,438,"1,229"
Operating Profit,2,21,69,107,147
OPM %,8%,9%,14%,20%,11%
Other Income +,5,4,7,6,40
Interest,4,6,7,6,21
Depreciation,0,0,0,0,5
Profit before tax,2,19,68,107,161
Tax %,9%,23%,24%,28%,25%
Net Profit +,2,15,52,77,120
EPS in Rs,68.75,463.75,"1,615.31",10.39,13.90
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.32,0.32,0.32,37,43
Reserves,7,22,73,272,804
Borrowings +,52,65,61,115,255
Other Liabilities +,8,34,20,174,585
Total Liabilities,67,120,155,598,"1,688"
Fixed Assets +,0,1,2,37,151
CWIP,0,0,0,88,43
Investments,6,7,9,7,0
Other Assets +,61,112,145,465,"1,494"
Total Assets,67,120,155,598,"1,688"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-4,-7,7,54,-5
Cash from Investing Activity +,-19,3,19,-274,-48
Cash from Financing Activity +,21,6,-10,210,54
Net Cash Flow,-1,2,16,-9,1
Free Cash Flow,-4,-8,7,-98,-11
CFO/OP,-173%,-14%,29%,84%,-0%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,140,80,22,97,92
Inventory Days,30,3,2,2,33
Days Payable,65,23,12,67,138
Cash Conversion Cycle,105,60,12,32,-13
Working Capital Days,-35,20,28,56,29
ROCE %,,35%,68%,40%,24%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.67%,65.67%,65.77%
FIIs +,3.40%,1.49%,1.23%
DIIs +,11.80%,11.20%,11.41%
Public +,19.13%,21.65%,21.59%
No. of Shareholders,"36,896","38,830","38,875"

--- CAGR BOXES ---




