--- ABOUT ---
"Anupam Rasayan India Ltd is engaged in manufacturing of specialty chemicals, which are sold in local as well as exported to other countries. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,540","1,277","1,415",85.5

Book Value,Dividend Yield,ROCE,ROE
293,0.06,7.36,5.50

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,480,386,392,296,401,254,294,390,500,486,731,512,636
Expenses +,363,285,285,216,308,201,214,266,356,362,596,385,498
Operating Profit,117,101,107,79,93,53,80,124,144,124,136,127,137
OPM %,24%,26%,27%,27%,23%,21%,27%,32%,29%,26%,19%,25%,22%
Other Income +,24,12,3,2,12,6,2,-4,6,5,8,2,3
Interest,20,18,20,25,26,22,27,32,31,36,36,35,42
Depreciation,19,19,20,20,21,21,22,29,31,31,32,34,43
Profit before tax,103,77,71,36,58,16,34,59,88,63,76,60,56
Tax %,29%,32%,31%,28%,30%,25%,10%,9%,29%,23%,24%,-1%,0%
Net Profit +,73,52,49,26,40,12,31,54,63,48,57,61,56
EPS in Rs,5.27,3.59,3.78,1.68,2.82,0.36,1.52,2.56,4.05,3.10,3.90,4.31,3.75
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,502,529,811,"1,074","1,602","1,475","1,437","2,365"
Expenses +,408,394,617,769,"1,171","1,094","1,036","1,841"
Operating Profit,93,135,194,305,431,381,401,525
OPM %,19%,25%,24%,28%,27%,26%,28%,22%
Other Income +,19,11,26,8,10,30,11,18
Interest,24,45,69,31,63,89,112,149
Depreciation,23,29,52,60,71,80,102,140
Profit before tax,66,72,100,222,308,242,198,254
Tax %,24%,26%,30%,31%,30%,31%,19%,13%
Net Profit +,49,53,70,152,217,167,160,222
EPS in Rs,9.85,10.64,7.04,15.18,16.83,11.71,8.49,14.94
Dividend Payout %,0%,0%,7%,7%,15%,11%,9%,10%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,50,50,100,100,107,110,110,146
Reserves,432,515,"1,473","1,627","2,265","2,651","2,740","3,188"
Borrowings +,694,847,423,836,822,"1,069","1,373","1,867"
Other Liabilities +,146,252,301,327,584,772,"1,045","2,811"
Total Liabilities,"1,323","1,664","2,298","2,891","3,778","4,602","5,269","8,013"
Fixed Assets +,681,977,"1,115","1,202","1,417","1,501","2,185","3,713"
CWIP,191,101,43,44,120,609,216,114
Investments,0,0,0,149,67,67,9,19
Other Assets +,451,586,"1,140","1,496","2,173","2,424","2,860","4,167"
Total Assets,"1,323","1,664","2,298","2,891","3,778","4,602","5,269","8,013"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,39,95,1,-171,292,59,-30,334
Cash from Investing Activity +,-250,-178,-193,-412,-523,-392,-330,-820
Cash from Financing Activity +,206,102,416,384,371,395,223,621
Net Cash Flow,-6,19,224,-199,140,62,-137,135
Free Cash Flow,-209,-85,-144,-318,232,-644,-440,-220
CFO/OP,55%,77%,10%,-44%,84%,28%,3%,72%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,88,89,92,95,95,143,186,148
Inventory Days,277,515,530,852,483,627,876,490
Days Payable,105,226,215,225,167,247,348,261
Cash Conversion Cycle,260,379,408,722,410,524,715,377
Working Capital Days,56,21,168,218,153,138,160,111
ROCE %,,9%,10%,11%,13%,9%,7%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.77%,60.73%,61.41%,61.26%,61.23%,61.23%,61.19%,61.19%,61.19%,59.07%,59.07%,59.07%
FIIs +,9.79%,10.26%,9.13%,8.07%,7.14%,7.00%,7.46%,6.47%,4.94%,7.63%,7.60%,6.91%
DIIs +,3.74%,1.76%,2.51%,2.56%,2.56%,2.30%,2.32%,2.25%,2.24%,1.37%,0.41%,0.35%
Public +,25.71%,27.25%,26.96%,28.10%,29.06%,29.47%,29.06%,30.11%,31.65%,31.93%,32.89%,33.65%
No. of Shareholders,"61,504","61,129","60,089","57,623","62,218","63,866","60,938","57,478","47,711","48,785","47,469","43,475"

--- CAGR BOXES ---




