--- ABOUT ---
"Ganesha Ecosphere Ltd is a leading PET Waste Recycling company in India and is engaged in the manufacturing of Recycled Polyester Staple Fibre (RPSF), Spun yarn and dyed texturised yarn in India. [1] It was incorporated in 1987 as Ganesh Polytex Ltd and was renamed as Ganesha Ecosphere Ltd in October 2011. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,485",928,"1,640",65.0

Book Value,Dividend Yield,ROCE,ROE
476,0.49,5.42,3.15

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,302,254,278,285,306,337,387,398,344,337,363,357,424
Expenses +,268,229,253,245,258,289,332,341,293,301,341,326,372
Operating Profit,34,26,25,40,47,48,55,57,51,36,22,31,52
OPM %,11%,10%,9%,14%,15%,14%,14%,14%,15%,11%,6%,9%,12%
Other Income +,4,3,3,4,4,4,4,5,5,3,5,4,5
Interest,7,11,12,13,9,8,10,11,10,10,11,10,9
Depreciation,9,12,12,12,12,13,14,14,14,16,16,16,17
Profit before tax,22,5,4,19,31,30,36,37,32,14,1,8,31
Tax %,29%,29%,38%,33%,29%,25%,25%,20%,27%,25%,186%,42%,25%
Net Profit +,15,3,3,13,22,23,27,30,24,11,-0,5,23
EPS in Rs,7.05,1.58,1.28,5.83,8.52,8.90,10.70,11.72,9.33,4.22,-0.19,1.77,8.66
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,889,751,"1,021","1,180","1,123","1,466","1,482"
Expenses +,777,666,907,"1,052",985,"1,255","1,340"
Operating Profit,112,85,114,128,138,211,142
OPM %,13%,11%,11%,11%,12%,14%,10%
Other Income +,7,9,7,13,15,18,17
Interest,8,9,10,17,45,38,40
Depreciation,28,27,28,29,49,55,65
Profit before tax,83,58,83,95,59,135,54
Tax %,24%,25%,25%,27%,31%,24%,29%
Net Profit +,64,44,62,69,41,103,38
EPS in Rs,29.17,19.94,28.39,31.82,16.01,40.51,14.26
Dividend Payout %,7%,10%,7%,6%,19%,11%,25%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,22,22,22,25,25,27
Reserves,456,495,552,616,"1,027","1,125","1,249"
Borrowings +,92,127,358,505,399,556,496
Other Liabilities +,96,103,163,179,173,227,232
Total Liabilities,666,747,"1,095","1,323","1,624","1,934","2,003"
Fixed Assets +,303,311,300,523,780,926,925
CWIP,2,17,276,235,71,51,193
Investments,83,72,69,55,33,40,26
Other Assets +,277,346,449,510,739,916,860
Total Assets,666,747,"1,095","1,323","1,624","1,934","2,003"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,80,27,65,20,43,41,171
Cash from Investing Activity +,-72,-49,-253,-166,-227,-125,-158
Cash from Financing Activity +,-23,23,208,128,223,157,-9
Net Cash Flow,-15,1,20,-18,39,73,4
Free Cash Flow,48,-31,-208,-166,-112,-166,-4
CFO/OP,93%,48%,78%,34%,44%,31%,136%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,40,51,42,36,45,43,49
Inventory Days,97,132,109,131,159,142,111
Days Payable,23,27,36,34,39,32,33
Cash Conversion Cycle,114,157,115,132,165,153,127
Working Capital Days,62,66,45,43,127,92,95
ROCE %,,11%,12%,11%,8%,11%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,42.32%,42.32%,42.32%,36.44%,36.44%,35.86%,35.86%,36.14%,36.14%,39.33%,39.33%,39.33%
FIIs +,1.75%,1.67%,0.89%,9.93%,9.79%,10.26%,12.14%,10.36%,9.19%,8.79%,7.20%,8.89%
DIIs +,18.53%,19.78%,19.94%,21.29%,21.62%,22.67%,21.92%,22.16%,22.89%,22.89%,21.88%,19.42%
Public +,37.24%,36.06%,36.69%,32.19%,31.99%,31.04%,29.90%,31.20%,31.67%,28.82%,31.46%,32.15%
Others +,0.18%,0.18%,0.18%,0.15%,0.15%,0.15%,0.15%,0.15%,0.11%,0.16%,0.12%,0.21%
No. of Shareholders,"30,236","37,345","40,514","42,728","47,713","53,761","58,908","62,358","62,132","61,645","61,054","58,405"

--- CAGR BOXES ---




