--- ABOUT ---
"PSP Projects Limited is a construction company incorporated in August 2008 offering a diversified range of construction and allied services across industrial, institutional, government, government residential, and residential projects in India. The principal promoter, Mr. Prahalad S. Patel has over three decades of experience in the construction industry. [1] It is also engaged in the real estate development of two mid-scale projects in the USA through its subsidiaries [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,842",969,"1,031",68.3

Book Value,Dividend Yield,ROCE,ROE
319,0.00,7.88,4.55

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,730,514,620,705,668,623,586,630,673,518,703,813,"1,115"
Expenses +,649,447,547,635,615,549,548,595,641,493,653,758,"1,055"
Operating Profit,81,66,72,70,53,74,38,36,32,25,50,55,60
OPM %,11%,13%,12%,10%,8%,12%,6%,6%,5%,5%,7%,7%,5%
Other Income +,7,6,6,6,6,4,5,4,5,4,4,4,5
Interest,9,9,12,15,14,13,11,10,10,11,12,11,11
Depreciation,12,12,14,19,20,17,18,19,19,17,20,24,26
Profit before tax,66,51,52,42,25,48,14,10,8,1,22,24,27
Tax %,26%,26%,26%,26%,35%,28%,25%,36%,20%,41%,28%,25%,23%
Net Profit +,46,38,39,31,16,35,10,5,6,0,16,18,21
EPS in Rs,12.78,10.51,10.70,8.63,4.31,8.75,2.58,1.27,1.63,0.11,4.08,4.50,5.32
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,472,445,752,"1,050","1,499","1,241","1,748","1,938","2,506","2,512","3,149"
Expenses +,438,378,646,901,"1,308","1,106","1,490","1,708","2,245","2,329","2,958"
Operating Profit,35,67,106,149,191,135,258,230,261,183,190
OPM %,7%,15%,14%,14%,13%,11%,15%,12%,10%,7%,6%
Other Income +,10,13,18,22,24,17,22,25,24,14,16
Interest,3,8,9,10,15,15,26,32,51,44,45
Depreciation,7,8,11,24,27,26,32,40,65,73,87
Profit before tax,35,65,102,137,173,111,222,183,169,80,74
Tax %,37%,36%,36%,35%,26%,25%,25%,26%,27%,27%,25%
Net Profit +,23,42,66,89,128,81,167,132,123,56,56
EPS in Rs,71.34,14.41,18.20,24.84,35.69,22.65,46.29,36.65,34.16,14.23,14.01
Dividend Payout %,21%,17%,27%,20%,14%,18%,11%,7%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,29,36,36,36,36,36,36,36,40,40
Reserves,61,76,265,333,418,500,651,765,879,"1,169","1,224"
Borrowings +,47,75,30,31,80,84,100,145,455,272,330
Other Liabilities +,142,148,268,335,429,372,484,819,667,873,"1,495"
Total Liabilities,253,328,600,735,963,991,"1,270","1,765","2,037","2,353","3,089"
Fixed Assets +,54,52,78,103,108,116,207,240,322,307,413
CWIP,0,0,2,0,0,42,0,18,3,3,1
Investments,14,18,16,1,1,1,1,1,1,1,1
Other Assets +,185,258,504,631,854,833,"1,062","1,507","1,711","2,042","2,674"
Total Assets,253,328,600,735,963,991,"1,270","1,765","2,037","2,353","3,089"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,40,-8,70,21,16,73,147,45,-224,53,323
Cash from Investing Activity +,-45,-4,-122,-23,-8,5,-164,-51,-26,-106,-152
Cash from Financing Activity +,6,22,81,-26,-2,-4,-11,12,269,20,10
Net Cash Flow,1,11,29,-27,6,74,-28,6,19,-33,180
Free Cash Flow,13,-14,22,-17,-18,-6,72,-34,-365,-15,130
CFO/OP,154%,10%,106%,46%,37%,72%,82%,44%,-68%,58%,195%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16,48,60,51,57,67,65,82,50,77,108
Inventory Days,17,8,43,66,66,82,60,96,147,145,107
Days Payable,145,174,160,140,148,237,189,231,194,186,143
Cash Conversion Cycle,-112,-118,-58,-22,-25,-88,-64,-53,3,35,71
Working Capital Days,-100,-112,-55,-16,-0,3,13,22,33,65,21
ROCE %,,50%,44%,40%,40%,22%,35%,25%,19%,9%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.22%,66.22%,66.22%,66.22%,60.14%,60.14%,60.14%,60.14%,60.14%,68.82%,68.82%,68.82%
FIIs +,4.20%,4.23%,3.30%,2.31%,7.02%,8.58%,7.63%,7.82%,3.11%,2.58%,2.49%,1.91%
DIIs +,5.33%,5.35%,5.01%,4.53%,10.45%,10.94%,8.09%,7.99%,2.34%,2.10%,2.18%,2.18%
Public +,24.26%,24.20%,25.48%,26.94%,22.39%,20.35%,24.14%,24.05%,34.42%,26.50%,26.51%,27.08%
No. of Shareholders,"36,911","42,346","48,541","45,772","41,861","40,839","43,244","41,197","37,294","33,522","35,636","34,179"

--- CAGR BOXES ---




