--- ABOUT ---
"Incorporated in 1981, Emcure Pharmaceuticals Ltd manufactures and markets pharmaceutical products globally [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"33,684","1,776","1,830",35.6

Book Value,Dividend Yield,ROCE,ROE
261,0.17,24.0,20.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,556","1,663","1,668","1,771","1,815","2,002","1,963","2,116","2,101","2,270","2,363","2,470"
Expenses +,"1,261","1,334","1,374","1,460","1,479","1,621","1,608","1,714","1,684","1,794","1,871","1,990"
Operating Profit,296,329,294,311,336,381,355,402,417,475,493,480
OPM %,19%,20%,18%,18%,19%,19%,18%,19%,20%,21%,21%,19%
Other Income +,15,-2,22,12,23,36,4,-6,0,3,-36,14
Interest,52,59,61,65,59,46,32,39,27,33,38,46
Depreciation,67,70,84,91,94,97,97,97,99,105,105,106
Profit before tax,191,198,171,167,207,273,230,261,291,341,314,341
Tax %,26%,26%,30%,27%,26%,26%,32%,24%,26%,26%,26%,29%
Net Profit +,141,146,120,121,153,202,156,197,215,251,231,244
EPS in Rs,7.21,7.69,6.27,6.36,7.95,10.29,8.11,9.97,10.92,12.84,12.16,12.84
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,717","5,049","5,033","5,855","5,986","6,658","7,896","9,204"
Expenses +,"3,968","4,340","3,817","4,525","4,804","5,429","6,427","7,339"
Operating Profit,749,708,"1,216","1,330","1,182","1,230","1,469","1,865"
OPM %,16%,14%,24%,23%,20%,18%,19%,20%
Other Income +,72,-25,-159,63,39,47,62,-19
Interest,223,257,155,176,214,237,176,144
Depreciation,267,321,250,245,260,312,384,415
Profit before tax,331,105,652,973,747,727,971,"1,287"
Tax %,37%,4%,36%,28%,25%,27%,27%,27%
Net Profit +,209,101,419,703,562,528,707,941
EPS in Rs,10.79,4.62,23.15,36.62,29.42,27.50,35.96,48.76
Dividend Payout %,32%,54%,4%,8%,7%,7%,8%,7%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,181,181,181,181,181,181,189,190
Reserves,"1,654","1,731","2,092","1,807","2,320","2,771","4,257","4,760"
Borrowings +,"2,128","2,327","2,310","2,217","2,334","2,335","1,023","1,558"
Other Liabilities +,"1,613","1,721","2,184","1,816","1,798","2,422","2,653","3,104"
Total Liabilities,"5,577","5,960","6,768","6,021","6,634","7,709","8,122","9,612"
Fixed Assets +,"2,247","2,382","2,188","2,044","2,147","3,125","3,197","3,420"
CWIP,581,485,302,320,411,159,177,172
Investments,0,0,0,25,25,318,95,20
Other Assets +,"2,749","3,093","4,278","3,632","4,050","4,108","4,652","6,001"
Total Assets,"5,577","5,960","6,768","6,021","6,634","7,709","8,122","9,612"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,444,500,704,768,747,"1,097",852,944
Cash from Investing Activity +,-409,-168,-256,-574,-468,-715,-96,"-1,193"
Cash from Financing Activity +,-735,-301,-189,-152,-145,-164,-814,343
Net Cash Flow,-700,32,259,42,134,219,-58,94
Free Cash Flow,39,362,571,349,345,801,475,400
CFO/OP,77%,84%,74%,81%,80%,107%,75%,70%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,75,83,107,82,101,102,93,102
Inventory Days,234,211,293,237,223,225,224,237
Days Payable,142,133,188,184,175,193,172,175
Cash Conversion Cycle,167,161,212,135,148,134,145,163
Working Capital Days,-15,-28,-16,9,22,28,76,62
ROCE %,,11%,22%,26%,21%,19%,21%,24%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,78.08%,77.94%,77.92%,77.92%,77.88%,77.87%,77.87%
FIIs +,2.91%,3.05%,3.06%,2.86%,3.29%,3.59%,3.35%
DIIs +,3.96%,3.87%,3.44%,2.84%,4.36%,6.10%,6.10%
Public +,15.05%,15.15%,15.58%,16.39%,14.46%,12.43%,12.69%
No. of Shareholders,"1,52,914","1,43,449","1,39,671","1,33,549","1,26,169","1,18,863","1,22,189"

--- CAGR BOXES ---




