--- ABOUT ---
"Incorporated in the year 1972, Cochin Shipyard Limited(CSL) is a leading player in construction of all kinds of vessels, repairs and refits of all types of vessels including periodic upgradation and life extension of ships. CSL has built & repaired some of the largest ships for its esteemed customers across the globe. It has exported some 45 ships to various clients outside India. It has developed its expertise from building bulk carriers to smaller ships and ships which are more advanced in terms of technology such as Platform Supply vessels, Anchor Handling Tug Supply Vessels. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"38,357","1,458","2,280",53.5

Book Value,Dividend Yield,ROCE,ROE
223,0.67,16.0,12.5

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,600,476,"1,012","1,056","1,286",771,"1,143","1,148","1,758","1,069","1,119","1,350","1,484"
Expenses +,667,397,821,746,998,594,946,910,"1,492",827,"1,045","1,164","1,175"
Operating Profit,-67,79,191,310,288,177,197,237,266,241,74,187,310
OPM %,-11%,17%,19%,29%,22%,23%,17%,21%,15%,23%,7%,14%,21%
Other Income +,133,84,89,58,80,84,101,47,157,54,127,71,157
Interest,-1,9,10,8,7,7,9,11,12,12,20,28,32
Depreciation,11,17,19,20,19,19,26,32,27,34,31,33,32
Profit before tax,57,137,251,340,342,236,263,242,384,250,150,197,403
Tax %,30%,28%,28%,28%,24%,26%,28%,27%,25%,25%,28%,26%,31%
Net Profit +,39,99,182,244,259,174,189,177,287,188,108,145,276
EPS in Rs,1.50,3.75,6.90,9.29,9.84,6.62,7.18,6.73,10.92,7.14,4.09,5.50,10.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,355","2,966","3,422","2,819","3,191","2,365","3,830","4,820","5,022"
Expenses +,"1,891","2,394","2,711","2,096","2,564","2,103","2,949","3,925","4,210"
Operating Profit,465,571,711,723,627,262,882,895,811
OPM %,20%,19%,21%,26%,20%,11%,23%,19%,16%
Other Income +,189,226,245,203,260,269,310,389,410
Interest,12,15,50,58,53,43,46,55,92
Depreciation,38,34,49,60,68,69,75,103,130
Profit before tax,604,748,858,808,766,418,"1,071","1,125",999
Tax %,34%,36%,26%,25%,26%,27%,27%,26%,28%
Net Profit +,396,478,632,609,564,305,783,827,717
EPS in Rs,14.58,18.17,24.02,23.13,21.44,11.58,29.77,31.45,27.24
Dividend Payout %,41%,36%,35%,34%,39%,73%,33%,31%,6%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,136,132,132,132,132,132,132,132,132
Reserves,"3,120","3,197","3,591","3,902","4,262","4,296","4,872","5,448","5,741"
Borrowings +,123,123,123,540,554,587,502,560,"1,672"
Other Liabilities +,"2,109","1,799","2,565","2,976","3,467","5,006","6,531","7,253","6,986"
Total Liabilities,"5,487","5,251","6,411","7,549","8,414","10,021","12,037","13,393","14,531"
Fixed Assets +,349,376,764,867,970,953,968,"3,047","3,164"
CWIP,121,342,799,"1,176","1,264","1,619","2,196",516,586
Investments,0,0,0,0,0,0,0,0,113
Other Assets +,"5,017","4,532","4,848","5,506","6,180","7,449","8,873","9,830","10,667"
Total Assets,"5,487","5,251","6,411","7,549","8,414","10,021","12,037","13,393","14,531"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,631,-451,253,710,"1,398","1,889",-172,-297,"-1,234"
Cash from Investing Activity +,"-1,312","1,074",-97,-443,"-1,007",-35,481,538,327
Cash from Financing Activity +,812,-409,-309,-405,-239,-276,-371,-277,696
Net Cash Flow,131,214,-154,-138,152,"1,578",-62,-36,-211
Free Cash Flow,556,-738,-242,280,"1,135","1,553",-805,-792,"-1,385"
