--- ABOUT ---
"Finolex Industries Limited (FIL) is a leading manufacturer of PVC Resin and the largest producer of PVC Pipes & Fittings in India. The Company offers the latest range of superior quality and durable PVC-U pipes and fittings used in agriculture, construction and industrial operations. Its product portfolio consists of two major divisions: PVC Resin PVC Pipes & Fittings [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"10,894",176,223,18.2

Book Value,Dividend Yield,ROCE,ROE
100,1.14,12.7,9.73

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,141","1,179",883,"1,020","1,235","1,140",828,"1,001","1,172","1,043",859,898,"1,314"
Expenses +,924,"1,027",780,900,"1,026",934,818,918,"1,001",950,729,775,982
Operating Profit,217,152,103,120,209,207,11,83,171,94,130,123,332
OPM %,19%,13%,12%,12%,17%,18%,1%,8%,15%,9%,15%,14%,25%
Other Income +,43,48,70,47,54,472,85,66,85,69,68,63,53
Interest,6,9,12,8,7,7,7,10,6,6,4,3,8
Depreciation,24,34,27,28,27,26,26,27,27,27,27,26,26
Profit before tax,230,157,133,132,229,646,62,112,223,131,166,157,351
Tax %,28%,26%,27%,27%,28%,23%,34%,16%,26%,25%,26%,26%,26%
Net Profit +,166,115,98,95,165,501,41,94,165,98,124,116,261
EPS in Rs,2.68,1.86,1.58,1.54,2.66,8.07,0.66,1.52,2.65,1.58,1.99,1.87,4.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,482","2,602","2,738","3,091","2,985","3,462","4,647","4,397","4,317","4,142","4,113"
Expenses +,"2,075","2,039","2,253","2,487","2,536","2,472","3,624","4,105","3,732","3,666","3,435"
Operating Profit,407,563,484,604,448,990,"1,023",293,585,476,679
OPM %,16%,22%,18%,20%,15%,29%,22%,7%,14%,12%,16%
Other Income +,71,32,40,26,55,87,457,145,218,703,254
Interest,45,15,10,12,11,7,14,27,36,30,21
Depreciation,51,55,61,70,74,78,83,89,116,107,107
Profit before tax,383,525,454,548,418,992,"1,383",321,651,"1,043",805
Tax %,33%,32%,33%,33%,20%,26%,24%,22%,27%,23%,26%
Net Profit +,258,355,306,367,333,738,"1,051",251,474,800,599
EPS in Rs,4.15,5.72,4.94,5.92,5.36,11.89,16.94,4.04,7.63,12.89,9.65
Dividend Payout %,48%,40%,41%,34%,37%,34%,24%,37%,33%,28%,28%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,124,124,124,124,124,124,124,124,124,124,124
Reserves,"1,466","2,191","2,671","2,452","1,862","3,015","3,804","4,779","5,511","5,973","6,091"
Borrowings +,212,94,101,90,283,204,278,541,394,237,446
Other Liabilities +,583,588,610,666,623,951,"1,140",841,"1,030","1,048",935
Total Liabilities,"2,385","2,997","3,506","3,332","2,891","4,294","5,345","6,285","7,058","7,382","7,596"
Fixed Assets +,850,855,884,951,"1,017","1,002",993,"1,055","1,055","1,008","1,017"
CWIP,7,22,90,90,7,8,9,44,19,73,28
Investments,854,"1,264","1,607","1,362",656,"1,679","2,718","3,952","4,586","4,910","4,969"
Other Assets +,675,856,925,929,"1,211","1,604","1,625","1,234","1,398","1,391","1,581"
Total Assets,"2,385","2,997","3,506","3,332","2,891","4,294","5,345","6,285","7,058","7,382","7,596"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,569,252,338,391,106,941,622,308,353,383,192
Cash from Investing Activity +,-77,35,-162,-228,49,-877,-440,-294,-83,8,-156
Cash from Financing Activity +,-494,-282,-175,-163,-105,-90,-190,-29,-277,-349,-49
Net Cash Flow,-2,4,1,-0,51,-26,-8,-15,-6,42,-13
Free Cash Flow,538,157,166,289,46,876,918,140,267,268,133
CFO/OP,156%,76%,95%,94%,49%,116%,94%,128%,85%,122%,53%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,3,7,6,9,9,16,26,25,39,33,32
Inventory Days,100,128,128,120,164,176,132,81,99,108,156
Days Payable,55,52,52,55,44,84,60,35,39,61,56
Cash Conversion Cycle,48,83,81,74,129,108,98,71,98,80,133
Working Capital Days,0,28,32,33,39,22,17,-6,13,20,247
ROCE %,,25%,17%,21%,17%,36%,27%,7%,11%,9%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%,52.47%
FIIs +,5.81%,6.66%,6.45%,6.41%,6.90%,6.40%,6.64%,6.48%,6.03%,5.93%,5.87%,5.86%
DIIs +,11.87%,12.14%,11.95%,10.95%,11.95%,12.07%,12.05%,11.70%,11.36%,12.11%,12.19%,12.78%
Government +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
