--- ABOUT ---
"Incorporated in 1984, GAIL, a Government of India undertaking, is an integrated natural gas company in India. It owns over 11,500 km of natural gas pipelines, over 2300 km of LPG pipelines, six LPG gas-processing units and a petrochemicals facility. It also has a joint-venture interest in Petronet LNG Ltd, Ratnagiri Gas and Power Pvt Ltd, and in the CGD business in several cities. GAIL has wholly owned subsidiaries in Singapore and the US for expanding its presence outside India in the segments of LNG, petrochemical trading and shale gas assets."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,14,341",174,195 / 134,15.1

Book Value,Dividend Yield,ROCE,ROE
135,4.31,9.68,8.71

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"33,207","32,789","32,986","34,698","32,756","34,738","33,889","36,835","36,440","35,311","35,537","35,173","35,577"
Expenses +,"32,651","30,128","29,405","30,490","28,908","29,948","29,952","33,665","32,914","31,642","32,077","32,246","34,123"
Operating Profit,556,"2,660","3,580","4,208","3,849","4,790","3,937","3,169","3,526","3,669","3,460","2,927","1,453"
OPM %,2%,8%,11%,12%,12%,14%,12%,9%,10%,10%,10%,8%,4%
Other Income +,871,529,595,915,651,685,643,"3,211",674,566,516,683,"1,250"
Interest,107,185,200,176,159,209,188,169,174,213,234,254,263
Depreciation,631,722,837,872,"1,241","1,152",922,939,786,993,"1,177","1,192",474
Profit before tax,689,"2,283","3,138","4,075","3,099","4,114","3,470","5,272","3,240","3,029","2,565","2,165","1,966"
Tax %,7%,21%,22%,22%,20%,23%,22%,23%,23%,21%,22%,20%,25%
Net Profit +,643,"1,793","2,442","3,193","2,474","3,183","2,690","4,084","2,506","2,382","1,989","1,729","1,481"
EPS in Rs,0.96,2.73,3.72,4.86,3.75,4.84,4.10,6.21,3.79,3.60,3.00,2.67,2.26
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"60,557","52,053","48,552","54,496","76,190","72,518","57,372","92,770","145,668","133,228","141,903","141,598"
Expenses +,"54,926","47,517","42,531","46,695","66,252","63,495","50,127","77,608","138,168","118,914","126,410","130,088"
Operating Profit,"5,631","4,536","6,021","7,802","9,938","9,022","7,245","15,161","7,500","14,314","15,493","11,510"
OPM %,9%,9%,12%,14%,13%,12%,13%,16%,5%,11%,11%,8%
Other Income +,945,731,"1,212",948,"1,719","3,796","2,833","2,925","2,822","2,672","5,149","3,014"
Interest,652,822,509,295,159,309,179,202,365,719,748,964
Depreciation,"1,433","1,496","1,541","1,527","1,667","2,080","2,174","2,420","2,702","3,672","3,799","3,835"
Profit before tax,"4,492","2,949","5,183","6,928","9,831","10,429","7,725","15,464","7,256","12,595","16,096","9,725"
Tax %,32%,37%,35%,31%,33%,9%,20%,20%,23%,21%,23%,22%
Net Profit +,"3,160","1,874","3,374","4,805","6,553","9,515","6,143","12,304","5,596","9,903","12,463","7,582"
EPS in Rs,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.40,8.54,15.06,18.93,11.53
Dividend Payout %,24%,37%,56%,43%,25%,31%,36%,36%,59%,37%,40%,48%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"1,268","1,268","1,691","2,255","2,255","4,510","4,440","4,440","6,575","6,575","6,575","6,575"
Reserves,"32,754","35,135","37,614","39,424","43,749","44,758","48,742","59,674","58,352","70,422","78,422","82,474"
Borrowings +,"18,291","9,052","6,553","3,876","2,224","6,912","7,873","9,216","17,816","21,794","21,595","24,831"
Other Liabilities +,"17,355","13,608","12,433","15,798","20,199","18,754","19,975","23,254","25,062","25,944","26,583","26,656"
