--- ABOUT ---
"Incorporated in 2008, Yatharth Hospital and Trauma Care Services Limited is a multi-care hospitals at Noida, Greater Noida, and Noida Extension, Uttar Pradesh. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,091",840,890,46.1

Book Value,Dividend Yield,ROCE,ROE
185,0.00,12.4,10.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,144,155,171,167,178,212,218,219,232,258,279,320,342
Expenses +,105,113,126,120,131,158,163,164,175,193,215,246,262
Operating Profit,38,41,46,46,47,54,55,55,57,64,65,74,80
OPM %,27%,27%,27%,28%,26%,25%,25%,25%,25%,25%,23%,23%,23%
Other Income +,1,1,4,5,6,4,3,4,5,9,9,8,7
Interest,6,6,3,0,0,3,2,2,1,0,0,1,5
Depreciation,8,7,7,8,8,11,16,17,13,15,19,24,30
Profit before tax,25,29,40,44,44,43,40,40,49,59,55,57,52
Tax %,31%,35%,30%,33%,13%,29%,23%,24%,20%,28%,25%,25%,14%
Net Profit +,17,19,28,29,38,30,31,30,39,42,41,43,45
EPS in Rs,2.64,2.91,3.21,3.44,4.47,3.54,3.61,3.16,4.02,4.36,4.28,4.71,4.93
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,71,78,91,136,215,375,478,635,860,"1,207"
Expenses +,53,60,71,98,147,263,343,453,635,915
Operating Profit,18,18,20,38,68,112,135,182,225,292
OPM %,25%,24%,22%,28%,32%,30%,28%,29%,26%,24%
Other Income +,0,0,0,0,1,2,3,16,16,26
Interest,6,5,7,20,20,23,23,11,12,7
Depreciation,7,6,8,21,21,28,28,29,57,88
Profit before tax,5,8,5,-2,28,63,88,157,172,224
Tax %,41%,23%,21%,-18%,30%,30%,25%,27%,24%,24%
Net Profit +,3,6,4,-2,20,44,66,114,131,170
EPS in Rs,2.21,3.75,2.43,-0.79,11.09,6.74,10.04,13.33,13.55,18.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,16,16,16,16,66,66,86,96,96
Reserves,29,41,39,38,56,51,117,788,"1,509","1,684"
Borrowings +,85,125,175,194,193,264,267,85,12,264
Other Liabilities +,10,11,26,39,43,45,36,60,114,237
Total Liabilities,138,193,257,287,309,426,486,"1,019","1,731","2,282"
Fixed Assets +,54,53,164,189,251,303,299,442,605,"1,250"
CWIP,64,110,65,62,0,0,0,0,222,102
Investments,0,0,0,0,0,0,0,0,74,2
Other Assets +,20,30,27,36,58,123,187,577,829,928
Total Assets,138,193,257,287,309,426,486,"1,019","1,731","2,282"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,25,17,17,39,44,60,64,-3,150,205
Cash from Investing Activity +,-50,-51,-78,-43,-21,-52,-20,-226,-420,-598
Cash from Financing Activity +,26,43,47,5,-19,-1,-18,304,520,254
Net Cash Flow,1,9,-13,1,3,7,26,75,249,-140
Free Cash Flow,24,16,-60,-4,24,21,44,-96,-161,-112
CFO/OP,148%,103%,99%,109%,67%,65%,75%,22%,78%,98%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58,44,48,45,62,83,82,131,128,113
Inventory Days,47,42,88,72,,,,,,32
Days Payable,127,106,490,347,,,,,,171
Cash Conversion Cycle,-22,-20,-354,-229,62,83,82,131,128,-26
Working Capital Days,44,29,-75,-89,-18,0,29,118,109,80
ROCE %,,8%,6%,7%,18%,26%,27%,24%,14%,12%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.33%,66.44%,66.54%,66.54%,66.54%,61.44%,61.64%,61.64%,61.64%,55.80%,55.80%
FIIs +,5.42%,2.59%,3.99%,4.90%,6.28%,9.78%,4.45%,4.34%,6.51%,6.18%,5.25%
DIIs +,8.88%,8.81%,9.30%,9.40%,6.97%,11.50%,13.56%,13.52%,8.71%,11.02%,12.00%
Public +,19.37%,22.15%,20.15%,19.16%,20.20%,17.27%,20.35%,20.50%,23.16%,27.01%,26.94%
No. of Shareholders,"50,113","51,743","46,567","51,916","62,616","73,251","85,668","81,440","91,434","96,221","99,117"

--- CAGR BOXES ---




