--- ABOUT ---
"Incorporated in 2025, Aditya Birla Lifestyle Brands Ltd is in the business of premium western wear brands [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,861",97.2,176,56.7

Book Value,Dividend Yield,ROCE,ROE
11.6,0.00,14.7,15.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,784","1,965","2,138","1,942","1,841","2,038","2,343","2,174"
Expenses +,"1,506","1,684","1,805","1,633","1,577","1,721","1,931","1,822"
Operating Profit,279,281,333,309,263,317,412,352
OPM %,16%,14%,16%,16%,14%,16%,18%,16%
Other Income +,14,-78,22,21,23,21,-22,15
Interest,97,109,96,89,85,98,95,86
Depreciation,162,175,176,188,173,209,204,210
Profit before tax,33,-81,83,52,28,31,91,70
Tax %,31%,-27%,27%,26%,15%,25%,24%,23%
Net Profit +,23,-59,60,38,24,23,69,55
EPS in Rs,,,,,0.20,0.19,0.57,0.45
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,"7,830","8,396"
Expenses +,"6,607","7,052"
Operating Profit,"1,223","1,344"
OPM %,16%,16%
Other Income +,-21,36
Interest,413,364
Depreciation,706,795
Profit before tax,83,220
Tax %,29%,22%
Net Profit +,60,171
EPS in Rs,,1.40
Dividend Payout %,0%,36%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,0.05,"1,221"
Reserves,"1,276",192
Borrowings +,"2,932","3,018"
Other Liabilities +,"4,070","4,290"
Total Liabilities,"8,279","8,720"
Fixed Assets +,"3,280","3,609"
CWIP,13,46
Investments,117,16
Other Assets +,"4,869","5,049"
Total Assets,"8,279","8,720"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,144","1,219"
Cash from Investing Activity +,139,-198
Cash from Financing Activity +,"-1,230",-983
Net Cash Flow,53,38
Free Cash Flow,901,896
CFO/OP,94%,93%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,62,57
Inventory Days,235,252
Days Payable,237,246
Cash Conversion Cycle,60,63
Working Capital Days,-16,8
ROCE %,,15%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.58%,46.60%,46.60%,46.60%
FIIs +,22.59%,21.59%,16.25%,12.78%
DIIs +,10.96%,11.48%,17.05%,20.24%
Public +,19.51%,19.98%,19.58%,19.87%
Others +,0.35%,0.35%,0.51%,0.48%
No. of Shareholders,"2,97,575","2,84,718","2,75,706","2,66,973"

--- CAGR BOXES ---




