--- ABOUT ---
"RHI Magnestia India ltd earlier known as Orient Refractories Limited (ORL) is in the business of manufacturing and marketing special refractory products, systems and services to the steel industry in India and Globally. It is a market leader for special refractories in India and has many global customers for its international quality products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,887",382,538,71.6

Book Value,Dividend Yield,ROCE,ROE
172,0.65,6.52,2.91

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,875,928,987,923,943,879,867,"1,011",918,960,"1,035","1,092",932
Expenses +,828,795,839,806,795,725,760,886,825,858,926,949,845
Operating Profit,47,133,148,117,148,154,107,125,93,102,109,143,87
OPM %,5%,14%,15%,13%,16%,18%,12%,12%,10%,11%,11%,13%,9%
Other Income +,-654,3,3,1,-322,3,15,7,1,1,1,2,-531
Interest,34,26,9,16,13,11,10,13,9,8,9,11,8
Depreciation,42,46,44,48,44,48,50,55,47,47,49,49,51
Profit before tax,-683,64,98,54,-231,98,62,64,38,48,52,84,-503
Tax %,-1%,26%,27%,27%,12%,26%,26%,26%,4%,26%,26%,26%,3%
Net Profit +,-679,47,72,39,-258,73,46,48,36,35,38,62,-518
EPS in Rs,-36.11,2.26,3.45,1.91,-12.49,3.53,2.22,2.30,1.75,1.71,1.86,2.98,-25.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,748,"1,388","1,370","1,999","2,726","3,781","3,674","4,020"
Expenses +,619,"1,172","1,161","1,610","2,365","3,227","3,192","3,578"
Operating Profit,129,215,209,390,361,555,482,442
OPM %,17%,16%,15%,19%,13%,15%,13%,11%
Other Income +,18,10,12,5,-646,-322,24,-528
Interest,1,14,7,3,40,65,43,37
Depreciation,9,26,30,34,71,182,200,197
Profit before tax,138,186,185,357,-396,-16,263,-320
Tax %,35%,27%,26%,25%,18%,545%,23%,20%
Net Profit +,90,136,137,269,-466,-100,203,-383
EPS in Rs,7.48,11.31,11.37,16.71,-24.79,-4.86,9.81,-18.54
Dividend Payout %,33%,22%,22%,15%,-10%,-51%,25%,-13%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,16,19,21,21,21
Reserves,364,691,794,"1,013","2,872","3,825","3,978","3,540"
Borrowings +,-0,71,62,65,"1,589",487,380,448
Other Liabilities +,132,278,391,581,"1,400",765,776,852
Total Liabilities,508,"1,052","1,260","1,674","5,881","5,097","5,155","4,861"
Fixed Assets +,60,228,243,282,"3,258","2,805","2,730","2,128"
CWIP,3,9,46,34,39,49,63,48
Investments,103,-0,-0,-0,0,0,0,231
Other Assets +,342,816,970,"1,358","2,583","2,244","2,362","2,454"
Total Assets,508,"1,052","1,260","1,674","5,881","5,097","5,155","4,861"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,54,173,165,27,238,271,373,409
Cash from Investing Activity +,-5,26,-79,-70,"-1,150",-312,-113,-339
Cash from Financing Activity +,-35,-118,-54,-50,"1,172",-231,-213,-9
Net Cash Flow,14,81,33,-93,260,-272,47,61
Free Cash Flow,37,90,80,-35,196,191,255,274
CFO/OP,79%,103%,103%,29%,93%,64%,92%,108%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,77,87,87,89,101,79,73,64
Inventory Days,96,117,151,186,204,148,179,163
Days Payable,92,99,148,161,180,94,104,101
Cash Conversion Cycle,82,105,90,114,125,132,148,126
Working Capital Days,87,102,108,119,-39,122,139,135
ROCE %,,35%,23%,37%,11%,9%,7%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.47%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%,56.07%
FIIs +,3.79%,3.68%,3.67%,3.78%,4.74%,5.16%,5.01%,4.99%,5.00%,5.01%,4.64%,4.38%
DIIs +,14.08%,13.59%,13.76%,13.29%,12.80%,12.35%,12.65%,12.97%,12.54%,12.39%,12.78%,13.46%
Public +,26.67%,26.65%,26.51%,26.86%,26.40%,26.43%,26.27%,25.96%,26.37%,26.52%,26.50%,26.08%
No. of Shareholders,"65,184","73,698","71,705","74,075","69,476","70,665","70,563","64,581","69,845","69,849","66,768","64,358"

--- CAGR BOXES ---




