--- ABOUT ---
"Incorporated in 2008,Lenskart Solutions is a technology-focused eyewear company involved in the design, manufacturing, branding, and retail of prescription eyeglasses, sunglasses, contact lenses, and accessories. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"89,014",512,560,177

Book Value,Dividend Yield,ROCE,ROE
50.3,0.00,8.44,6.86

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,736","1,669","1,728","1,894","2,096","2,308","2,516"
Expenses +,"1,449","1,459","1,436","1,558","1,683","1,845","1,979"
Operating Profit,286,210,292,336,413,462,536
OPM %,16%,13%,17%,18%,20%,20%,21%
Other Income +,70,32,212,42,33,35,49
Interest,26,34,48,41,45,49,44
Depreciation,196,199,215,237,253,270,288
Profit before tax,134,8,241,100,148,178,254
Tax %,36%,77%,9%,39%,30%,26%,20%
Net Profit +,86,2,220,61,103,133,204
EPS in Rs,11.08,0.02,2.84,0.78,1.24,0.76,1.15
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,905,"1,503","3,788","5,428","6,653","8,814"
Expenses +,952,"1,617","3,524","4,748","5,675","7,065"
Operating Profit,-47,-115,264,680,977,"1,749"
OPM %,-5%,-8%,7%,13%,15%,20%
Other Income +,127,116,140,175,351,159
Interest,7,23,83,124,147,178
Depreciation,39,85,418,672,797,"1,048"
Profit before tax,33,-108,-97,59,385,680
Tax %,0%,0%,-39%,117%,23%,26%
Net Profit +,29,-102,-64,-10,297,501
EPS in Rs,3.79,-13.39,-8.34,-2.26,3.83,2.84
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,154,347
Reserves,"2,363","2,918","5,441","5,467","5,777","8,391"
Borrowings +,30,34,934,"2,343","2,740","3,097"
Other Liabilities +,393,733,"3,071","1,661","1,718","2,578"
Total Liabilities,"2,802","3,700","9,462","9,487","10,390","14,413"
Fixed Assets +,337,649,"5,067","5,501","6,231","7,798"
CWIP,5,133,134,71,107,112
Investments,841,"1,048",787,"1,003","1,038",513
Other Assets +,"1,618","1,869","3,474","2,912","3,014","5,991"
Total Assets,"2,802","3,700","9,462","9,487","10,390","14,413"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-117,-183,95,487,"1,231","1,670"
Cash from Investing Activity +,115,-421,"-2,586",163,-262,"-2,725"
Cash from Financing Activity +,-16,604,"2,777",-722,-535,"1,201"
Net Cash Flow,-18,0,285,-72,434,145
Free Cash Flow,-227,-430,-318,55,805,846
CFO/OP,242%,150%,45%,80%,137%,110%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,13,21,27,23,7,7
Inventory Days,233,141,163,148,198,138
Days Payable,136,109,154,111,135,127
Cash Conversion Cycle,110,53,36,60,69,19
Working Capital Days,352,115,57,11,-5,67
ROCE %,,-3%,-0%,2%,6%,8%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,17.57%,17.55%
FIIs +,3.86%,4.26%
DIIs +,15.86%,15.48%
Public +,62.30%,62.30%
Others +,0.42%,0.42%
No. of Shareholders,"1,28,502","1,11,973"

--- CAGR BOXES ---




