--- ABOUT ---
"Tata Capital Limited (""TCL""), the flagship financial services company of the Tata Group, is a subsidiary of Tata Sons Private Limited and is carrying on business as a NBFC. It is engaged in providing/supplying a wide array of services/products in the financial services sector and operates across various areas of business: Commercial Finance, Consumer Loans, Wealth Services and distribution and marketing of Tata Cards. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,55,702",367,380,31.9

Book Value,Dividend Yield,ROCE,ROE
108,0.00,8.58,12.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"7,185","7,104","7,478","7,665","7,737","7,976","8,160"
Interest,"3,693","3,836","3,960","4,066","3,976","3,928","4,017"
Expenses +,"1,915","1,762","2,072","2,126","2,135","2,172","2,026"
Financing Profit,"1,576","1,506","1,447","1,473","1,626","1,876","2,118"
Financing Margin %,22%,21%,19%,19%,21%,24%,26%
Other Income +,9,8,31,27,16,-40,3
Depreciation,92,99,109,118,135,142,143
Profit before tax,"1,494","1,415","1,368","1,382","1,507","1,695","1,978"
Tax %,24%,26%,27%,25%,26%,25%,26%
Net Profit +,"1,133","1,050","1,000","1,041","1,119","1,265","1,466"
EPS in Rs,2.87,2.87,2.77,2.48,2.72,2.96,3.54
Gross NPA %,0.80%,,,,,,
Net NPA %,0.40%,,,,,,
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"9,835","10,162","13,631","18,178","28,324","31,540"
Interest,"5,213","4,889","6,601","9,568","15,030","15,985"
Expenses +,"2,826","2,908","3,018","3,951","8,032","8,458"
Financing Profit,"1,797","2,364","4,013","4,659","5,263","7,096"
Financing Margin %,18%,23%,29%,26%,19%,22%
Other Income +,152,260,150,21,46,4
Depreciation,334,276,226,288,390,538
Profit before tax,"1,615","2,348","3,937","4,392","4,919","6,562"
Tax %,23%,23%,25%,24%,26%,25%
Net Profit +,"1,245","1,801","2,946","3,327","3,655","4,891"
EPS in Rs,3.20,4.69,8.51,8.41,9.64,11.42
Dividend Payout %,0%,3%,2%,2%,4%,5%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"3,464","3,463","3,507","3,703","3,762","4,217"
Reserves,"6,509","8,250","13,833","19,714","29,429","41,645"
Borrowing,"69,166","86,343","113,541","148,512","208,851","236,376"
Other Liabilities +,"3,792","4,319","4,745","4,765","6,422","8,266"
Total Liabilities,"82,930","102,376","135,626","176,694","248,465","290,504"
Fixed Assets +,901,719,733,"1,190","2,003","2,636"
CWIP,8,11,20,8,16,1
Investments,"4,653","7,846","13,254","8,733","9,866","9,508"
Other Assets +,"77,368","93,798","121,619","166,763","236,580","278,358"
Total Assets,"82,930","102,376","135,626","176,694","248,465","290,504"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"3,137","-14,387","-23,190","-37,999","-29,872","-37,965"
Cash from Investing Activity +,"-2,626","-2,614","-2,263","5,758","3,167",267
Cash from Financing Activity +,"-2,787","17,056","26,430","35,952","29,412","31,848"
Net Cash Flow,"-2,275",55,977,"3,712","2,707","-5,849"
Free Cash Flow,"3,131","-14,363","-23,337","-38,632","-30,894","-38,929"
CFO/OP,48%,-190%,-208%,-258%,-140%,-158%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,11%,15%,21%,15%,13%,12%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,85.41%,85.41%
FIIs +,4.63%,4.88%
DIIs +,3.33%,3.60%
Public +,5.97%,5.43%
Others +,0.66%,0.66%
No. of Shareholders,"14,04,334","12,69,833"

--- CAGR BOXES ---




