--- ABOUT ---
"Physicswallah is an edtech company offering test preparation courses for various competitive examinations like JEE, NEET, UPSC, etc., and upskilling courses like Data science and analytics, banking and finance, software development, etc [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"35,063",123,162,

Book Value,Dividend Yield,ROCE,ROE
15.8,0.00,4.02,-0.48

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,832,810,610,847,"1,051","1,082",919
Expenses +,698,626,838,923,870,846,890
Operating Profit,134,184,-229,-76,181,236,29
OPM %,16%,23%,-38%,-9%,17%,22%,3%
Other Income +,31,40,25,55,47,41,36
Interest,13,19,28,33,25,21,23
Depreciation,89,93,98,98,105,113,122
Profit before tax,62,111,-330,-152,99,144,-81
Tax %,34%,31%,-12%,-16%,29%,29%,-14%
Net Profit +,41,77,-289,-127,70,102,-69
EPS in Rs,7.42,15.11,-1.34,-0.55,0.33,0.35,-0.26
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,233,744,"1,941","2,887","3,900"
Expenses +,99,766,"2,098","2,688","3,530"
Operating Profit,134,-22,-157,199,370
OPM %,57%,-3%,-8%,7%,9%
Other Income +,2,28,-672,-6,179
Interest,0,21,65,85,102
Depreciation,4,75,298,366,437
Profit before tax,132,-89,"-1,193",-259,10
Tax %,25%,-6%,-5%,-6%,344%
Net Profit +,98,-84,"-1,131",-243,-24
EPS in Rs,16.37,-13.57,-173.40,-0.99,-0.08
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,218,286
Reserves,100,-189,"-1,252",472,"4,234"
Borrowings +,0,956,"2,461","1,831","1,052"
Other Liabilities +,67,"1,307","1,270","1,647","2,104"
Total Liabilities,173,"2,080","2,485","4,168","7,677"
Fixed Assets +,27,"1,121","1,464","1,586","1,833"
CWIP,6,5,0,9,5
Investments,24,205,173,"1,401","2,426"
Other Assets +,116,748,848,"1,172","3,413"
Total Assets,173,"2,080","2,485","4,168","7,677"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,59,270,212,507,833
Cash from Investing Activity +,-58,"-1,076",-43,"-1,513","-3,282"
Cash from Financing Activity +,0,848,-165,"1,007","2,755"
Net Cash Flow,1,42,4,0,306
Free Cash Flow,37,124,1,340,494
CFO/OP,69%,"-1,354%",-139%,256%,233%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0,6,5,5,8
Inventory Days,,174,,,
Days Payable,,398,,,
Cash Conversion Cycle,0,-217,5,5,8
Working Capital Days,-82,-214,-111,-88,227
ROCE %,,-15%,-37%,-2%,4%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,72.30%,72.30%
FIIs +,12.40%,11.56%
DIIs +,12.75%,13.46%
Public +,2.57%,2.68%
No. of Shareholders,"2,03,128","1,94,993"

--- CAGR BOXES ---




