--- ABOUT ---
"Incorporated in 1999, Credo Brands Marketing  Ltd is in the business of selling of fashion casual garments and accessories under the brand name MUFTI [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
588,89.9,177,8.50

Book Value,Dividend Yield,ROCE,ROE
62.8,3.34,19.1,18.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,143,130,133,118,166,150,133,124,186,156,153
Expenses +,91,88,92,88,109,108,102,91,128,108,112
Operating Profit,51,43,41,30,57,43,31,33,58,48,41
OPM %,36%,33%,31%,26%,34%,28%,23%,27%,31%,31%,27%
Other Income +,1,1,8,1,1,1,1,1,1,1,3
Interest,4,5,5,5,6,7,6,6,6,7,6
Depreciation,13,13,14,15,15,16,16,15,16,18,19
Profit before tax,35,26,29,11,37,21,10,13,35,24,19
Tax %,25%,26%,25%,24%,24%,25%,29%,25%,25%,25%,27%
Net Profit +,26,19,22,9,28,16,7,10,26,18,14
EPS in Rs,80.90,60.25,67.43,1.33,4.35,2.42,1.10,1.51,4.07,2.81,2.12
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,245,341,498,567,618
Expenses +,195,245,334,406,437
Operating Profit,50,96,164,161,181
OPM %,20%,28%,33%,28%,29%
Other Income +,15,13,11,4,5
Interest,17,15,18,24,25
Depreciation,44,46,53,62,69
Profit before tax,4,48,104,79,92
Tax %,14%,25%,25%,25%,26%
Net Profit +,3,36,78,59,68
EPS in Rs,10.78,111.97,241.08,9.18,10.47
Dividend Payout %,0%,0%,0%,5%,29%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,3,3,3,13,13
Reserves,189,233,278,329,397
Borrowings +,144,154,192,253,237
Other Liabilities +,81,86,101,115,122
Total Liabilities,417,476,574,710,769
Fixed Assets +,167,179,237,281,291
CWIP,0,1,0,1,1
Investments,0,0,0,0,0
Other Assets +,249,296,338,428,478
Total Assets,417,476,574,710,769

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,96,78,72,56,159
Cash from Investing Activity +,-6,-28,-19,-35,-20
Cash from Financing Activity +,-66,-39,-82,-28,-96
Net Cash Flow,24,11,-29,-6,44
Free Cash Flow,90,63,38,21,138
CFO/OP,193%,102%,63%,50%,102%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,183,132,101,137,141
Inventory Days,171,163,195,189,141
Days Payable,101,91,73,33,35
Cash Conversion Cycle,252,204,223,293,246
Working Capital Days,168,125,134,145,150
ROCE %,,17%,28%,19%,19%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.40%,55.24%,55.19%,54.83%,54.64%,55.06%,55.01%,55.01%,55.01%,55.01%
FIIs +,3.56%,2.72%,1.89%,1.47%,0.47%,0.26%,0.57%,0.53%,0.46%,0.46%
DIIs +,10.42%,8.45%,7.65%,6.69%,5.68%,4.42%,3.64%,2.35%,2.33%,3.36%
Public +,30.61%,33.58%,35.26%,36.99%,39.21%,40.26%,40.78%,42.12%,42.22%,41.18%
No. of Shareholders,"88,348","81,579","80,182","78,243","77,216","75,677","73,113","76,358","74,839","72,261"

--- CAGR BOXES ---




