--- ABOUT ---
"Incorporated in 1940, Nelco Ltd provides domestic satellite communication services to close user group networks [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,146",940,"1,118","3,637"

Book Value,Dividend Yield,ROCE,ROE
56.5,0.11,7.21,0.46

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,81.98,78.80,76.65,83.24,81.61,74.08,82.55,80.72,67.52,74.79,74.33,78.30,79.18
Expenses +,65.16,64.36,62.74,66.92,66.89,61.76,71.71,68.54,61.08,67.05,66.86,70.48,73.71
Operating Profit,16.82,14.44,13.91,16.32,14.72,12.32,10.84,12.18,6.44,7.74,7.47,7.82,5.47
OPM %,20.52%,18.32%,18.15%,19.61%,18.04%,16.63%,13.13%,15.09%,9.54%,10.35%,10.05%,9.99%,6.91%
Other Income +,0.85,0.38,0.44,1.13,0.88,0.16,1.19,1.57,2.64,0.76,1.31,-3.09,1.93
Interest,2.07,1.54,1.68,1.91,1.44,1.08,1.41,1.51,1.52,1.18,1.52,1.44,0.73
Depreciation,7.95,5.22,5.12,5.85,5.95,5.29,5.18,5.26,6.43,4.92,5.09,5.02,4.92
Profit before tax,7.65,8.06,7.55,9.69,8.21,6.11,5.44,6.98,1.13,2.40,2.17,-1.73,1.75
Tax %,26.01%,28.91%,24.64%,36.53%,25.70%,25.37%,24.63%,29.08%,461.06%,25.00%,25.35%,-31.21%,37.71%
Net Profit +,5.66,5.73,5.69,6.15,6.10,4.56,4.10,4.95,-4.08,1.80,1.62,-1.19,1.09
EPS in Rs,2.48,2.51,2.49,2.70,2.67,2.00,1.80,2.17,-1.79,0.79,0.71,-0.52,0.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Sep 2014,Mar 2016 18m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,123,200,144,150,191,220,226,260,313,320,305,307
Expenses +,124,178,125,124,155,170,181,209,252,260,262,278
Operating Profit,-1,22,18,25,36,50,45,51,62,60,43,29
OPM %,-1%,11%,13%,17%,19%,23%,20%,19%,20%,19%,14%,9%
Other Income +,19,5,5,6,4,4,3,5,3,3,5,1
Interest,7,13,8,6,7,13,10,8,9,7,6,5
Depreciation,9,11,8,9,13,20,22,25,28,22,22,20
Profit before tax,2,2,7,15,20,20,16,23,28,34,20,5
Tax %,24%,0%,9%,20%,-11%,29%,22%,31%,29%,29%,52%,28%
Net Profit +,2,2,6,12,22,14,12,16,20,24,10,3
EPS in Rs,0.85,0.97,2.75,5.31,9.77,6.30,5.42,7.05,8.70,10.37,4.18,1.45
Dividend Payout %,0%,0%,0%,0%,15%,19%,22%,26%,23%,21%,24%,69%

--- BALANCE SHEET ---
,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,23,23,23,23,23,23,23,23
Reserves,-6,-7,-1,11,33,43,53,66,82,101,105,106
Borrowings +,66,85,57,50,82,121,90,81,63,57,53,73
Other Liabilities +,63,55,52,78,99,93,72,93,95,102,107,146
Total Liabilities,146,156,131,162,237,280,238,263,262,282,287,347
Fixed Assets +,35,28,36,51,87,117,108,110,95,87,78,77
CWIP,3,6,3,5,17,3,4,3,1,10,9,41
Investments,8,9,5,6,0,0,0,0,0,4,4,4
Other Assets +,99,113,87,101,134,160,126,150,165,181,197,225
Total Assets,146,156,131,162,237,280,238,263,262,282,287,347

--- CASH FLOW ---
,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,33,3,38,32,21,33,54,51,58,45,20,15
Cash from Investing Activity +,-7,-8,-3,-14,-45,-40,-8,-18,-25,-19,-17,-21
Cash from Financing Activity +,-24,5,-40,-12,25,4,-47,-19,-33,-20,-11,11
Net Cash Flow,1,0,-5,6,2,-2,-1,14,1,6,-8,6
Free Cash Flow,25,-7,22,15,-25,-15,45,33,33,29,3,-6
CFO/OP,"-3,159%",54%,179%,137%,70%,86%,98%,101%,103%,104%,81%,80%

--- RATIOS ---
,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,114,79,85,134,115,117,102,109,96,97,128,123
Inventory Days,145,69,130,176,85,123,148,129,153,268,415,360
Days Payable,341,268,340,644,391,443,455,437,324,364,632,411
Cash Conversion Cycle,-81,-120,-125,-334,-191,-203,-205,-198,-75,0,-90,72
Working Capital Days,-131,-94,-116,-109,-89,-119,22,-36,9,-12,0,-54
ROCE %,5%,15%,17%,26%,25%,20%,14%,18%,22%,23%,14%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%,50.09%
FIIs +,4.34%,4.44%,4.51%,4.54%,4.80%,4.64%,5.41%,4.83%,4.64%,4.57%,4.61%,4.73%
DIIs +,0.05%,0.09%,0.08%,0.05%,0.05%,0.05%,0.14%,0.13%,0.12%,0.16%,0.16%,0.26%
Government +,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%
Public +,45.28%,45.13%,45.07%,45.08%,44.82%,44.99%,44.13%,44.72%,44.91%,44.94%,44.89%,44.67%
No. of Shareholders,"67,242","70,534","69,077","72,703","72,952","66,823","67,645","69,809","70,299","72,451","71,859","71,660"

--- CAGR BOXES ---




