--- ABOUT ---
"Incorporated in 2018, Tenneco Clean Air India Limited is a subsidiary of Tenneco Inc., a global leader in designing and manufacturing clean air and powertrain products for automotive applications. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"23,609",585,657,37.9

Book Value,Dividend Yield,ROCE,ROE
29.7,0.00,60.8,44.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,169","1,125","1,326","1,286","1,281","1,285","1,552"
Expenses +,963,947,"1,107","1,057","1,064","1,063","1,295"
Operating Profit,205,178,219,229,217,223,257
OPM %,18%,16%,17%,18%,17%,17%,17%
Other Income +,1,19,6,31,12,-22,11
Interest,4,5,7,7,11,7,9
Depreciation,25,27,26,25,26,28,29
Profit before tax,177,165,192,227,192,165,231
Tax %,23%,24%,27%,26%,22%,28%,28%
Net Profit +,137,125,140,168,151,119,167
EPS in Rs,6.39,5.85,3.47,4.16,3.73,2.94,4.13
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,827","5,468","4,890","5,404"
Expenses +,"4,256","4,855","4,075","4,479"
Operating Profit,571,613,815,925
OPM %,12%,11%,17%,17%
Other Income +,59,69,41,32
Interest,22,25,20,34
Depreciation,101,104,103,108
Profit before tax,508,553,733,816
Tax %,25%,25%,25%,26%
Net Profit +,381,417,553,604
EPS in Rs,17.80,19.46,13.68,14.95
Dividend Payout %,41%,46%,82%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,313,214,404,404
Reserves,895,766,"1,206",794
Borrowings +,31,15,20,51
Other Liabilities +,"1,190","1,140","1,202","1,288"
Total Liabilities,"2,429","2,135","2,831","2,537"
Fixed Assets +,631,608,582,582
CWIP,18,37,31,58
Investments,1,1,0,0
Other Assets +,"1,779","1,490","2,218","1,897"
Total Assets,"2,429","2,135","2,831","2,537"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,538,488,562,"1,429"
Cash from Investing Activity +,-13,-30,-27,-69
Cash from Financing Activity +,-394,-686,-433,"-1,075"
Net Cash Flow,130,-228,103,285
Free Cash Flow,475,391,500,"1,345"
CFO/OP,118%,98%,93%,190%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43,37,51,43
Inventory Days,42,31,31,35
Days Payable,100,86,101,108
Cash Conversion Cycle,-16,-18,-18,-30
Working Capital Days,-9,-7,-8,-4
ROCE %,,52%,57%,61%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,74.79%,74.79%
FIIs +,8.41%,8.94%
DIIs +,12.00%,12.58%
Public +,4.81%,3.69%
No. of Shareholders,"1,77,073","1,36,462"

--- CAGR BOXES ---




