--- ABOUT ---
"ICICI Prudential Life Insurance Company Ltd carries on business of providing life insurance, pensions and health insurance products to individuals and groups. The business is conducted in participating, non-participating and unit linked lines of business. These products are distributed through individual agents, corporate agents, banks, brokers, sales force and company's website. [1] It is promoted by ICICI Bank and Prudential Corporation :- ICICI Bank (51% stake) [2] - The company is a part of ICICI Bank Ltd which is the 2nd largest private bank in India. It offers a diversified range of products and services to retail, SME and corporate customers. [3] Prudential Plc (22% stake) - It is a British multinational insurance company based in London, England. It is the largest UK life insurer in Asia with presence in India, China, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines and other Asian countries. It is also present in African subcontinent in Nigeria, Ghana, Togo and other countries. [4]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"72,579",500,707 / 460,45.1

Book Value,Dividend Yield,ROCE,ROE
94.0,0.33,10.1,12.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"10,984","23,384","17,388","26,430","22,482","25,396","25,158","4,536","15,687","25,401","11,936","22,834","3,185"
Expenses +,"11,400","23,663","17,682","26,584","22,760","25,362","24,839","4,295","15,272","25,188","11,955","22,093","3,940"
Operating Profit,-416,-280,-293,-155,-278,34,319,241,415,213,-19,741,-754
OPM %,-4%,-1%,-2%,-1%,-1%,0%,1%,5%,3%,1%,-0%,3%,-24%
Other Income +,780,496,570,420,549,237,-17,169,183,177,408,-243,"1,036"
Interest,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Profit before tax,364,216,276,265,270,271,302,410,598,390,389,498,281
Tax %,35%,5%,12%,14%,36%,17%,17%,21%,36%,23%,24%,22%,-122%
Net Profit +,235,206,244,227,174,224,251,325,385,301,296,387,624
EPS in Rs,1.64,1.43,1.69,1.58,1.21,1.56,1.74,2.25,2.67,2.08,2.04,2.67,4.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"34,453","20,849","37,816","38,832","41,463","21,025","83,182","63,564","50,478","89,683","70,778","63,357"
Expenses +,"32,798","19,008","36,010","37,062","40,922","21,344","83,572","65,728","52,235","90,580","69,321","62,050"
Operating Profit,"1,655","1,842","1,806","1,771",541,-319,-390,"-2,163","-1,757",-897,"1,457","1,307"
OPM %,5%,9%,5%,5%,1%,-2%,-0%,-3%,-3%,-1%,2%,2%
Other Income +,43,0,130,132,813,"1,578","1,669","3,191","2,925","2,039",258,397
Interest,17,0,15,20,23,-0,-0,-0,-0,-0,-0,-0
Depreciation,40,0,58,44,57,61,60,67,84,113,134,145
Profit before tax,"1,642","1,842","1,863","1,839","1,274","1,198","1,219",961,"1,085","1,028","1,582","1,559"
Tax %,0%,10%,10%,12%,11%,11%,22%,21%,25%,17%,25%,-3%
Net Profit +,"1,640","1,650","1,682","1,619","1,139","1,067",956,759,813,851,"1,186","1,608"
EPS in Rs,11.46,11.52,11.72,11.28,7.93,7.43,6.66,5.28,5.65,5.90,8.20,11.09
Dividend Payout %,51%,73%,63%,59%,40%,11%,30%,10%,11%,10%,10%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"1,432","1,432","1,435","1,436","1,436","1,436","1,436","1,437","1,439","1,441","1,445","1,449"
Reserves,"3,833","3,891","4,971","5,138","5,435","5,777","7,673","7,721","8,651","9,564","10,488","12,182"
Borrowings +,-0,"1,029",-0,-0,-0,-0,"1,200","1,200","1,200","1,200","2,600","2,595"
Other Liabilities +,"95,951","98,413","118,335","135,245","156,215","148,818","206,911","234,079","244,562","286,796","299,705","303,509"
Total Liabilities,"101,215","104,765","124,741","141,819","163,086","156,031","217,220","244,437","255,851","299,001","314,239","319,735"
Fixed Assets +,209,212,207,404,463,932,911,433,479,"1,168","1,315","1,378"
CWIP,6,7,7,18,13,20,22,54,117,49,36,43
Investments,"99,491","103,024","121,581","138,537","159,003","150,776","211,727","238,101","248,216","289,230","303,475","307,369"
Other Assets +,"1,509","1,522","2,946","2,859","3,607","4,303","4,560","5,848","7,039","8,553","9,412","10,944"
Total Assets,"101,215","104,765","124,741","141,819","163,086","156,031","217,220","244,437","255,851","299,001","314,239","319,735"

