--- ABOUT ---
"Sun Pharmaceutical Industries Ltd is engaged in the business of manufacturing, developing and marketing a wide range of branded and generic formulations and Active Pharma Ingredients (APIs). The company and its subsidiaries has various manufacturing facilities spread across the world with trading and other incidental and related activities extending to global market. [1] It is the largest pharmaceutical company in India. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,41,070","1,838","1,917 / 1,547",35.4

Book Value,Dividend Yield,ROCE,ROE
348,0.87,20.5,16.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"10,931","11,941","12,192","12,381","11,983","12,653","13,291","13,675","12,959","13,851","14,478","15,521","14,612"
Expenses +,"8,129","8,609","9,013","8,904","8,948","9,045","9,352","9,666","9,243","9,550","9,951","10,572","10,658"
Operating Profit,"2,802","3,332","3,179","3,477","3,035","3,608","3,939","4,009","3,716","4,302","4,527","4,948","3,954"
OPM %,26%,28%,26%,28%,25%,29%,30%,29%,29%,31%,31%,32%,27%
Other Income +,202,-118,294,180,504,533,354,149,251,-354,470,89,458
Interest,93,81,49,35,74,62,69,52,49,75,100,78,86
Depreciation,672,651,633,622,650,655,626,631,664,701,730,732,775
Profit before tax,"2,240","2,481","2,791","3,000","2,816","3,424","3,598","3,476","3,254","3,173","4,168","4,227","3,551"
Tax %,10%,19%,14%,14%,5%,16%,16%,16%,34%,27%,25%,20%,23%
Net Profit +,"1,983","2,006","2,385","2,561","2,659","2,861","3,037","2,913","2,154","2,293","3,125","3,381","2,710"
EPS in Rs,8.27,8.43,9.90,10.52,11.06,11.82,12.67,12.10,8.96,9.50,13.00,14.04,11.31
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"27,392","28,487","31,578","26,489","29,066","32,838","33,498","38,654","43,886","48,497","52,578","58,462"
Expenses +,"19,498","20,313","21,476","20,858","22,689","25,855","25,028","28,397","32,235","35,479","37,464","40,731"
Operating Profit,"7,894","8,174","10,102","5,631","6,377","6,983","8,470","10,258","11,650","13,018","15,114","17,731"
OPM %,29%,29%,32%,21%,22%,21%,25%,27%,27%,27%,29%,30%
Other Income +,283,-42,610,-135,-258,382,"-3,449","-3,505",459,865,"1,444",664
Interest,579,523,400,518,555,303,141,127,172,238,231,339
Depreciation,"1,195","1,038","1,265","1,500","1,753","2,053","2,080","2,144","2,529","2,557","2,575","2,938"
Profit before tax,"6,403","6,571","9,048","3,479","3,810","5,010","2,799","4,481","9,408","11,088","13,752","15,119"
Tax %,14%,14%,13%,26%,16%,16%,18%,24%,9%,13%,20%,24%
Net Profit +,"5,476","5,658","7,846","2,542","3,208","4,172","2,272","3,389","8,513","9,610","10,965","11,509"
EPS in Rs,21.92,18.89,29.03,8.73,11.11,15.69,12.10,13.64,35.32,39.91,45.55,47.84
Dividend Payout %,14%,5%,12%,23%,25%,25%,62%,73%,33%,34%,35%,33%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,207,241,240,240,240,240,240,240,240,240,240,240
Reserves,"25,431","32,742","36,400","38,074","41,169","45,025","46,223","47,771","55,755","63,427","71,978","83,330"
Borrowings +,"8,996","8,497","9,832","10,385","10,514","8,315","3,869","1,290","6,886","3,274","2,362","4,627"
Other Liabilities +,"14,089","13,948","14,624","15,598","12,666","14,615","17,291","20,474","17,831","18,387","17,328","20,588"
Total Liabilities,"48,723","55,428","61,095","64,297","64,590","68,194","67,622","69,776","80,712","85,328","91,908","108,785"
