--- ABOUT ---
"JSW Cement is a leading Indian manufacturer of green cement, known for its sustainability and use in major infrastructure projects"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,541",129,162,26.9

Book Value,Dividend Yield,ROCE,ROE
48.0,0.00,11.0,14.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,447","1,224","1,433","1,709","1,560","1,436","1,621","1,895"
Expenses +,"1,279","1,139","1,317","1,469","1,237","1,169","1,336","1,530"
Operating Profit,168,84,116,240,323,268,285,365
OPM %,12%,7%,8%,14%,21%,19%,18%,19%
Other Income +,24,27,28,28,"-1,444",34,67,22
Interest,110,109,116,114,102,100,87,89
Depreciation,74,77,81,79,78,80,81,84
Profit before tax,8,-75,-53,76,"-1,302",121,184,215
Tax %,394%,2%,51%,79%,5%,38%,29%,-68%
Net Profit +,-24,-76,-80,16,"-1,366",75,131,362
EPS in Rs,-0.15,-0.63,-0.68,0.34,-13.31,0.63,1.04,2.72
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,897","3,853","4,634","5,810","6,002","5,785","6,512"
Expenses +,"2,294","3,024","3,878","5,147","5,149","5,169","5,272"
Operating Profit,603,829,756,663,853,617,"1,240"
OPM %,21%,22%,16%,11%,14%,11%,19%
Other Income +,39,20,195,145,85,100,"-1,321"
Interest,268,291,315,310,435,450,378
Depreciation,145,179,238,373,278,310,322
Profit before tax,230,379,398,125,224,-44,-781
Tax %,33%,34%,41%,17%,72%,275%,2%
Net Profit +,154,250,233,104,62,-164,-799
EPS in Rs,1.56,2.53,2.48,1.39,0.91,-1.12,-5.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,-9%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,986,986,986,986,986,986,"1,341"
Reserves,540,839,"1,144","1,306","1,478","1,366","5,209"
Borrowings +,"2,969","3,189","4,622","5,641","6,254","6,563","4,464"
Other Liabilities +,"1,675","1,895","2,468","2,203","2,498","2,966","3,521"
Total Liabilities,"6,169","6,909","9,221","10,136","11,216","11,881","14,535"
Fixed Assets +,"3,293","4,224","4,573","4,645","6,189","6,785","8,498"
CWIP,920,294,876,"1,591",770,"1,038",958
Investments,320,354,484,714,759,345,290
Other Assets +,"1,636","2,036","3,288","3,186","3,498","3,714","4,789"
Total Assets,"6,169","6,909","9,221","10,136","11,216","11,881","14,535"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,723,783,339,653,"1,408",737,"1,170"
Cash from Investing Activity +,-765,-686,"-1,530","-1,808","-1,120",-558,"-1,649"
Cash from Financing Activity +,119,-95,"1,260","1,041",-221,-232,861
Net Cash Flow,77,1,69,-114,67,-53,382
Free Cash Flow,169,170,-715,-979,476,-409,-791
CFO/OP,127%,101%,54%,115%,177%,125%,95%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,53,59,60,45,48,49,48
Inventory Days,261,128,143,104,132,105,135
Days Payable,448,334,336,253,339,305,322
Cash Conversion Cycle,-134,-147,-133,-103,-159,-150,-140
Working Capital Days,-115,-106,-24,-29,-116,-95,-90
ROCE %,,15%,12%,6%,8%,5%,11%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.34%,72.34%,72.04%
FIIs +,4.13%,3.03%,2.93%
DIIs +,7.87%,8.09%,8.74%
Public +,13.52%,14.73%,14.67%
Others +,2.13%,1.82%,1.62%
No. of Shareholders,"4,70,517","4,60,430","4,42,053"

--- CAGR BOXES ---




