--- ABOUT ---
"Incorporated in 2009, One Mobikwik Systems Ltd is a digital banking platform which offers a wide range of financial products for both consumers and merchants [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,562",198,334,

Book Value,Dividend Yield,ROCE,ROE
68.4,0.00,-2.24,-8.26

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,203.45,228.93,264.98,342.27,290.65,269.48,267.78,271.36,270.21,288.95,288.71
Expenses +,196.02,220.55,265.70,343.60,286.87,317.15,324.28,312.81,285.70,282.25,278.61
Operating Profit,7.43,8.38,-0.72,-1.33,3.78,-47.67,-56.50,-41.45,-15.49,6.70,10.10
OPM %,3.65%,3.66%,-0.27%,-0.39%,1.30%,-17.69%,-21.10%,-15.27%,-5.73%,2.32%,3.50%
Other Income +,3.38,2.45,6.58,3.56,3.02,4.99,10.74,10.25,-2.71,8.27,3.55
Interest,4.54,4.59,5.20,6.58,6.98,7.07,6.66,7.83,7.21,7.23,5.10
Depreciation,1.02,1.05,1.30,2.00,3.14,3.44,4.29,2.86,3.17,3.69,4.07
Profit before tax,5.25,5.19,-0.64,-6.35,-3.32,-53.19,-56.71,-41.89,-28.58,4.05,4.48
Tax %,0.57%,-1.73%,4.69%,4.25%,8.13%,3.95%,-1.18%,0.10%,0.14%,0.00%,2.23%
Net Profit +,5.23,5.27,-0.67,-6.62,-3.59,-55.28,-56.04,-41.92,-28.62,4.05,4.38
EPS in Rs,0.91,0.92,-0.12,-1.16,-0.63,-7.12,-7.21,-5.36,-3.64,0.51,0.56
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,289,527,539,875,"1,170","1,119"
Expenses +,404,659,617,853,"1,272","1,159"
Operating Profit,-115,-132,-78,22,-102,-40
OPM %,-40%,-25%,-14%,3%,-9%,-4%
Other Income +,14,17,22,15,22,19
Interest,7,11,20,19,27,27
Depreciation,1,2,4,4,13,14
Profit before tax,-110,-128,-81,14,-120,-62
Tax %,1%,-0%,4%,0%,2%,0%
Net Profit +,-111,-128,-84,14,-122,-62
EPS in Rs,"-1,107.46",-22.41,-14.66,2.46,-15.64,-7.89
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,11,11,11,16,16
Reserves,-35,205,131,151,573,523
Borrowings +,75,158,206,223,292,276
Other Liabilities +,383,462,366,469,480,594
Total Liabilities,423,836,714,855,"1,360","1,409"
Fixed Assets +,1,9,15,16,25,23
CWIP,0,0,0,0,0,0
Investments,1,1,2,5,6,9
Other Assets +,421,826,698,834,"1,329","1,376"
Total Assets,423,836,714,855,"1,360","1,409"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-35,-321,27,-22,-68,-78
Cash from Investing Activity +,10,-85,-1,27,-313,82
Cash from Financing Activity +,73,329,18,3,515,-2
Net Cash Flow,49,-76,44,8,133,2
Free Cash Flow,-35,-324,26,-28,-77,-89
CFO/OP,30%,237%,-20%,-21%,77%,182%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48,20,51,34,17,24
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,48,20,51,34,17,24
Working Capital Days,-369,-233,-234,-140,-163,-159
ROCE %,,-57%,-17%,9%,-15%,-2%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,25.18%,25.18%,25.03%,24.87%,25.11%,25.09%
FIIs +,4.83%,3.90%,7.08%,3.74%,3.19%,4.24%
DIIs +,8.85%,4.55%,4.74%,4.31%,4.77%,4.07%
Public +,61.13%,66.38%,63.16%,67.08%,66.95%,66.59%
No. of Shareholders,"1,40,286","1,85,741","1,87,251","1,88,309","1,76,021","1,67,477"

--- CAGR BOXES ---




