--- ABOUT ---
"SKF India Ltd is a leading supplier of products, solutions & services within rolling bearing, seals, mechatronics, and lubrication systems. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,099","1,638","2,396",27.8

Book Value,Dividend Yield,ROCE,ROE
269,2.44,24.2,14.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,095","1,150","1,125","1,092","1,203","1,206","1,244","1,256","1,213","1,283","1,309",577,595
Expenses +,928,947,"1,001",920,990,"1,013","1,121","1,135",929,"1,116","1,143",494,561
Operating Profit,167,203,124,172,213,194,124,121,285,167,166,82,33
OPM %,15%,18%,11%,16%,18%,16%,10%,10%,23%,13%,13%,14%,6%
Other Income +,20,23,18,24,35,40,23,48,13,15,-2,20,29
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,17,18,19,19,19,20,20,21,22,23,23,16,16
Profit before tax,170,207,122,177,230,214,127,147,276,160,141,86,47
Tax %,28%,26%,26%,25%,24%,26%,26%,26%,26%,26%,25%,28%,142%
Net Profit +,123,154,90,132,175,159,94,110,203,118,105,62,-20
EPS in Rs,24.88,31.26,18.21,26.75,35.47,32.17,19.07,22.17,41.15,23.93,21.35,12.55,-4.00
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,671","3,666","4,305","4,570","4,920","3,763"
Expenses +,"2,251","3,111","3,556","3,853","4,175","3,315"
Operating Profit,420,555,749,718,745,449
OPM %,16%,15%,17%,16%,15%,12%
Other Income +,36,35,52,94,102,63
Interest,2,2,2,1,1,0
Depreciation,58,57,67,75,83,78
Profit before tax,396,531,733,736,763,433
Tax %,25%,26%,28%,25%,26%,39%
Net Profit +,298,395,525,552,566,266
EPS in Rs,60.26,79.95,106.25,111.70,114.56,53.83
Dividend Payout %,24%,18%,38%,116%,13%,74%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,49,49,49,49,49,49
Reserves,"1,514","1,836","2,292","2,633","2,549","1,280"
Borrowings +,18,16,14,12,7,3
Other Liabilities +,721,713,822,957,959,747
Total Liabilities,"2,303","2,615","3,178","3,651","3,564","2,079"
Fixed Assets +,345,402,424,472,551,440
CWIP,65,52,63,89,56,28
Investments,2,2,2,9,9,9
Other Assets +,"1,890","2,158","2,688","3,081","2,948","1,602"
Total Assets,"2,303","2,615","3,178","3,651","3,564","2,079"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,324,57,690,624,203,363
Cash from Investing Activity +,654,-33,-45,-158,-60,-182
Cash from Financing Activity +,-652,-78,-79,-204,-650,-76
Net Cash Flow,326,-53,567,262,-507,105
Free Cash Flow,255,-34,585,496,72,134
CFO/OP,102%,37%,120%,115%,59%,106%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,80,68,58,60,63,70
Inventory Days,109,110,98,90,106,52
Days Payable,135,83,86,94,80,89
Cash Conversion Cycle,54,96,69,56,88,33
Working Capital Days,60,87,59,47,70,44
ROCE %,,31%,34%,29%,29%,24%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%,52.58%
FIIs +,6.42%,6.46%,6.61%,6.77%,7.93%,8.25%,8.32%,8.21%,7.55%,6.98%,7.01%,7.10%
DIIs +,29.37%,29.20%,28.98%,29.00%,28.12%,27.32%,27.15%,26.51%,26.61%,27.01%,26.74%,27.00%
Public +,11.66%,11.77%,11.83%,11.65%,11.38%,11.86%,11.93%,12.68%,13.27%,13.42%,13.67%,13.31%
No. of Shareholders,"42,359","42,377","46,562","45,970","48,477","58,535","60,295","66,264","66,534","66,337","72,265","69,931"

--- CAGR BOXES ---




