--- ABOUT ---
"Incorporated in 2010, Harsha Engineers Ltd is a leading engineering company that offers a diversified suite of products across geographies and end-user industries. It manufactures brass, steel, and polyamide cages and stamped components with production facilities located in Asia (India & China) and in Europe (Romania). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,924",431,469,25.3

Book Value,Dividend Yield,ROCE,ROE
154,0.35,14.3,11.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,344,348,339,324,380,343,353,339,373,365,378,409,474
Expenses +,293,306,304,285,326,288,311,296,338,310,325,352,400
Operating Profit,51,42,35,40,55,55,42,43,35,55,54,57,73
OPM %,15%,12%,10%,12%,14%,16%,12%,13%,9%,15%,14%,14%,15%
Other Income +,6,4,7,11,8,8,12,7,-17,11,10,7,11
Interest,3,3,2,3,3,3,3,2,1,3,3,5,6
Depreciation,9,10,10,10,10,10,10,10,10,11,11,12,13
Profit before tax,45,34,30,38,49,50,41,37,7,53,50,47,65
Tax %,27%,27%,31%,22%,26%,28%,29%,28%,133%,29%,26%,29%,28%
Net Profit +,33,25,20,30,37,36,29,27,-2,38,36,34,47
EPS in Rs,3.58,2.70,2.24,3.26,4.04,3.96,3.18,2.93,-0.26,4.17,4.00,3.69,5.19
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,886,874,"1,321","1,364","1,392","1,408","1,627"
Expenses +,799,752,"1,152","1,174","1,221","1,233","1,387"
Operating Profit,86,122,169,190,171,175,240
OPM %,10%,14%,13%,14%,12%,12%,15%
Other Income +,13,3,17,29,30,10,39
Interest,33,30,25,16,11,9,16
Depreciation,35,34,35,36,39,41,47
Profit before tax,32,61,127,167,151,136,215
Tax %,31%,25%,27%,26%,26%,34%,28%
Net Profit +,22,45,92,123,111,89,155
EPS in Rs,4.38,9.09,11.90,13.54,12.24,9.81,17.05
Dividend Payout %,0%,0%,0%,7%,8%,10%,9%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,50,50,77,91,91,91,91
Reserves,322,377,445,981,"1,084","1,163","1,311"
Borrowings +,419,357,385,182,177,200,372
Other Liabilities +,197,197,252,191,215,236,293
Total Liabilities,988,981,"1,158","1,445","1,567","1,691","2,067"
Fixed Assets +,334,342,356,387,418,414,660
CWIP,3,3,2,12,15,161,19
Investments,7,9,6,194,234,305,473
Other Assets +,644,626,794,853,900,810,915
Total Assets,988,981,"1,158","1,445","1,567","1,691","2,067"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,113,121,36,137,136,206,68
Cash from Investing Activity +,-51,-20,-52,-312,-158,-212,-197
Cash from Financing Activity +,-38,-92,4,216,-25,6,146
Net Cash Flow,24,9,-12,41,-47,0,18
Free Cash Flow,40,81,-13,63,62,-2,-47
CFO/OP,146%,100%,40%,92%,101%,141%,54%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,98,89,78,75,84,78,85
Inventory Days,185,235,185,187,166,165,169
Days Payable,89,103,90,58,62,72,83
Cash Conversion Cycle,194,222,173,204,187,171,171
Working Capital Days,33,55,71,96,100,97,147
ROCE %,,12%,18%,17%,12%,12%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.61%,74.72%,75.00%,75.00%,75.00%
FIIs +,1.81%,1.86%,1.61%,1.61%,0.76%,0.56%,0.58%,0.54%,0.88%,0.39%,0.41%,2.37%
DIIs +,10.02%,9.19%,8.14%,7.43%,8.69%,8.85%,8.72%,8.64%,11.86%,12.48%,12.42%,12.42%
Public +,13.56%,14.33%,15.62%,16.36%,15.92%,15.98%,16.08%,16.21%,12.55%,12.13%,12.16%,10.21%
No. of Shareholders,"1,05,011","99,274","96,528","91,107","78,307","79,500","77,771","77,352","78,464","74,886","72,688","70,615"

--- CAGR BOXES ---




