--- ABOUT ---
"SBL operates 94 retail showrooms, 36 fulfillment centers, and 20 warehouses, spread across southern and western India, where it sells building and home improvement products of many renowned brands. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,574","1,061","1,254",19.9

Book Value,Dividend Yield,ROCE,ROE
225,0.47,39.0,25.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,239","1,291","1,560","1,568","1,595","1,666","1,996"
Expenses +,"1,207","1,255","1,513","1,515","1,545","1,612","1,927"
Operating Profit,31,35,47,53,50,54,70
OPM %,3%,3%,3%,3%,3%,3%,3%
Other Income +,0,0,1,0,0,-2,0
Interest,11,9,9,9,10,11,13
Depreciation,2,2,2,2,2,3,3
Profit before tax,18,24,37,42,39,38,55
Tax %,22%,25%,21%,23%,25%,35%,24%
Net Profit +,14,18,29,32,29,25,42
EPS in Rs,"14,330.00","18,010.00","29,190.00","32,070.00",12.11,10.29,17.06
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,030","4,828","5,267","6,826"
Expenses +,"3,912","4,677","5,117","6,599"
Operating Profit,118,151,150,227
OPM %,3%,3%,3%,3%
Other Income +,8,5,1,-1
Interest,25,32,42,42
Depreciation,16,16,8,10
Profit before tax,84,108,101,174
Tax %,25%,25%,23%,26%
Net Profit +,63,81,78,128
EPS in Rs,,"81,130.00","78,160.00",52.68
Dividend Payout %,-0%,-0%,-0%,9%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,24,0.01,24
Reserves,620,773,457,521
Borrowings +,88,87,57,61
Other Liabilities +,561,701,740,999
Total Liabilities,"1,292","1,586","1,254","1,605"
Fixed Assets +,281,293,46,46
CWIP,4,3,0,1
Investments,-0,-0,-0,-0
Other Assets +,"1,007","1,290","1,208","1,559"
Total Assets,"1,292","1,586","1,254","1,605"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,92,10,68,90
Cash from Investing Activity +,-45,-27,-10,-12
Cash from Financing Activity +,-43,40,-64,-37
Net Cash Flow,3,22,-6,41
Free Cash Flow,48,-18,58,78
CFO/OP,91%,23%,63%,59%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,52,53,50
Inventory Days,41,39,28,27
Days Payable,50,52,52,54
Cash Conversion Cycle,37,39,29,24
Working Capital Days,34,36,26,22
ROCE %,,17%,20%,39%

--- SHAREHOLDING PATTERN ---
,Mar 2026
Promoters +,40.17%
FIIs +,10.97%
DIIs +,12.13%
Public +,36.72%
No. of Shareholders,"25,343"

--- CAGR BOXES ---




