--- ABOUT ---
"Jayaswal Neco Industries Limited (JNIL) is the flagship company of NECO Group of Industries. Started in 1976 as a small-scale Iron Foundry unit, Jayaswal Neco Industries Limited (Foundry Division) is now a producer of Iron & steel castings. The Company is engaged in the manufacturing and supply of billets, rolled products, pig iron & skull, sponge iron, pellet, steel, and Iron & steel castings. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,708",89.7,117,

Book Value,Dividend Yield,ROCE,ROE
33.2,0.00,2.93,-0.87

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,"1,781","2,261","2,588","2,545","3,157","3,020","2,624"
Expenses +,"1,491","1,905","2,254","2,227","2,765","2,659","2,394"
Operating Profit,290,357,334,318,392,360,230
OPM %,16%,16%,13%,13%,12%,12%,9%
Other Income +,32,19,16,11,9,-75,-41
Interest,138,144,178,185,175,187,219
Depreciation,79,84,87,97,116,83,81
Profit before tax,105,148,85,48,111,16,-110
Tax %,34%,34%,36%,42%,44%,98%,-15%
Net Profit +,69,98,54,28,62,0,-94
EPS in Rs,2.92,3.91,1.49,0.56,1.04,0.00,-1.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,237,251,360,497,599,639,639
Reserves,356,488,868,"1,308","1,523","1,576","1,482"
Borrowings +,"1,131","1,244","1,716","2,422","3,679","4,055","4,114"
Other Liabilities +,240,825,664,701,779,958,863
Total Liabilities,"1,965","2,807","3,608","4,929","6,580","7,228","7,098"
Fixed Assets +,"1,130","1,098","1,166","1,268","1,481","1,410","2,207"
CWIP,39,199,635,"1,062","2,058","3,163","2,852"
Investments,0,0,0,1,1,1,1
Other Assets +,796,"1,510","1,808","2,597","3,040","2,654","2,038"
Total Assets,"1,965","2,807","3,608","4,929","6,580","7,228","7,098"

--- CASH FLOW ---
,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity +,84,410,179,195,184,332,521
Cash from Investing Activity +,12,-554,-516,"-1,114",-976,-515,-27
Cash from Financing Activity +,-92,152,408,947,889,-9,-506
Net Cash Flow,4,8,70,28,96,-192,-13
Free Cash Flow,20,-221,-350,-927,-799,-190,370
CFO/OP,33%,120%,64%,64%,52%,96%,226%

--- RATIOS ---
,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Debtor Days,32,41,41,43,47,38,44
Inventory Days,118,147,158,189,141,175,132
Days Payable,20,94,78,85,67,82,80
Cash Conversion Cycle,129,94,121,148,122,131,95
Working Capital Days,121,-42,1,-38,-46,-25,-64
ROCE %,,16%,10%,6%,6%,5%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.48%,49.48%,54.46%,54.46%,54.46%,54.46%,54.46%,55.15%,55.15%,55.15%,55.15%,55.15%
FIIs +,0.00%,0.00%,0.05%,0.10%,0.01%,0.01%,0.02%,0.02%,0.04%,1.07%,1.29%,0.90%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.21%,0.30%
Public +,50.51%,50.53%,45.48%,45.43%,45.52%,45.52%,45.52%,44.83%,44.81%,43.27%,43.35%,43.65%
No. of Shareholders,"38,987","40,994","41,681","45,197","45,579","51,026","50,911","51,309","51,611","1,02,768","1,02,763","96,844"

--- CAGR BOXES ---




