--- ABOUT ---
"Colgate-Palmolive India Ltd is engaged in manufacturing/ trading of toothpaste, tooth powder, toothbrush, mouthwash and personal care products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"54,337","1,998","2,505",126

Book Value,Dividend Yield,ROCE,ROE
12.1,2.55,179,158

Face Value
1.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales +,"1,129","1,291","1,470","1,698","1,960"
Expenses +,949,"1,091","1,219","1,411","1,525"
Operating Profit,180,199,251,287,434
OPM %,16%,15%,17%,17%,22%
Other Income +,55,17,77,91,98
Interest,1,1,1,2,2
Depreciation,43,20,21,28,31
Profit before tax,191,195,306,349,500
Tax %,27%,24%,23%,17%,13%
Net Profit +,140,148,237,288,436
EPS in Rs,5.15,5.46,8.67,10.51,15.96
Dividend Payout %,73%,87%,75%,71%,63%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Equity Capital,136,136,14,14,14
Reserves,145,142,154,202,317
Borrowings +,4,4,5,5,5
Other Liabilities +,353,423,557,579,550
Total Liabilities,638,706,729,799,885
Fixed Assets +,164,168,210,249,254
CWIP,9,24,31,8,6
Investments,145,130,65,35,20
Other Assets +,319,383,424,507,604
Total Assets,638,706,729,799,885

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Cash from Operating Activity +,188,158,291,350,404
Cash from Investing Activity +,-35,4,20,19,29
Cash from Financing Activity +,-121,-136,-278,-263,-339
Net Cash Flow,32,26,33,105,94
Free Cash Flow,147,128,248,316,373
CFO/OP,142%,110%,136%,141%,111%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Debtor Days,2,3,2,2,2
Inventory Days,56,51,53,48,54
Days Payable,176,174,187,193,177
Cash Conversion Cycle,-119,-120,-132,-143,-122
Working Capital Days,-42,-51,-76,-72,-58
ROCE %,,87%,134%,176%,179%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%
FIIs +,21.80%,24.08%,24.62%,24.51%,24.44%,24.94%,23.72%,22.23%,20.39%,17.16%,15.18%,13.60%
DIIs +,7.52%,5.59%,5.60%,5.82%,5.72%,5.55%,6.57%,7.84%,9.34%,11.95%,13.50%,15.25%
Government +,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%
Public +,19.41%,19.03%,18.50%,18.38%,18.54%,18.22%,18.44%,18.65%,19.00%,19.59%,20.03%,19.87%
No. of Shareholders,"2,52,955","2,37,907","2,38,200","2,31,061","2,48,801","2,39,193","2,65,337","2,82,973","3,05,222","3,32,409","3,37,608","3,33,741"

--- CAGR BOXES ---




