--- ABOUT ---
"NHPC, a Navratna Ratna  public sector utility, is Government of India’s flagship hydroelectric generation company. The company is primarily involved in the generation and sale of bulk power to various Power Utilities. Its other business includes providing project management / construction contracts/ consultancy assignment services and trading of power. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"76,161",75.8,89.8,20.2

Book Value,Dividend Yield,ROCE,ROE
41.2,2.52,5.73,9.29

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,029","2,757","2,931","2,056","1,887","2,694","3,052","2,287","2,347","3,214","3,365","2,221","2,816"
Expenses +,"1,141","1,253","1,163","1,303",735,"1,085","1,247","1,272","1,142","1,412","1,338","2,009","2,179"
Operating Profit,888,"1,505","1,768",752,"1,152","1,609","1,805","1,015","1,205","1,802","2,027",212,637
OPM %,44%,55%,60%,37%,61%,60%,59%,44%,51%,56%,60%,10%,23%
Other Income +,425,292,261,587,623,431,454,365,265,413,448,"1,449",306
Interest,111,109,116,133,365,244,308,649,-12,261,278,310,574
Depreciation,304,294,295,296,299,296,285,297,315,436,441,457,642
Profit before tax,898,"1,394","1,618",909,"1,111","1,500","1,666",434,"1,167","1,518","1,755",894,-274
Tax %,17%,21%,-5%,31%,46%,27%,36%,24%,21%,26%,31%,64%,-666%
Net Profit +,745,"1,095","1,693",623,605,"1,102","1,060",330,920,"1,131","1,219",321,"1,549"
EPS in Rs,0.65,1.03,1.54,0.48,0.54,1.02,0.90,0.23,0.85,1.06,1.02,0.22,1.45
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"8,221","8,354","8,623","7,755","8,983","10,008","9,648","9,144","10,607","9,631","10,380","11,615"
Expenses +,"3,087","3,571","3,739","3,508","4,002","5,152","4,371","5,131","4,423","4,695","4,957","6,379"
Operating Profit,"5,134","4,783","4,884","4,248","4,981","4,856","5,277","4,013","6,184","4,936","5,423","5,236"
OPM %,62%,57%,57%,55%,55%,49%,55%,44%,58%,51%,52%,45%
Other Income +,"1,597","1,174","2,245","1,185","1,733",901,"1,087",981,743,"2,030","1,726","2,057"
Interest,"1,296","1,160","1,133",924,896,877,577,586,475,767,"1,189","1,423"
Depreciation,"1,715","1,432","1,462","1,469","1,658","1,614","1,292","1,190","1,215","1,184","1,193","1,976"
Profit before tax,"3,718","3,365","4,535","3,040","4,159","3,266","4,495","3,217","5,237","5,015","4,767","3,894"
Tax %,25%,30%,23%,8%,32%,-2%,20%,-17%,19%,20%,28%,-8%
Net Profit +,"2,798","2,365","3,480","2,785","2,836","3,345","3,600","3,774","4,261","4,000","3,412","4,220"
EPS in Rs,2.25,1.85,2.95,2.45,2.58,2.87,3.26,3.51,3.89,3.58,2.99,3.75
Dividend Payout %,27%,81%,61%,57%,56%,52%,49%,52%,48%,53%,64%,43%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"11,071","11,071","10,259","10,259","10,045","10,045","10,045","10,045","10,045","10,045","10,045","10,045"
Reserves,"19,687","20,572","18,756","19,782","20,753","21,336","23,008","24,876","26,916","28,624","29,623","31,392"
Borrowings +,"20,584","19,938","19,227","18,602","19,066","23,226","23,365","26,096","29,540","32,561","39,557","52,327"
