--- ABOUT ---
"Incorporated in 1993, Aeroflex Industries Limited, manufactures and supplies environment-friendly metallic flexible flow solution products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,712",507,519,121

Book Value,Dividend Yield,ROCE,ROE
33.8,0.06,18.8,14.1

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,70,83,84,73,78,90,95,100,92,84,111,121,126
Expenses +,51,67,66,59,63,72,75,78,73,69,85,93,96
Operating Profit,19,16,18,14,14,18,20,22,19,15,26,28,30
OPM %,27%,19%,21%,19%,19%,20%,21%,22%,21%,18%,23%,23%,24%
Other Income +,0,1,0,1,1,1,1,1,0,0,0,0,1
Interest,1,1,1,0,0,0,0,0,0,0,0,0,0
Depreciation,2,1,2,2,2,2,2,3,4,6,6,6,8
Profit before tax,16,15,15,13,14,17,19,20,15,10,20,22,23
Tax %,23%,24%,24%,32%,28%,26%,27%,23%,25%,26%,28%,25%,22%
Net Profit +,13,11,12,9,10,12,14,15,11,7,14,16,18
EPS in Rs,1.10,0.97,0.90,0.70,0.78,0.96,1.06,1.18,0.87,0.55,1.10,1.28,1.33
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,144,144,241,269,318,376,442
Expenses +,122,122,194,216,256,296,342
Operating Profit,22,23,47,53,62,80,100
OPM %,15%,16%,20%,20%,20%,21%,23%
Other Income +,-3,-2,1,-3,4,2,1
Interest,12,9,7,4,3,1,1
Depreciation,4,4,4,5,6,11,26
Profit before tax,4,8,37,41,57,70,74
Tax %,-32%,25%,25%,27%,27%,25%,25%
Net Profit +,5,6,28,30,42,53,56
EPS in Rs,2.05,2.63,12.03,2.64,3.23,4.06,4.20
Dividend Payout %,0%,0%,0%,8%,8%,7%,10%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,26,26,26
Reserves,30,36,63,91,267,317,421
Borrowings +,63,53,39,45,0,1,9
Other Liabilities +,41,50,58,55,82,84,109
Total Liabilities,157,162,183,214,375,427,565
Fixed Assets +,44,43,46,56,83,172,213
CWIP,0,0,7,1,5,10,23
Investments,0,0,0,0,0,0,0
Other Assets +,113,118,131,157,287,245,329
Total Assets,157,162,183,214,375,427,565

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,13,12,32,7,44,27,66
Cash from Investing Activity +,-1,-3,-13,-9,-64,-74,-120
Cash from Financing Activity +,-10,-10,-14,0,90,-3,47
Net Cash Flow,2,-1,5,-2,70,-50,-7
Free Cash Flow,12,9,19,-2,6,-78,-5
CFO/OP,58%,54%,68%,14%,95%,54%,85%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,85,80,91,109,113,107
Inventory Days,122,134,84,120,107,109,122
Days Payable,130,157,80,78,100,93,117
Cash Conversion Cycle,64,62,84,132,116,129,112
Working Capital Days,91,114,69,94,107,127,118
ROCE %,,17%,36%,34%,26%,22%,19%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,66.99%,65.47%
FIIs +,1.13%,0.36%,0.29%,0.21%,0.13%,1.57%,0.66%,0.39%,0.23%,0.99%,1.49%
DIIs +,6.76%,5.83%,6.16%,5.91%,5.59%,5.66%,5.91%,3.87%,3.43%,3.55%,3.80%
Public +,25.12%,26.82%,26.56%,26.89%,27.27%,25.76%,26.43%,28.74%,29.34%,28.46%,29.23%
No. of Shareholders,"94,506","97,153","94,670","92,602","93,397","95,796","1,04,640","1,17,540","1,11,985","1,03,736","97,254"

--- CAGR BOXES ---




