--- ABOUT ---
"Incorporated in 1958, Foseco India Limited is engaged in the manufacture of products used in the metallurgical industry which are in the nature of additives and consumables that improve the physical properties and performance of castings. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,963","5,258","6,846",40.6

Book Value,Dividend Yield,ROCE,ROE
"1,375",0.48,17.4,12.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,136,149,151,189,202
Expenses +,114,121,123,147,161
Operating Profit,23,27,28,42,41
OPM %,17%,18%,18%,22%,20%
Other Income +,6,4,-1,-12,11
Interest,0,0,0,0,0
Depreciation,3,2,3,6,8
Profit before tax,26,29,24,24,44
Tax %,26%,26%,31%,36%,23%
Net Profit +,20,22,16,15,33
EPS in Rs,30.61,33.93,25.82,16.72,44.86
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Dec 2024,Dec 2025
Sales +,525,643
Expenses +,434,519
Operating Profit,91,125
OPM %,17%,19%
Other Income +,18,-5
Interest,0,0
Depreciation,10,13
Profit before tax,98,106
Tax %,26%,29%
Net Profit +,73,75
EPS in Rs,114.35,95.91
Dividend Payout %,22%,26%

--- BALANCE SHEET ---
,Dec 2024,Dec 2025
Equity Capital,6,8
Reserves,337,"1,029"
Borrowings +,2,3
Other Liabilities +,139,329
Total Liabilities,484,"1,368"
Fixed Assets +,45,774
CWIP,2,4
Investments,0,0
Other Assets +,438,590
Total Assets,484,"1,368"

--- CASH FLOW ---
,Dec 2024,Dec 2025
Cash from Operating Activity +,42,98
Cash from Investing Activity +,-143,-75
Cash from Financing Activity +,-16,-17
Net Cash Flow,-117,6
Free Cash Flow,27,89
CFO/OP,76%,105%

--- RATIOS ---
,Dec 2024,Dec 2025
Debtor Days,85,87
Inventory Days,47,57
Days Payable,155,166
Cash Conversion Cycle,-22,-22
Working Capital Days,24,19
ROCE %,,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,63.54%,63.54%
FIIs +,0.23%,0.26%,0.22%,0.24%,0.19%,0.14%,0.14%,0.13%,0.15%,0.12%,0.10%,0.08%
DIIs +,0.00%,0.05%,0.12%,0.10%,0.14%,0.30%,0.56%,0.57%,0.59%,0.68%,0.59%,0.58%
Public +,24.78%,24.70%,24.67%,24.67%,24.67%,24.57%,24.31%,24.31%,24.28%,24.22%,35.78%,35.81%
No. of Shareholders,"11,521","12,585","12,948","12,370","12,097","13,872","13,655","13,539","13,019","13,602","12,636","12,415"

--- CAGR BOXES ---




