--- ABOUT ---
"Incorporated in 2022, Indef Manufacturing Ltd is in the manufacturing business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
796,249,581,33.1

Book Value,Dividend Yield,ROCE,ROE
84.3,0.80,9.45,9.20

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,42.77,44.74,52.98,39.71,49.31,50.64,68.04
Expenses +,35.97,37.27,42.30,36.00,43.03,46.54,58.87
Operating Profit,6.80,7.47,10.68,3.71,6.28,4.10,9.17
OPM %,15.90%,16.70%,20.16%,9.34%,12.74%,8.10%,13.48%
Other Income +,5.84,3.30,4.29,5.30,2.70,4.19,-4.62
Interest,0.11,0.10,0.09,0.10,0.11,0.08,0.08
Depreciation,1.36,1.33,1.29,1.34,1.45,1.42,2.26
Profit before tax,11.17,9.34,13.59,7.57,7.42,6.79,2.21
Tax %,-0.98%,24.95%,25.46%,25.23%,16.17%,29.16%,-203.17%
Net Profit +,11.28,7.02,10.13,5.65,6.26,4.90,6.82
EPS in Rs,,2.19,3.17,1.77,1.96,1.53,2.13
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,179,208
Expenses +,148,184
Operating Profit,31,23
OPM %,17%,11%
Other Income +,17,8
Interest,0,0
Depreciation,5,6
Profit before tax,42,24
Tax %,19%,2%
Net Profit +,34,24
EPS in Rs,10.68,7.38
Dividend Payout %,0%,27%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,3,3
Reserves,250,267
Borrowings +,4,3
Other Liabilities +,45,60
Total Liabilities,301,332
Fixed Assets +,35,46
CWIP,2,0
Investments,199,210
Other Assets +,66,77
Total Assets,301,332

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,5,24
Cash from Investing Activity +,-10,-15
Cash from Financing Activity +,-2,-9
Net Cash Flow,-7,0
Free Cash Flow,-4,18
CFO/OP,33%,132%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,65,56
Inventory Days,85,102
Days Payable,89,107
Cash Conversion Cycle,62,51
Working Capital Days,50,22
ROCE %,,9%

--- SHAREHOLDING PATTERN ---
,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.61%,69.61%,69.61%,69.61%,69.61%
FIIs +,1.57%,1.59%,1.56%,1.56%,1.57%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.13%
Public +,28.82%,28.80%,28.83%,28.83%,28.70%
No. of Shareholders,"18,762","20,032","20,682","20,163","19,622"

--- CAGR BOXES ---




