--- ABOUT ---
"Incorporated in 1998, Indegene Ltd provides solutions consisting of analytics, technology and commercial, medical, regulatory and safety services to life science and health care organizations [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,826",532,597,30.9

Book Value,Dividend Yield,ROCE,ROE
130,0.38,18.8,14.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,632,608,636,673,673,676,687,720,756,761,804,942,"1,003"
Expenses +,535,511,515,524,534,548,561,589,608,606,664,783,840
Operating Profit,97,97,121,149,139,129,126,132,148,155,141,160,164
OPM %,15%,16%,19%,22%,21%,19%,18%,18%,20%,20%,17%,17%,16%
Other Income +,13,28,12,13,26,22,21,38,26,22,20,19,-10
Interest,12,13,12,12,12,12,4,3,3,4,4,5,7
Depreciation,20,20,20,18,18,20,19,20,21,22,23,40,42
Profit before tax,79,92,101,132,134,120,124,146,149,152,133,135,105
Tax %,38%,26%,25%,25%,29%,27%,26%,25%,21%,23%,23%,24%,24%
Net Profit +,49,68,75,99,95,88,92,110,118,116,102,103,80
EPS in Rs,2.20,3.08,3.38,4.45,4.26,3.67,3.83,4.58,4.90,4.85,4.25,4.28,3.31
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,553,643,966,"1,665","2,306","2,590","2,839","3,510"
Expenses +,511,499,736,"1,378","1,910","2,084","2,292","2,892"
Operating Profit,42,144,230,287,396,505,548,619
OPM %,8%,22%,24%,17%,17%,20%,19%,18%
Other Income +,7,-102,-3,-21,58,79,94,52
Interest,6,9,7,6,31,49,22,19
Depreciation,17,19,26,33,60,76,80,126
Profit before tax,26,14,195,226,363,459,539,525
Tax %,45%,191%,23%,28%,27%,27%,25%,24%
Net Profit +,14,-12,149,163,266,337,407,401
EPS in Rs,89.98,-40.20,951.96,937.73,11.99,15.14,16.95,16.65
Dividend Payout %,0%,0%,0%,0%,0%,0%,12%,13%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.31,0.31,0.31,0.35,44,44,48,48
Reserves,73,-105,324,764,"1,020","1,385","2,568","3,091"
Borrowings +,147,483,51,66,502,490,102,144
Other Liabilities +,108,222,220,524,638,627,609,"1,337"
Total Liabilities,329,600,596,"1,353","2,204","2,546","3,326","4,620"
Fixed Assets +,104,119,86,138,664,646,678,"1,812"
CWIP,0,0,0,0,0,0,4,12
Investments,0,13,0,120,614,796,"1,290","1,100"
Other Assets +,225,468,510,"1,096",926,"1,103","1,355","1,697"
Total Assets,329,600,596,"1,353","2,204","2,546","3,326","4,620"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,65,22,172,297,130,508,442,651
Cash from Investing Activity +,-18,-16,-81,-158,-896,-326,-677,-512
Cash from Financing Activity +,-21,136,-132,233,333,-66,288,-83
Net Cash Flow,25,143,-40,373,-433,115,52,56
Free Cash Flow,48,16,151,272,111,497,412,606
CFO/OP,196%,34%,96%,128%,60%,125%,110%,129%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,60,127,108,97,102,91,97,80
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,60,127,108,97,102,91,97,80
Working Capital Days,-7,-5,45,11,41,27,39,120
ROCE %,,37%,55%,46%,33%,29%,25%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,3.79%,4.82%,5.03%,5.24%,10.04%,11.30%,11.48%,10.27%
DIIs +,3.84%,3.17%,3.99%,4.96%,7.20%,6.95%,8.06%,8.29%
Public +,92.38%,92.01%,91.01%,89.80%,82.75%,81.74%,80.44%,81.43%
No. of Shareholders,"2,03,599","1,51,440","1,53,789","1,44,708","1,51,997","1,51,809","1,47,182","1,42,119"

--- CAGR BOXES ---




