--- ABOUT ---
"Incorporated in 2010, Tembo Global Industries Ltd manufactures and trades fabricated metal products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,042",562,837,11.4

Book Value,Dividend Yield,ROCE,ROE
244,0.36,22.8,27.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,87,81,114,115,122,128,164,168,274,248,245,251,346
Expenses +,84,77,106,110,120,120,149,137,245,220,213,207,307
Operating Profit,3,4,8,5,1,8,15,30,29,28,32,43,39
OPM %,4%,5%,7%,4%,1%,7%,9%,18%,10%,11%,13%,17%,11%
Other Income +,0,0,0,3,5,1,10,1,1,3,4,1,10
Interest,1,1,1,1,2,2,4,6,5,5,6,6,9
Depreciation,1,1,1,1,1,1,1,1,0,1,1,3,2
Profit before tax,2,3,7,6,3,7,20,25,24,26,30,35,38
Tax %,29%,25%,26%,25%,23%,26%,25%,24%,35%,22%,26%,26%,22%
Net Profit +,1,2,5,4,3,5,15,19,16,20,22,26,30
EPS in Rs,1.18,1.70,4.70,4.01,2.38,4.88,13.13,14.69,9.48,12.30,12.98,13.65,14.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,79,104,176,250,439,744,"1,090"
Expenses +,73,97,168,236,413,652,948
Operating Profit,6,8,8,13,25,92,142
OPM %,7%,7%,5%,5%,6%,12%,13%
Other Income +,0,0,2,0,1,-0,19
Interest,2,2,4,3,5,17,25
Depreciation,1,2,2,3,3,2,7
Profit before tax,3,3,4,8,19,72,130
Tax %,28%,30%,27%,27%,25%,30%,24%
Net Profit +,2,2,3,6,14,51,98
EPS in Rs,1.76,1.82,2.30,5.21,12.80,32.95,49.25
Dividend Payout %,32%,40%,0%,0%,8%,3%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,10,10,11,11,15,19
Reserves,16,13,15,29,55,196,434
Borrowings +,17,36,41,41,50,258,386
Other Liabilities +,13,22,26,29,47,104,468
Total Liabilities,51,81,92,110,163,574,"1,306"
Fixed Assets +,7,18,20,22,22,26,118
CWIP,1,0,0,3,8,84,68
Investments,0,0,1,1,1,2,31
Other Assets +,43,62,70,84,131,462,"1,089"
Total Assets,51,81,92,110,163,574,"1,306"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-0,-4,4,2,17,-77,-90
Cash from Investing Activity +,-3,-12,-5,-7,-32,-207,-85
Cash from Financing Activity +,4,16,2,6,15,287,258
Net Cash Flow,1,0,-0,0,-0,2,83
Free Cash Flow,-3,-16,-1,-6,9,-157,-187
CFO/OP,10%,-40%,62%,25%,77%,-78%,-43%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,94,108,57,34,26,59,78
Inventory Days,87,98,73,61,44,78,141
Days Payable,74,84,46,24,36,42,104
Cash Conversion Cycle,106,122,84,71,33,95,115
Working Capital Days,75,63,48,20,20,10,132
ROCE %,,12%,10%,18%,24%,31%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.43%,55.43%,55.43%,55.41%,55.41%,55.41%,55.41%,43.62%,41.41%,43.62%,36.38%,36.38%
FIIs +,1.94%,1.63%,1.63%,1.64%,1.63%,0.68%,0.09%,0.01%,0.05%,0.31%,8.62%,8.58%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.24%,0.22%,0.95%
Public +,42.62%,42.94%,42.94%,42.95%,42.95%,43.91%,44.51%,56.37%,58.32%,55.83%,54.79%,54.09%
No. of Shareholders,"3,764","3,687","4,603","6,029","6,508","10,385","16,912","19,007","17,965","17,870","16,106","17,469"

--- CAGR BOXES ---




