--- ABOUT ---
"Incorporated in 2011, BlueStone Jewellery and Lifestyle Limited manufactures and provides diamond, gold, platinum and studded jewellery. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,968",523,793,537

Book Value,Dividend Yield,ROCE,ROE
118,0.00,7.07,1.10

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,348,373,587,461,493,514,749,681
Expenses +,346,378,537,436,438,473,584,557
Operating Profit,2,-4,50,25,55,40,165,124
OPM %,1%,-1%,9%,5%,11%,8%,22%,18%
Other Income +,11,11,16,23,12,12,11,15
Interest,46,55,53,54,53,52,53,53
Depreciation,26,36,40,45,49,51,54,56
Profit before tax,-59,-84,-27,-51,-35,-52,69,31
Tax %,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-59,-84,-27,-51,-35,-52,69,31
EPS in Rs,-27.61,-25.96,-7.94,-14.51,-9.80,-3.42,4.57,2.10
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,"1,770","2,436"
Expenses +,"1,694","2,052"
Operating Profit,76,384
OPM %,4%,16%
Other Income +,58,50
Interest,208,210
Depreciation,147,210
Profit before tax,-222,13
Tax %,0%,0%
Net Profit +,-222,13
EPS in Rs,-62.91,0.97
Dividend Payout %,0%,0%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,30,15
Reserves,877,"1,785"
Borrowings +,"1,915","1,699"
Other Liabilities +,711,"1,461"
Total Liabilities,"3,532","4,961"
Fixed Assets +,"1,013","1,134"
CWIP,5,3
Investments,59,47
Other Assets +,"2,455","3,777"
Total Assets,"3,532","4,961"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,-666,-199
Cash from Investing Activity +,-84,-239
Cash from Financing Activity +,740,497
Net Cash Flow,-10,59
Free Cash Flow,-828,-276
CFO/OP,-869%,-52%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,1,1
Inventory Days,549,700
Days Payable,55,42
Cash Conversion Cycle,496,659
Working Capital Days,39,138
ROCE %,,7%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,16.36%,16.36%,16.27%
FIIs +,35.24%,34.94%,34.19%
DIIs +,32.49%,32.52%,33.90%
Public +,15.90%,16.19%,15.64%
No. of Shareholders,"46,553","42,074","39,697"

--- CAGR BOXES ---




