--- ABOUT ---
"Incorporated in 2010, Euro Pratik Sales Limited is engaged in the business of decorative wall panels and decorative laminates industry as a seller and marketer of Decorative Wall Panels and Decorative Laminates. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,849",279,390,34.4

Book Value,Dividend Yield,ROCE,ROE
30.3,0.07,38.4,30.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,48,88,75,73,65,97,80,93
Expenses +,34,48,48,54,42,66,46,68
Operating Profit,14,39,27,19,22,31,35,26
OPM %,29%,45%,37%,26%,34%,32%,43%,27%
Other Income +,5,0,3,1,-7,1,1,5
Interest,0,2,1,0,1,1,1,2
Depreciation,0,2,2,2,1,1,1,2
Profit before tax,18,36,28,17,14,30,34,27
Tax %,20%,27%,27%,17%,31%,23%,31%,20%
Net Profit +,15,26,20,14,9,23,24,22
EPS in Rs,16.60,2.60,1.96,1.42,0.95,2.25,2.28,2.07
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,221,284,335
Expenses +,141,182,222
Operating Profit,81,101,113
OPM %,36%,36%,34%
Other Income +,8,9,0
Interest,1,4,3
Depreciation,3,5,6
Profit before tax,85,101,104
Tax %,26%,24%,26%
Net Profit +,63,76,77
EPS in Rs,317.25,7.51,7.54
Dividend Payout %,0%,0%,3%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,10,10
Reserves,154,224,300
Borrowings +,13,19,24
Other Liabilities +,5,20,62
Total Liabilities,174,274,397
Fixed Assets +,25,30,85
CWIP,0,0,0
Investments,34,8,14
Other Assets +,115,236,298
Total Assets,174,274,397

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,75,-31,41
Cash from Investing Activity +,-28,36,-39
Cash from Financing Activity +,-42,-2,0
Net Cash Flow,4,4,2
Free Cash Flow,74,-33,-14
CFO/OP,119%,-4%,61%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73,123,106
Inventory Days,103,227,255
Days Payable,1,19,41
Cash Conversion Cycle,175,331,320
Working Capital Days,138,241,239
ROCE %,,50%,38%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.09%,70.09%,70.49%
FIIs +,1.66%,1.57%,0.49%
DIIs +,5.36%,5.01%,4.61%
Public +,22.89%,23.32%,24.43%
No. of Shareholders,"73,121","29,663","27,826"

--- CAGR BOXES ---




