--- ABOUT ---
"Incorporated in 2001, J.G Chemicals is a leading Zinc Oxide Manufacturer having the capability to produce up to 80 grades of Zinc oxide [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,715",438,558,26.0

Book Value,Dividend Yield,ROCE,ROE
135,0.23,18.1,13.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,194,172,153,161,181,203,212,209,224,218,220,248,286
Expenses +,179,167,145,147,164,180,191,186,205,198,202,226,265
Operating Profit,16,5,8,15,17,22,21,23,19,20,18,23,21
OPM %,8%,3%,5%,9%,9%,11%,10%,11%,9%,9%,8%,9%,8%
Other Income +,3,2,-1,2,3,0,3,3,4,3,4,3,5
Interest,2,2,1,1,1,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,16,5,5,15,18,21,23,24,22,22,20,25,25
Tax %,27%,25%,22%,28%,25%,25%,26%,26%,26%,25%,26%,25%,26%
Net Profit +,12,4,4,11,14,16,17,18,16,16,15,18,19
EPS in Rs,3.57,1.20,1.18,3.22,3.34,3.88,4.21,4.33,3.92,4.02,3.67,4.47,4.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,398,434,611,782,666,847,973
Expenses +,379,390,554,706,620,761,891
Operating Profit,20,44,57,76,46,87,82
OPM %,5%,10%,9%,10%,7%,10%,8%
Other Income +,8,5,10,10,6,10,16
Interest,6,5,7,5,4,1,1
Depreciation,2,2,3,3,5,5,5
Profit before tax,19,41,57,77,43,90,92
Tax %,27%,30%,25%,26%,26%,26%,25%
Net Profit +,14,29,43,57,32,67,69
EPS in Rs,106.23,192.13,327.95,17.32,7.88,16.34,16.81
Dividend Payout %,0%,0%,0%,0%,0%,6%,7%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,32,39,39,39
Reserves,84,107,151,176,359,426,489
Borrowings +,52,74,94,70,14,0,6
Other Liabilities +,12,27,18,20,37,33,34
Total Liabilities,149,210,264,298,449,498,569
Fixed Assets +,21,23,22,35,42,39,67
CWIP,0,0,7,1,0,1,8
Investments,6,9,8,3,43,51,136
Other Assets +,123,178,226,259,364,407,358
Total Assets,149,210,264,298,449,498,569

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,41,-7,7,31,76,-11,44
Cash from Investing Activity +,-11,-6,-5,-5,-140,25,-60
Cash from Financing Activity +,-30,17,-0,-29,107,-29,1
Net Cash Flow,-0,4,1,-2,43,-15,-15
Free Cash Flow,35,-13,-2,21,67,-16,5
CFO/OP,239%,4%,40%,67%,189%,13%,81%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,76,57,54,64,61,64
Inventory Days,49,51,65,60,37,60,42
Days Payable,3,8,4,5,5,9,5
Cash Conversion Cycle,91,119,118,109,96,112,101
Working Capital Days,59,72,68,82,96,119,156
ROCE %,,27%,28%,30%,14%,20%,18%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.99%,70.99%,70.99%,70.99%,70.99%,70.99%,70.99%,70.99%,70.99%
FIIs +,6.22%,6.33%,6.61%,6.04%,6.09%,6.05%,4.33%,3.20%,3.28%
DIIs +,3.17%,3.64%,3.77%,3.94%,3.70%,3.49%,3.15%,3.49%,3.47%
Public +,19.61%,19.04%,18.62%,19.02%,19.22%,19.47%,21.52%,22.31%,22.26%
No. of Shareholders,"72,624","48,774","47,383","47,526","47,402","46,172","46,582","45,884","43,725"

--- CAGR BOXES ---




