--- ABOUT ---
"Aditya Birla Fashion and Retail Ltd. (ABFRL) emerged after the consolidation of the branded apparel businesses of Aditya Birla Group comprising ABNL's Madura Fashion division and ABNL's subsidiaries Pantaloons Fashion and Retail (PFRL) and Madura Fashion & Lifestyle (MFL) in 2015. ABFRL is a part of the Aditya Birla Group, a US$ 48.3 billion Indian multinational, in the league of Fortune 500. Anchored by an extraordinary force of over 120,000 employees, belonging to 42 nationalities, the Aditya Birla Group operates in 34 countries across the globe. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,401",60.6,95.0,

Book Value,Dividend Yield,ROCE,ROE
47.8,0.00,-3.07,-11.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,880","3,196","3,226","4,167","1,575","1,674","1,761","2,201","1,719","1,831","1,982","2,374","1,990"
Expenses +,"2,687","2,904","2,904","3,613","1,540","1,585","1,683","1,908","1,520","1,726","1,920","2,072","1,802"
Operating Profit,193,292,323,553,35,89,77,293,199,106,62,302,188
OPM %,7%,9%,10%,13%,2%,5%,4%,13%,12%,6%,3%,13%,9%
Other Income +,39,61,46,51,84,57,134,95,243,64,55,40,112
Interest,142,187,208,245,152,132,141,151,143,113,124,132,146
Depreciation,348,367,389,444,287,274,286,296,315,316,325,350,349
Profit before tax,-259,-201,-229,-85,-321,-260,-217,-59,-15,-260,-333,-141,-195
Tax %,-25%,-20%,-12%,27%,-17%,-17%,-19%,-28%,52%,-10%,-11%,-3%,-16%
Net Profit +,-195,-162,-200,-108,-266,-215,-175,-42,-24,-234,-295,-137,-164
EPS in Rs,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.36,-0.48,-0.14,-1.74,-2.16,-1.25,-1.22
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"8,118","8,788","5,249","8,136","12,418","6,441","7,351","8,177"
Expenses +,"7,525","7,528","4,666","6,998","10,860","6,033","6,653","7,520"
Operating Profit,593,"1,259",583,"1,138","1,557",408,699,657
OPM %,7%,14%,11%,14%,13%,6%,10%,8%
Other Income +,63,63,73,103,123,319,525,270
Interest,225,469,530,389,536,588,608,516
Depreciation,282,885,963,997,"1,227","1,017","1,166","1,339"
Profit before tax,149,-33,-838,-145,-82,-877,-550,-928
Tax %,-115%,402%,-12%,-18%,-28%,-16%,-17%,-11%
Net Profit +,321,-165,-736,-118,-59,-736,-456,-830
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08,-6.36
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,773,774,915,938,949,"1,015","1,220","1,221"
Reserves,655,294,"1,729","1,835","2,394","3,007","5,592","4,619"
Borrowings +,"1,703","5,285","3,600","4,100","6,573","9,451","5,017","6,189"
Other Liabilities +,"3,489","3,406","3,805","5,321","6,873","8,317","4,565","5,729"
Total Liabilities,"6,621","9,758","10,049","12,195","16,790","21,790","16,394","17,757"
Fixed Assets +,"2,555","4,940","5,627","6,059","8,359","11,879","9,417","10,387"
CWIP,22,48,38,103,204,171,181,88
Investments,4,14,418,684,267,985,"1,749","1,240"
Other Assets +,"4,039","4,756","3,966","5,348","7,960","8,756","5,046","6,042"
Total Assets,"6,621","9,758","10,049","12,195","16,790","21,790","16,394","17,757"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,528,644,"1,104",951,636,"1,341","1,644",161
