--- ABOUT ---
"Incorporated in 1981, Paradeep Phosphates Limited is a manufacturer of non-urea fertilizers  and India’s second largest private sector phosphatic company. The company is engaged in manufacturing, trading, distribution, and sales of a variety of complex fertilizers such as DAP, three grades of Nitrogen-Phosphorus-Potassium (namely NPK-10, NPK-12, and NP-20), Zypmite, Phospho-gypsum, and Hydroflorosilicic Acid. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,142",136,234,13.8

Book Value,Dividend Yield,ROCE,ROE
65.3,0.73,17.1,18.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,644","3,054","3,683","2,595","2,243","2,377","4,619","4,990","4,194","4,504","6,872","5,749","4,702"
Expenses +,"3,553","3,093","3,427","2,313","2,095","2,231","4,112","4,551","3,811","3,923","6,216","5,276","4,260"
Operating Profit,91,-39,256,282,148,146,507,438,383,580,657,472,442
OPM %,2%,-1%,7%,11%,7%,6%,11%,9%,9%,13%,10%,8%,9%
Other Income +,70,19,11,9,31,19,20,42,60,34,42,-10,42
Interest,80,92,96,82,95,91,105,103,119,104,140,127,156
Depreciation,50,47,51,55,58,61,86,88,86,86,90,102,126
Profit before tax,31,-159,120,154,26,13,337,289,238,424,469,233,202
Tax %,67%,-25%,26%,29%,18%,59%,24%,28%,28%,25%,27%,22%,23%
Net Profit +,10,-120,89,109,22,5,255,209,172,317,342,182,156
EPS in Rs,0.12,-1.47,1.10,1.34,0.26,0.07,3.13,2.57,2.11,3.88,4.19,1.75,1.50
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,358","4,193","5,165","7,859","13,341","11,575","13,820","21,826"
Expenses +,"3,906","3,726","4,616","7,175","12,525","10,903","12,549","19,675"
Operating Profit,452,467,549,684,816,672,"1,271","2,152"
OPM %,10%,11%,11%,9%,6%,6%,9%,10%
Other Income +,29,27,12,27,76,45,96,107
Interest,159,192,111,86,291,366,362,528
Depreciation,70,72,83,90,175,211,252,403
Profit before tax,251,230,366,535,426,141,752,"1,328"
Tax %,37%,16%,39%,26%,29%,29%,27%,25%
Net Profit +,159,193,223,398,304,100,552,996
EPS in Rs,276.24,335.77,387.99,6.92,3.73,1.23,6.77,9.60
Dividend Payout %,36%,0%,0%,0%,13%,41%,15%,16%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,575,575,575,575,814,815,815,"1,038"
Reserves,907,"1,028","1,252","1,650","2,690","2,750","3,262","5,745"
Borrowings +,"3,123","2,298","1,251","2,954","4,648","4,014","4,358","6,906"
Other Liabilities +,"1,022","1,109","1,344","2,749","2,504","2,083","2,711","4,247"
Total Liabilities,"5,628","5,010","4,423","7,928","10,657","9,661","11,146","17,936"
Fixed Assets +,"1,024","1,214","1,226","1,261","2,872","3,431","3,349","6,026"
CWIP,255,149,220,336,697,372,553,424
Investments,0,3,125,553,3,3,272,25
Other Assets +,"4,349","3,644","2,852","5,778","7,085","5,855","6,972","11,461"
Total Assets,"5,628","5,010","4,423","7,928","10,657","9,661","11,146","17,936"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-920,"1,270","1,501",-44,"-2,377","1,437","1,386","-1,012"
Cash from Investing Activity +,-103,-143,-289,"-1,099",-419,-367,-597,-558
Cash from Financing Activity +,"1,018","-1,141","-1,124","1,589","2,301","-1,022",-6,998
Net Cash Flow,-5,-15,87,446,-495,48,783,-571
Free Cash Flow,"-1,047","1,131","1,332",-664,"-2,812","1,026","1,018","-1,878"
CFO/OP,-196%,278%,288%,6%,-274%,222%,120%,-34%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,196,187,82,42,101,86,67,80
Inventory Days,166,134,85,133,77,74,82,105
Days Payable,83,100,89,132,66,60,72,70
Cash Conversion Cycle,280,221,78,43,112,100,76,115
Working Capital Days,35,33,25,-50,14,13,-7,18
ROCE %,,10%,14%,15%,11%,7%,14%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.10%,56.08%,56.08%,56.08%,56.08%,56.08%,56.05%,56.05%,56.04%,57.20%,57.70%,57.79%
FIIs +,5.25%,5.57%,5.08%,1.63%,1.90%,2.05%,5.40%,7.17%,13.97%,15.01%,11.43%,8.36%
DIIs +,22.48%,23.56%,22.02%,24.60%,26.83%,27.09%,25.54%,24.44%,18.18%,14.56%,13.25%,15.49%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%
Public +,16.15%,14.78%,16.81%,17.69%,15.18%,14.79%,13.01%,12.33%,11.82%,13.21%,17.52%,18.25%
No. of Shareholders,"2,13,562","1,98,551","2,11,148","2,39,967","2,27,253","2,33,301","2,21,785","2,31,639","2,44,870","2,94,342","3,42,114","3,25,301"

--- CAGR BOXES ---




