--- ABOUT ---
"Pricol Limited is engaged in the business of manufacturing and selling of instrument clusters and other allied automobile components to OEMs and replacement markets. [1] The business was started in 1974 and is headquartered in Coimbatore, Tamil Nadu. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,815",559,695,27.2

Book Value,Dividend Yield,ROCE,ROE
103,0.36,25.9,22.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,523,537,578,573,584,620,669,634,769,895,"1,007","1,039","1,099"
Expenses +,462,473,511,505,510,539,592,559,689,796,889,918,968
Operating Profit,61,65,66,68,74,80,77,75,80,99,118,121,131
OPM %,12%,12%,12%,12%,13%,13%,12%,12%,10%,11%,12%,12%,12%
Other Income +,2,3,4,2,4,2,6,4,4,2,3,2,4
Interest,5,5,5,5,4,3,3,2,5,6,7,9,8
Depreciation,17,20,21,21,20,20,21,22,26,29,30,30,31
Profit before tax,41,43,44,44,55,59,60,54,53,66,85,84,96
Tax %,28%,26%,25%,23%,24%,23%,25%,24%,34%,25%,24%,25%,24%
Net Profit +,30,32,33,34,42,46,45,41,35,50,64,64,73
EPS in Rs,2.44,2.62,2.72,2.79,3.40,3.74,3.70,3.40,2.87,4.09,5.25,5.23,6.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,473","1,357","1,814","1,239","1,413","1,545","1,959","2,272","2,692","4,041"
Expenses +,"1,365","1,300","1,868","1,227","1,224","1,362","1,730","1,986","2,379","3,571"
Operating Profit,108,56,-54,13,189,183,229,285,313,469
OPM %,7%,4%,-3%,1%,13%,12%,12%,13%,12%,12%
Other Income +,10,5,13,15,22,7,14,1,17,12
Interest,19,14,38,34,43,27,18,18,13,30
Depreciation,73,74,94,96,94,82,78,82,90,120
Profit before tax,26,-26,-173,-102,74,80,147,186,227,331
Tax %,65%,85%,1%,-3%,44%,36%,15%,24%,26%,24%
Net Profit +,9,-49,-174,-99,42,51,125,141,167,251
EPS in Rs,0.76,-4.02,-14.26,-8.10,3.40,4.19,10.23,11.54,13.70,20.58
Dividend Payout %,103%,-19%,0%,0%,0%,0%,0%,0%,0%,10%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,12,12,12,12,12,12
Reserves,716,656,490,388,513,564,692,833,"1,004","1,243"
Borrowings +,164,448,279,431,279,153,110,61,135,379
Other Liabilities +,406,617,824,501,432,469,493,529,798,841
Total Liabilities,"1,295","1,731","1,602","1,330","1,235","1,198","1,307","1,435","1,949","2,475"
Fixed Assets +,739,834,699,731,642,612,597,632,871,"1,045"
CWIP,27,70,14,22,20,8,15,38,70,112
Investments,0,2,3,5,1,2,5,6,14,14
Other Assets +,529,825,887,571,573,576,691,759,994,"1,305"
Total Assets,"1,295","1,731","1,602","1,330","1,235","1,198","1,307","1,435","1,949","2,475"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,58,95,44,151,128,183,163,255,309,281
Cash from Investing Activity +,-57,-239,-126,-12,-29,-45,-66,-129,-377,-298
Cash from Financing Activity +,23,184,57,-169,-70,-154,-64,-69,56,33
Net Cash Flow,23,40,-25,-29,29,-16,33,57,-11,17
Free Cash Flow,-30,-49,-69,111,97,141,79,117,113,-22
CFO/OP,67%,210%,-74%,"1,210%",68%,107%,87%,103%,117%,78%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,53,80,39,58,49,56,50,46,64,52
Inventory Days,67,123,52,100,92,81,72,75,71,70
Days Payable,97,173,63,135,107,92,75,76,89,71
Cash Conversion Cycle,23,30,29,23,34,45,47,45,46,51
Working Capital Days,-10,-32,-12,-42,12,14,11,16,16,9
ROCE %,,-1%,-14%,-9%,16%,14%,20%,25%,23%,26%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%,38.51%
FIIs +,2.89%,3.96%,6.50%,14.39%,15.01%,15.74%,15.88%,16.26%,16.06%,16.53%,16.92%,15.61%
DIIs +,5.58%,5.59%,6.92%,16.59%,16.45%,15.70%,16.39%,15.66%,15.50%,14.55%,12.29%,12.44%
Public +,53.02%,51.93%,48.05%,30.50%,30.01%,30.05%,29.22%,29.57%,29.92%,30.39%,32.29%,33.44%
No. of Shareholders,"70,005","77,519","1,02,786","1,29,053","1,43,198","1,65,013","1,66,521","1,68,165","1,65,500","1,64,915","1,66,402","1,64,571"

--- CAGR BOXES ---




