--- ABOUT ---
"Ambuja Cements Ltd. is among the leading cement companies in India. It is a member of the Adani Group. Currently, Ambuja Cement has a cement capacity of 31 million tonnes with six integrated cement manufacturing plants and eight cement grinding units across the country. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,05,344",424,625 / 394,21.1

Book Value,Dividend Yield,ROCE,ROE
240,0.47,5.61,8.85

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"7,966","8,713","7,424","8,129","8,894","8,392","7,552","9,411","9,981","10,289","9,174","10,277","10,915"
Expenses +,"6,727","7,046","6,122","6,397","7,195","7,112","6,441","7,700","8,113","8,328","7,414","8,924","9,452"
Operating Profit,"1,239","1,667","1,302","1,732","1,699","1,280","1,111","1,712","1,868","1,961","1,761","1,353","1,464"
OPM %,16%,19%,18%,21%,19%,15%,15%,18%,19%,19%,19%,13%,13%
Other Income +,142,268,480,204,448,358,220,"1,355",713,300,39,77,138
Interest,39,52,61,70,93,68,67,67,14,67,77,59,21
Depreciation,352,372,381,416,459,476,520,607,694,798,885,911,"1,053"
Profit before tax,989,"1,512","1,340","1,450","1,595","1,094",744,"2,393","1,872","1,396",838,460,528
Tax %,23%,25%,26%,25%,5%,28%,33%,-11%,28%,27%,-175%,12%,-252%
Net Profit +,763,"1,135",987,"1,091","1,521",783,496,"2,663","1,351","1,017","2,302",403,"1,857"
EPS in Rs,3.25,4.56,3.99,4.15,4.78,2.60,1.95,8.76,4.16,3.39,7.14,0.97,7.40
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023 15m,Mar 2024,Mar 2025,Mar 2026
Sales +,"9,955","9,437","20,094","23,609","26,041","27,104","24,516","28,965","38,937","33,160","35,336","40,656"
Expenses +,"8,022","7,895","16,913","19,751","22,030","22,507","19,511","22,755","33,815","26,760","29,366","34,079"
Operating Profit,"1,934","1,542","3,181","3,858","4,011","4,597","5,006","6,210","5,122","6,400","5,971","6,577"
OPM %,19%,16%,16%,16%,15%,17%,20%,21%,13%,19%,17%,16%
Other Income +,419,353,441,335,232,601,288,252,447,"1,401","2,646",516
Interest,66,92,153,206,170,170,140,146,195,276,216,224
Depreciation,513,630,"1,461","1,219","1,154","1,153","1,162","1,152","1,645","1,628","2,297","3,570"
Profit before tax,"1,774","1,173","2,008","2,768","2,919","3,875","3,992","5,164","3,729","5,896","6,104","3,299"
Tax %,16%,31%,29%,30%,-2%,28%,22%,28%,19%,20%,13%,-71%
Net Profit +,"1,487",808,"1,434","1,945","2,973","2,783","3,107","3,711","3,024","4,735","5,294","5,637"
EPS in Rs,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.00,13.01,16.26,17.47,19.13
Dividend Payout %,46%,54%,50%,47%,14%,14%,151%,45%,19%,12%,11%,10%

--- BALANCE SHEET ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,310,310,397,397,397,397,397,397,397,440,493,494
Reserves,"9,760","9,961","19,424","20,275","21,973","23,681","22,360","24,957","31,301","41,012","53,086","58,853"
Borrowings +,34,35,29,24,40,41,471,477,523,699,788,866
Other Liabilities +,"3,774","3,827","12,974","14,813","14,981","16,059","16,490","19,374","19,501","22,916","26,735","29,361"
Total Liabilities,"13,878","14,133","32,824","35,509","37,391","40,178","39,718","45,205","51,721","65,067","81,102","89,574"
Fixed Assets +,"6,310","6,170","21,410","20,898","20,636","20,701","20,486","22,254","23,551","32,194","42,766","58,263"
CWIP,692,416,582,667,"1,008","1,554","2,422","2,168","2,526","2,658","9,858","9,121"
Investments,"2,097","2,149",175,153,133,150,167,198,214,849,"1,912",113
Other Assets +,"4,780","5,398","10,657","13,791","15,613","17,773","16,643","20,585","25,430","29,365","26,566","22,077"
Total Assets,"13,878","14,133","32,824","35,509","37,391","40,178","39,718","45,205","51,721","65,067","81,102","89,574"

--- CASH FLOW ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,675","1,557","2,810","3,416","1,703","4,739","4,832","5,309",735,"5,646","2,237","5,362"
Cash from Investing Activity +,-456,-83,"-4,165",-738,-765,"-1,191","-1,317","-2,007","-14,481","-8,941","-7,529","-7,935"
Cash from Financing Activity +,-721,-900,-958,"-1,015",-719,-629,"-3,956",-516,"2,931","5,689","5,592","-1,629"
Net Cash Flow,498,574,"-2,312","1,663",220,"2,919",-441,"2,786","-10,815","2,394",301,"-4,203"
Free Cash Flow,854,937,"1,925","2,332",612,"3,132","3,107","3,013","-3,331","1,685","-6,293",-594
CFO/OP,102%,104%,107%,102%,71%,115%,120%,96%,29%,103%,44%,77%

--- RATIOS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,11,17,14,18,14,8,8,11,13,16,17
Inventory Days,379,394,339,323,333,208,193,337,234,238,238,246
Days Payable,265,299,324,370,339,231,259,359,198,196,167,227
Cash Conversion Cycle,123,107,32,-33,13,-9,-58,-14,46,56,86,37
Working Capital Days,-61,-65,-67,-62,-34,-56,-80,-74,45,8,-25,-3
ROCE %,18%,11%,11%,12%,12%,14%,14%,17%,12%,13%,11%,6%

--- SHAREHOLDING PATTERN ---
