--- ABOUT ---
"Incorporated in 2006, Yatra Online Ltd is an online travel and hospitality company. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,773",113,202,35.2

Book Value,Dividend Yield,ROCE,ROE
52.9,0.00,7.24,6.23

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,119.14,110.18,94.13,110.34,107.67,100.81,236.40,235.26,218.97,209.81,350.87,256.82,189.01
Expenses +,100.54,94.20,102.61,106.72,104.08,96.22,227.20,221.69,201.89,186.73,326.99,234.31,178.13
Operating Profit,18.60,15.98,-8.48,3.62,3.59,4.59,9.20,13.57,17.08,23.08,23.88,22.51,10.88
OPM %,15.61%,14.50%,-9.01%,3.28%,3.33%,4.55%,3.89%,5.77%,7.80%,11.00%,6.81%,8.76%,5.76%
Other Income +,3.46,2.46,3.23,8.86,11.40,8.29,7.90,6.05,9.59,5.59,5.05,0.99,10.36
Interest,7.83,6.28,6.17,5.58,4.25,2.44,2.37,2.16,3.27,2.44,2.17,3.55,4.39
Depreciation,3.75,4.83,4.81,4.70,5.35,6.10,7.38,7.38,10.03,9.15,9.87,10.94,11.19
Profit before tax,10.48,7.33,-16.23,2.20,5.39,4.34,7.35,10.08,13.37,17.08,16.89,9.01,5.66
Tax %,14.50%,18.28%,5.55%,52.27%,-3.34%,6.91%,0.68%,0.69%,-13.84%,6.38%,15.45%,7.44%,-44.88%
Net Profit +,8.97,5.99,-17.13,1.06,5.58,4.04,7.30,10.01,15.22,16.00,14.28,8.34,8.20
EPS in Rs,0.78,0.52,-1.09,0.07,0.36,0.26,0.47,0.64,0.97,1.02,0.91,0.53,0.52
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,845,673,125,198,380,422,791,"1,007"
Expenses +,"1,004",628,148,207,344,408,747,926
Operating Profit,-160,46,-23,-9,37,15,44,80
OPM %,-19%,7%,-18%,-4%,10%,3%,6%,8%
Other Income +,30,-31,-27,18,17,26,32,22
Interest,16,18,10,10,23,22,10,13
Depreciation,62,62,52,28,18,20,31,41
Profit before tax,-207,-66,-112,-29,12,-1,35,49
Tax %,3%,6%,6%,5%,37%,247%,-4%,4%
Net Profit +,-212,-70,-119,-31,8,-5,37,47
EPS in Rs,-207.75,-65.76,-107.17,-2.75,0.67,-0.29,2.33,2.98
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,11,11,11,11,16,16,16
Reserves,224,202,112,90,158,732,768,815
Borrowings +,116,151,61,63,178,85,78,103
Other Liabilities +,854,511,376,383,333,384,459,403
Total Liabilities,"1,204",874,561,547,681,"1,217","1,321","1,336"
Fixed Assets +,285,236,146,112,115,123,273,304
CWIP,8,3,2,4,4,8,10,0
Investments,0,0,0,0,0,0,0,0
Other Assets +,911,636,413,431,562,"1,086","1,038","1,032"
Total Assets,"1,204",874,561,547,681,"1,217","1,321","1,336"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-409,-43,104,-83,-153,-142,-89,76
Cash from Investing Activity +,-64,13,-21,-8,-14,-231,100,-45
Cash from Financing Activity +,358,32,6,20,138,466,-102,-54
Net Cash Flow,-115,2,90,-71,-29,93,-91,-23
Free Cash Flow,-450,-60,97,-93,-168,-169,-117,31
CFO/OP,242%,-85%,-355%,973%,-383%,-903%,-205%,103%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,208,133,284,358,276,389,251,194
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,208,133,284,358,276,389,251,194
Working Capital Days,-104,-84,-335,-279,-57,153,167,146
ROCE %,,1%,-21%,-7%,14%,4%,5%,7%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,64.46%,62.66%
FIIs +,9.34%,4.52%,5.00%,4.66%,4.26%,3.09%,2.75%,2.82%,4.20%,5.06%,4.25%
DIIs +,19.40%,24.39%,23.55%,22.51%,21.61%,21.40%,20.29%,19.09%,13.27%,11.13%,11.84%
Public +,6.79%,6.61%,6.98%,8.37%,9.66%,11.04%,12.50%,13.63%,18.06%,19.36%,21.24%
No. of Shareholders,"57,804","35,524","30,915","33,856","35,253","38,319","39,831","40,125","46,125","45,441","46,825"

--- CAGR BOXES ---




