--- ABOUT ---
"VST Industries is engaged inter-alia in manufacture and trading of Cigarettes, Tobacco and Tobacco products.(Source : 202003 Annual Report Page No: 93)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,416",260,319,71.9

Book Value,Dividend Yield,ROCE,ROE
14.7,4.62,34.4,24.9

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales +,349,333,339,380,471
Expenses +,251,253,263,338,402
Operating Profit,98,80,76,42,69
OPM %,28%,24%,22%,11%,15%
Other Income +,-3,17,24,60,34
Interest,0,0,0,0,0
Depreciation,10,12,14,16,18
Profit before tax,85,86,86,86,86
Tax %,48%,35%,32%,28%,27%
Net Profit +,44,56,58,62,62
EPS in Rs,2.61,3.27,3.44,3.64,3.65
Dividend Payout %,43%,56%,53%,75%,75%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Equity Capital,15,15,15,15,15
Reserves,179,198,219,227,235
Borrowings +,0,0,0,0,0
Other Liabilities +,147,191,224,259,310
Total Liabilities,341,404,459,502,560
Fixed Assets +,90,96,120,127,134
CWIP,1,2,3,5,7
Investments,161,184,223,194,191
Other Assets +,89,121,113,175,228
Total Assets,341,404,459,502,560

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Cash from Operating Activity +,68,71,68,22,52
Cash from Investing Activity +,-62,-29,-61,24,-5
Cash from Financing Activity +,-22,-23,-37,-37,-55
Net Cash Flow,-16,20,-30,9,-7
Free Cash Flow,43,52,30,-3,25
CFO/OP,98%,128%,132%,98%,117%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Debtor Days,4,6,5,5,11
Inventory Days,145,186,203,271,250
Days Payable,323,420,408,326,225
Cash Conversion Cycle,-173,-227,-200,-51,36
Working Capital Days,-80,-126,-135,-102,-78
ROCE %,,42%,35%,26%,34%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%,32.16%
FIIs +,1.55%,1.40%,1.39%,1.37%,1.83%,1.82%,1.98%,1.87%,1.60%,1.38%,1.22%,1.34%
DIIs +,17.24%,17.54%,17.52%,15.69%,12.64%,9.07%,8.96%,7.22%,6.24%,6.23%,6.31%,6.63%
Public +,48.69%,48.53%,48.57%,50.42%,53.00%,56.77%,56.71%,58.57%,59.81%,60.03%,60.11%,59.69%
Others +,0.37%,0.37%,0.37%,0.37%,0.37%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%
No. of Shareholders,"31,258","30,431","31,073","32,868","34,355","1,05,832","1,22,857","1,50,548","1,58,755","1,54,521","1,51,077","1,46,815"

--- CAGR BOXES ---




