--- ABOUT ---
"Incorporated in 2019, EPACK Durable Limited is an Original Design Manufacturer (ODM) of room air conditioners (RAC). [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,217",230,415,680

Book Value,Dividend Yield,ROCE,ROE
99.8,0.00,4.55,0.34

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,639.08,436.70,178.10,279.06,525.70,773.68,377.10,376.84,643.25,662.39,213.26,427.75,591.05
Expenses +,577.92,407.71,170.68,255.67,470.81,722.17,368.19,353.66,572.36,608.04,214.36,398.39,567.38
Operating Profit,61.16,28.99,7.42,23.39,54.89,51.51,8.91,23.18,70.89,54.35,-1.10,29.36,23.67
OPM %,9.57%,6.64%,4.17%,8.38%,10.44%,6.66%,2.36%,6.15%,11.02%,8.21%,-0.52%,6.86%,4.00%
Other Income +,1.10,0.79,0.73,1.88,5.55,6.13,4.74,4.87,5.50,5.68,6.16,2.77,2.85
Interest,9.27,9.80,8.09,9.74,11.32,14.01,13.75,12.44,13.73,15.85,20.23,13.48,11.37
Depreciation,7.06,7.75,8.32,8.86,10.55,11.32,11.60,12.11,12.36,12.72,13.51,13.61,14.15
Profit before tax,45.93,12.23,-8.26,6.67,38.57,32.31,-11.70,3.50,50.30,31.46,-28.68,5.04,1.00
Tax %,27.39%,28.62%,-26.51%,26.69%,27.85%,27.55%,-27.35%,28.00%,25.01%,27.21%,-22.42%,48.61%,97.00%
Net Profit +,33.35,8.73,-6.08,4.89,27.83,23.41,-8.49,2.51,37.72,22.89,-22.25,2.59,0.02
EPS in Rs,6.40,1.68,-1.17,0.62,2.91,2.44,-0.88,0.26,3.93,2.39,-2.31,0.27,0.00
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,736,924,"1,539","1,420","2,171","1,894"
Expenses +,694,855,"1,437","1,305","2,016","1,787"
Operating Profit,42,69,102,115,155,107
OPM %,6%,7%,7%,8%,7%,6%
Other Income +,3,3,-0,9,21,16
Interest,26,29,31,39,54,61
Depreciation,9,16,26,35,47,54
Profit before tax,11,26,44,49,74,9
Tax %,28%,34%,27%,28%,26%,63%
Net Profit +,8,17,32,35,55,3
EPS in Rs,1.62,3.35,6.14,3.69,5.75,0.34
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,48,52,52,96,96,96
Reserves,21,70,262,796,856,864
Borrowings +,262,415,525,386,416,739
Other Liabilities +,189,539,626,489,645,806
Total Liabilities,520,"1,077","1,464","1,768","2,013","2,506"
Fixed Assets +,116,327,419,678,691,909
CWIP,0,8,92,27,58,89
Investments,0,3,5,9,20,12
Other Assets +,404,738,949,"1,054","1,244","1,496"
Total Assets,520,"1,077","1,464","1,768","2,013","2,506"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,47,-29,19,257,31,-140
Cash from Investing Activity +,-7,-204,-218,-377,-95,-113
Cash from Financing Activity +,-43,254,235,167,-29,254
Net Cash Flow,-2,20,36,47,-93,2
Free Cash Flow,43,-206,-213,100,-83,-455
CFO/OP,117%,-29%,31%,232%,30%,-125%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,116,141,114,55,50,68
Inventory Days,79,127,81,116,117,190
Days Payable,85,153,107,127,108,162
Cash Conversion Cycle,110,115,87,43,59,96
Working Capital Days,16,-74,-47,36,-2,2
ROCE %,,13%,11%,8%,10%,5%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.11%,48.14%,48.06%,48.04%,48.04%,48.04%,47.91%,47.18%,47.18%
FIIs +,1.30%,0.73%,1.97%,1.31%,1.58%,0.41%,1.48%,0.26%,0.28%
DIIs +,18.17%,16.01%,10.58%,8.98%,6.57%,5.55%,5.91%,7.06%,6.56%
Public +,32.41%,35.12%,39.40%,41.66%,43.81%,46.01%,44.70%,45.51%,45.97%
No. of Shareholders,"1,37,062","1,04,254","87,646","1,14,464","1,34,018","1,36,162","1,32,719","1,35,977","1,30,580"

--- CAGR BOXES ---




