--- ABOUT ---
"Incorporated in 1980, Electronics Mart India Limited is the 4th largest consumer durable and electronics retailer in India. The company offers a diversified range of products with a focus on large appliances (air conditioners, televisions, washing machines, and refrigerators), mobiles and small appliances, IT, and others. The company's offering includes more than 6,000 SKUs (stock keeping units) across product categories from more than 70 consumer durable and electronic brands. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,650",121,168,45.3

Book Value,Dividend Yield,ROCE,ROE
42.3,0.00,8.14,6.50

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,328","1,684","1,313","1,775","1,524","1,927","1,335","1,805","1,664","1,739","1,591","1,940","1,913"
Expenses +,"1,237","1,554","1,217","1,659","1,417","1,767","1,253","1,703","1,557","1,629","1,509","1,821","1,785"
Operating Profit,91,130,97,115,108,160,82,102,107,110,82,118,129
OPM %,7%,8%,7%,6%,7%,8%,6%,6%,6%,6%,5%,6%,7%
Other Income +,5,2,2,2,3,2,2,2,2,-7,17,-0,6
Interest,27,27,23,29,28,29,22,30,36,37,39,38,40
Depreciation,23,25,25,26,29,30,31,30,35,37,38,40,41
Profit before tax,46,81,50,62,53,103,31,44,38,29,22,39,53
Tax %,22%,25%,25%,26%,24%,25%,25%,24%,29%,25%,25%,25%,26%
Net Profit +,36,60,37,46,41,77,23,34,27,22,16,30,40
EPS in Rs,0.94,1.57,0.97,1.19,1.05,2.00,0.61,0.87,0.69,0.56,0.42,0.77,1.03
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,172","3,202","4,349","5,446","6,285","6,965","7,183"
Expenses +,"2,945","2,998","4,057","5,110","5,836","6,514","6,745"
Operating Profit,228,204,292,336,449,451,438
OPM %,7%,6%,7%,6%,7%,6%,6%
Other Income +,-1,5,4,11,10,8,15
Interest,63,72,85,99,108,118,154
Depreciation,51,58,71,85,106,127,156
Profit before tax,112,80,140,163,246,215,143
Tax %,27%,26%,26%,25%,25%,26%,25%
Net Profit +,82,59,104,123,184,160,107
EPS in Rs,2.72,1.95,3.46,3.19,4.78,4.16,2.78
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,300,300,300,385,385,385,385
Reserves,133,192,297,800,985,"1,146","1,241"
Borrowings +,872,968,"1,149","1,432","1,570","1,976","1,997"
Other Liabilities +,43,64,87,78,120,190,174
Total Liabilities,"1,348","1,524","1,832","2,694","3,059","3,697","3,797"
Fixed Assets +,223,674,785,"1,142","1,356","1,758","1,932"
CWIP,351,2,24,14,45,30,19
Investments,0,0,0,0,0,0,0
Other Assets +,774,848,"1,023","1,538","1,658","1,908","1,846"
Total Assets,"1,348","1,524","1,832","2,694","3,059","3,697","3,797"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,36,64,116,-1,160,176,444
Cash from Investing Activity +,-70,-60,-68,-301,-117,-332,-125
Cash from Financing Activity +,71,-56,-49,470,-161,101,-299
Net Cash Flow,36,-52,-1,169,-118,-55,19
Free Cash Flow,-28,10,48,-247,-14,-159,310
CFO/OP,35%,41%,53%,14%,51%,52%,111%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10,11,10,9,11,9,3
Inventory Days,54,63,60,60,66,76,74
Days Payable,1,1,3,2,3,6,4
Cash Conversion Cycle,63,73,66,67,73,79,73
Working Capital Days,14,23,22,31,39,37,36
ROCE %,,11%,14%,12%,13%,10%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,77.97%,72.97%,72.97%,72.97%,72.97%,65.17%,65.17%,65.17%,65.17%,65.17%,65.17%,65.17%
FIIs +,3.44%,4.51%,4.99%,5.12%,4.95%,8.80%,9.23%,8.68%,7.18%,6.86%,6.15%,5.19%
DIIs +,10.92%,15.18%,16.50%,16.73%,16.96%,18.93%,17.96%,18.55%,17.22%,17.90%,18.93%,20.08%
Public +,7.67%,7.34%,5.54%,5.18%,5.12%,7.10%,7.65%,7.61%,10.42%,10.06%,9.76%,9.56%
No. of Shareholders,"89,747","85,851","84,116","85,259","84,095","1,03,669","1,09,472","1,07,877","1,14,132","1,17,362","1,12,825","1,09,259"

--- CAGR BOXES ---




