--- ABOUT ---
"Incorporated in 2000, Signatureglobal (India) Limited is a real estate development company operating in the National Capital Region of Delhi (""Delhi NCR"") focussed on offering affordable and mid-segment housing. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,224",799,"1,298",313

Book Value,Dividend Yield,ROCE,ROE
132,0.00,2.60,2.79

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,705,166,99,282,694,401,749,828,520,866,338,284,"1,107"
Expenses +,672,176,129,289,674,402,761,814,477,832,413,348,"1,051"
Operating Profit,33,-10,-30,-7,20,-1,-12,13,44,33,-74,-63,56
OPM %,5%,-6%,-31%,-2%,3%,-0%,-2%,2%,8%,4%,-22%,-22%,5%
Other Income +,5,13,23,20,28,27,28,34,50,33,34,28,"1,355"
Interest,11,6,11,5,8,7,17,14,13,13,13,17,17
Depreciation,5,5,5,6,6,5,7,8,8,8,8,8,9
Profit before tax,22,-8,-24,2,35,13,-7,26,73,46,-62,-60,"1,386"
Tax %,65%,-15%,-16%,-6%,-19%,49%,-158%,-11%,16%,25%,-24%,-24%,17%
Net Profit +,8,-7,-20,2,41,7,4,29,61,34,-47,-45,"1,152"
EPS in Rs,0.61,-0.58,-1.42,0.15,2.93,0.48,0.29,2.07,4.35,2.45,-3.33,-3.23,82.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,242,82,901,"1,554","1,241","2,498","2,596"
Expenses +,278,163,986,"1,547","1,268","2,454","2,644"
Operating Profit,-37,-81,-84,6,-28,44,-48
OPM %,-15%,-99%,-9%,0%,-2%,2%,-2%
Other Income +,22,67,38,32,84,140,"1,450"
Interest,55,71,70,73,30,52,60
Depreciation,5,12,21,22,22,27,32
Profit before tax,-74,-97,-136,-57,4,105,"1,310"
Tax %,-24%,-11%,-15%,12%,-265%,4%,16%
Net Profit +,-57,-86,-116,-64,16,101,"1,095"
EPS in Rs,-101.43,-151.23,-10.23,-5.12,1.15,7.19,77.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,11,12,14,14,14
Reserves,-99,-213,-364,35,613,713,"1,836"
Borrowings +,981,"1,186","1,170","1,724","1,933","2,394","2,979"
Other Liabilities +,"2,043","2,784","3,632","4,250","5,914","9,746","12,427"
Total Liabilities,"2,931","3,763","4,449","6,022","8,474","12,866","17,255"
Fixed Assets +,69,104,169,136,104,146,116
CWIP,2,0,0,0,15,0,0
Investments,109,57,5,0,0,0,"1,294"
Other Assets +,"2,751","3,603","4,276","5,885","8,356","12,720","15,846"
Total Assets,"2,931","3,763","4,449","6,022","8,474","12,866","17,255"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,73,36,205,-278,92,501,126
Cash from Investing Activity +,-72,-26,54,8,-488,46,478
Cash from Financing Activity +,8,97,-269,673,368,141,417
Net Cash Flow,9,107,-10,403,-28,687,"1,021"
Free Cash Flow,58,-16,116,-294,64,462,113
CFO/OP,-269%,-36%,-247%,"-4,177%",-549%,"1,324%",-423%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,66,2,7,10,9,9
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,46,66,2,7,10,9,9
Working Capital Days,26,505,-45,92,233,51,-88
ROCE %,,-2%,-7%,1%,1%,5%,3%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%,69.63%
FIIs +,5.42%,5.66%,6.09%,8.33%,12.21%,12.04%,10.36%,10.60%,10.58%,10.12%,9.53%
DIIs +,5.90%,5.63%,5.08%,5.31%,4.70%,4.82%,5.16%,5.25%,5.52%,5.17%,5.41%
Public +,19.04%,19.07%,19.19%,16.72%,13.46%,13.50%,14.86%,14.54%,14.28%,15.09%,15.44%
No. of Shareholders,"22,355","13,279","13,940","14,540","17,562","19,098","21,558","21,540","22,506","21,037","21,320"

--- CAGR BOXES ---




