--- ABOUT ---
"Founded in 1988, Kalpataru Limited is a real estate development company based in Mumbai, Maharashtra. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,713",326,458,70.7

Book Value,Dividend Yield,ROCE,ROE
200,0.00,1.34,2.88

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,492,530,506,588,597,443,794,505,"1,694"
Expenses +,484,527,471,550,617,471,788,580,"1,478"
Operating Profit,8,3,35,38,-20,-28,6,-75,216
OPM %,2%,1%,7%,6%,-3%,-6%,1%,-15%,13%
Other Income +,43,14,28,32,70,14,22,23,35
Interest,10,5,6,66,11,32,12,15,11
Depreciation,10,9,9,9,11,10,11,12,14
Profit before tax,31,4,48,-4,29,-56,5,-79,226
Tax %,42%,112%,42%,448%,29%,-8%,-4%,-15%,14%
Net Profit +,18,-0,28,-23,20,-52,5,-67,194
EPS in Rs,1.74,-0.05,2.16,-1.57,0.84,-2.40,0.26,-3.05,9.74
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,359","1,111",990,"3,633","1,930","2,222","3,436"
Expenses +,"1,257","1,040","1,038","3,713","2,058","2,165","3,317"
Operating Profit,103,71,-48,-80,-129,57,119
OPM %,8%,6%,-5%,-2%,-7%,3%,3%
Other Income +,238,288,248,83,110,110,93
Interest,359,381,306,130,34,53,70
Depreciation,38,33,33,32,33,38,46
Profit before tax,-57,-55,-140,-159,-86,76,96
Tax %,-19%,-3%,-6%,45%,26%,67%,17%
Net Profit +,-43,-57,-131,-229,-108,25,80
EPS in Rs,-3.10,-4.06,-9.37,-14.56,-6.80,1.29,4.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,140,140,140,140,140,167,206
Reserves,"1,224","1,164","1,294","1,076",880,"2,314","3,911"
Borrowings +,"6,027","7,374","10,366","9,680","10,688","10,172","9,168"
Other Liabilities +,966,"1,172","1,616","1,639","2,163","3,722","4,398"
Total Liabilities,"8,356","9,850","13,415","12,534","13,871","16,375","17,682"
Fixed Assets +,647,725,699,682,639,767,702
CWIP,214,110,121,131,146,105,109
Investments,734,735,77,86,93,116,187
Other Assets +,"6,761","8,280","12,519","11,636","12,993","15,387","16,685"
Total Assets,"8,356","9,850","13,415","12,534","13,871","16,375","17,682"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,871,757,402,"2,139",376,488,848
Cash from Investing Activity +,53,-41,104,-32,-132,-35,-142
Cash from Financing Activity +,-771,-645,-422,"-2,101",-300,-644,-577
Net Cash Flow,153,71,84,6,-56,-190,130
Free Cash Flow,863,744,385,"2,123",391,449,742
CFO/OP,893%,"1,108%",-947%,"-2,670%",-317%,903%,816%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,147,187,249,48,118,128,68
Inventory Days,"1,458","2,186","4,452",,,,
Days Payable,98,101,122,,,,
Cash Conversion Cycle,"1,507","2,272","4,579",48,118,128,68
Working Capital Days,614,598,934,291,632,690,517
ROCE %,,4%,2%,-0%,-1%,1%,1%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,81.34%,81.34%,81.34%,81.34%
FIIs +,7.66%,7.68%,7.96%,8.09%
DIIs +,6.26%,6.79%,6.51%,6.29%
Public +,4.74%,4.18%,4.19%,4.28%
No. of Shareholders,"1,04,911","60,937","57,050","54,264"

--- CAGR BOXES ---




