--- ABOUT ---
"Incorporated in 2008, Gretex Corporate Services Ltd is in the business of Merchant Banking [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,061",439,444,56.2

Book Value,Dividend Yield,ROCE,ROE
105,0.16,13.9,8.58

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2022,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,0.96,7.07,5.31,43.75,53.86,39.61,93.68,65.70,59.87,21.98,79.56,42.16,34.82
Expenses +,1.31,2.08,3.75,20.70,37.87,30.20,77.01,78.15,72.14,20.26,47.81,42.50,25.11
Operating Profit,-0.35,4.99,1.56,23.05,15.99,9.41,16.67,-12.45,-12.27,1.72,31.75,-0.34,9.71
OPM %,-36.46%,70.58%,29.38%,52.69%,29.69%,23.76%,17.79%,-18.95%,-20.49%,7.83%,39.91%,-0.81%,27.89%
Other Income +,1.12,16.72,0.98,1.85,0.91,0.33,2.58,14.50,-10.55,0.68,-12.20,12.64,-0.57
Interest,0.09,0.13,0.01,0.00,0.01,0.01,-0.11,0.46,0.19,0.24,0.23,0.41,1.07
Depreciation,0.00,0.41,0.09,0.26,0.51,0.41,0.76,0.79,0.68,0.66,0.63,0.60,0.16
Profit before tax,0.68,21.17,2.44,24.64,16.38,9.32,18.60,0.80,-23.69,1.50,18.69,11.29,7.91
Tax %,-11.76%,6.00%,15.57%,24.03%,28.33%,25.21%,21.77%,-60.00%,-11.36%,36.67%,32.96%,40.21%,6.57%
Net Profit +,0.76,19.90,2.06,18.72,11.75,6.97,14.56,1.28,-21.00,0.96,12.92,6.86,7.19
EPS in Rs,0.35,9.83,0.94,8.55,4.10,2.29,4.39,1.53,-7.57,0.34,5.06,0.71,2.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,2,3,1,3,4,14,117,262,179
Expenses +,3,2,2,2,3,5,68,257,136
Operating Profit,-0,1,-1,1,2,9,48,5,43
OPM %,-15%,22%,-78%,35%,38%,62%,41%,2%,24%
Other Income +,0,0,0,0,0,16,2,4,1
Interest,0,0,0,0,0,0,1,1,2
Depreciation,0,0,0,0,0,0,2,3,2
Profit before tax,-0,0,-1,1,2,24,47,5,39
Tax %,10%,20%,1%,4%,3%,9%,22%,64%,30%
Net Profit +,-1,0,-2,1,4,22,37,2,28
EPS in Rs,-0.58,0.20,-1.27,0.36,1.59,9.83,12.40,0.58,8.05
Dividend Payout %,0%,0%,0%,0%,0%,2%,1%,55%,9%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.65,0.65,0.65,0.90,1,10,12,12,24
Reserves,4,5,3,5,12,28,97,181,222
Borrowings +,2,3,4,2,2,0,4,11,15
Other Liabilities +,1,1,1,1,4,10,63,66,83
Total Liabilities,8,9,8,10,20,48,177,270,344
Fixed Assets +,4,3,3,3,9,10,41,41,30
CWIP,0,0,0,0,0,0,0,0,0
Investments,3,4,4,5,8,33,50,129,159
Other Assets +,1,2,1,2,2,5,86,100,155
Total Assets,8,9,8,10,20,48,177,270,344

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-0,0,-0,1,2,10,-19,-31,-28
Cash from Investing Activity +,1,-0,-0,-1,-4,-8,-37,2,-9
Cash from Financing Activity +,-0,0,1,1,3,-2,67,28,26
Net Cash Flow,-0,0,0,0,0,1,12,-2,-11
Free Cash Flow,0,0,-1,0,2,9,-45,-35,-29
CFO/OP,50%,36%,52%,50%,113%,120%,-39%,-321%,-49%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16,25,49,144,41,15,7,3,21
Inventory Days,,,,,,,380,112,545
Days Payable,,,,,,,0,1,7
Cash Conversion Cycle,16,25,49,144,41,15,386,115,559
Working Capital Days,-30,45,-62,79,50,-90,145,109,260
ROCE %,,7%,-11%,13%,14%,79%,50%,3%,14%

--- SHAREHOLDING PATTERN ---
,Mar 2022,Sep 2022,Oct 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.48%,73.48%,73.48%,69.61%,66.24%,66.24%,66.24%,64.01%,63.27%,63.27%,63.27%,61.64%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,1.10%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.41%
Public +,26.52%,26.52%,26.51%,30.39%,33.76%,33.76%,33.76%,35.98%,36.73%,36.74%,35.23%,36.84%
No. of Shareholders,84,82,105,96,924,"1,101","1,008","1,159","1,186","1,012","1,152","1,507"

--- CAGR BOXES ---




