--- ABOUT ---
"Established in 1974, Lloyds Steels Industries is primarily engaged in the design, Manufacturing, and Commissioning of heavy equipment, machinery & systems for the HydroCarbon Sector, Oil & Gas, Steel Plants, Power Plants, Nuclear Plant Boilers, and Turnkey Projects. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,688",86.8,89.8,66.8

Book Value,Dividend Yield,ROCE,ROE
12.0,0.29,17.1,16.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,122,201,266,232,217,317,272,495
Expenses +,98,166,223,197,190,268,220,434
Operating Profit,24,36,44,35,27,49,53,61
OPM %,20%,18%,16%,15%,12%,15%,19%,12%
Other Income +,1,1,10,7,9,8,24,9
Interest,1,1,3,3,2,4,4,4
Depreciation,1,1,3,3,3,6,6,7
Profit before tax,23,35,48,35,30,47,67,59
Tax %,19%,23%,25%,36%,43%,8%,16%,34%
Net Profit +,19,27,36,20,30,54,67,46
EPS in Rs,0.13,0.19,0.24,0.12,0.20,0.44,0.52,0.33
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,846,"1,301"
Expenses +,711,"1,112"
Operating Profit,135,189
OPM %,16%,15%
Other Income +,24,50
Interest,9,14
Depreciation,10,22
Profit before tax,141,203
Tax %,23%,23%
Net Profit +,105,198
EPS in Rs,0.70,1.36
Dividend Payout %,28%,19%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,117,144
Reserves,531,"1,527"
Borrowings +,83,109
Other Liabilities +,260,590
Total Liabilities,991,"2,369"
Fixed Assets +,233,431
CWIP,63,71
Investments,16,77
Other Assets +,678,"1,790"
Total Assets,991,"2,369"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,158,-253
Cash from Investing Activity +,-109,-461
Cash from Financing Activity +,-45,788
Net Cash Flow,4,74
Free Cash Flow,92,-314
CFO/OP,145%,-116%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,117,67
Inventory Days,59,209
Days Payable,71,93
Cash Conversion Cycle,105,184
Working Capital Days,101,188
ROCE %,,17%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,May 2026
Promoters +,59.79%,59.79%,57.25%,57.25%,57.25%,56.39%,56.23%,49.36%,49.26%,49.26%,41.92%,41.92%
FIIs +,0.25%,1.03%,1.39%,2.12%,2.22%,2.87%,2.66%,2.22%,2.15%,1.93%,1.97%,2.11%
DIIs +,0.04%,0.09%,0.13%,0.14%,0.15%,0.16%,0.16%,0.15%,0.16%,0.16%,0.18%,0.18%
Public +,39.91%,39.09%,41.03%,40.45%,40.35%,40.57%,40.66%,48.26%,48.41%,48.63%,52.21%,55.62%
Others +,0.00%,0.00%,0.20%,0.03%,0.02%,0.00%,0.29%,0.02%,0.01%,0.01%,3.72%,0.17%
No. of Shareholders,"3,62,946","3,55,127","3,77,735","3,92,659","4,24,312","4,24,038","4,24,677","4,36,749","4,29,812","4,24,439","4,18,248","4,13,793"

--- CAGR BOXES ---




