--- ABOUT ---
"Incorporated in 2005, Sanathan Textiles Ltd manufactures and exports polyester yarn, cotton yarn and yarn for technical textile [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,710",440,564,48.0

Book Value,Dividend Yield,ROCE,ROE
222,0.00,6.71,4.20

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,746,780,756,781,742,743,732,745,818,"1,079","1,169"
Expenses +,694,720,677,705,684,685,664,676,755,"1,021","1,075"
Operating Profit,52,61,79,76,58,58,68,70,63,57,94
OPM %,7%,8%,10%,10%,8%,8%,9%,9%,8%,5%,8%
Other Income +,6,2,10,7,4,5,3,2,7,4,6
Interest,5,6,5,5,5,5,2,5,18,36,37
Depreciation,11,11,11,11,11,12,12,12,18,31,32
Profit before tax,41,45,72,67,45,47,57,55,33,-5,31
Tax %,26%,23%,28%,25%,28%,27%,24%,27%,40%,-6%,31%
Net Profit +,30,34,52,50,33,34,44,40,20,-5,22
EPS in Rs,4.20,4.76,7.26,6.96,4.53,4.05,5.17,4.79,2.38,-0.57,2.56
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,185","3,329","2,958","2,999","3,811"
Expenses +,"2,640","3,061","2,724","2,729","3,527"
Operating Profit,545,268,233,270,284
OPM %,17%,8%,8%,9%,7%
Other Income +,16,16,22,17,19
Interest,40,31,30,25,96
Depreciation,42,43,44,46,93
Profit before tax,479,209,181,216,115
Tax %,26%,27%,26%,26%,33%
Net Profit +,355,153,134,160,77
EPS in Rs,49.40,21.23,18.61,19.01,9.16
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,72,72,72,84,84
Reserves,915,"1,068","1,203","1,724","1,788"
Borrowings +,378,281,380,"1,084","1,512"
Other Liabilities +,428,486,549,636,"1,330"
Total Liabilities,"1,793","1,907","2,204","3,528","4,714"
Fixed Assets +,897,950,931,934,"2,819"
CWIP,2,21,141,"1,587",252
Investments,55,48,107,0,0
Other Assets +,839,888,"1,025","1,007","1,642"
Total Assets,"1,793","1,907","2,204","3,528","4,714"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,295,362,192,284,322
Cash from Investing Activity +,-96,-235,-245,"-1,342",-631
Cash from Financing Activity +,-199,-126,74,"1,059",289
Net Cash Flow,-1,1,21,1,-20
Free Cash Flow,254,149,-21,"-1,144",-264
CFO/OP,75%,156%,98%,127%,130%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16,16,16,18,21
Inventory Days,80,61,69,64,104
Days Payable,56,57,75,84,150
Cash Conversion Cycle,40,19,10,-1,-25
Working Capital Days,36,20,24,5,-7
ROCE %,,17%,14%,10%,7%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,78.58%,78.58%,78.58%,78.58%,78.58%,78.58%
FIIs +,3.75%,1.89%,2.19%,1.68%,1.47%,1.58%
DIIs +,8.89%,12.10%,12.32%,11.45%,12.03%,12.31%
Public +,8.79%,7.42%,6.91%,8.29%,7.92%,7.54%
No. of Shareholders,"69,433","46,282","31,997","30,132","27,932","26,483"

--- CAGR BOXES ---




