--- ABOUT ---
"Incorporated in 2017, Spencer’s Retail Ltd develops, conducts, and promotes organized retail. It operates departmental and neighborhood stores under various formats across the country [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
334,37.1,66.3,

Book Value,Dividend Yield,ROCE,ROE
-101,0.00,-8.41,

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,543,570,574,654,547,548,518,517,412,416,445,503,436
Expenses +,546,575,581,642,559,547,563,505,423,423,449,496,443
Operating Profit,-3,-5,-7,12,-12,1,-45,12,-11,-7,-4,7,-7
OPM %,-0%,-1%,-1%,2%,-2%,0%,-9%,2%,-3%,-2%,-1%,1%,-2%
Other Income +,6,12,3,6,4,28,61,3,11,11,4,1,9
Interest,33,34,36,38,41,43,40,41,41,40,41,43,45
Depreciation,32,38,31,32,32,30,64,22,27,26,23,23,23
Profit before tax,-61,-64,-70,-51,-81,-44,-87,-47,-68,-62,-64,-58,-66
Tax %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,-61,-64,-70,-51,-81,-43,-87,-47,-68,-62,-64,-58,-66
EPS in Rs,-6.79,-7.12,-7.78,-5.68,-8.95,-4.82,-9.67,-5.25,-7.59,-6.84,-7.08,-6.47,-7.28
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018 13m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,149","2,187","2,645","2,428","2,300","2,453","2,345","1,995","1,800"
Expenses +,"1,153","2,178","2,587","2,420","2,275","2,448","2,354","2,038","1,811"
Operating Profit,-4,9,57,8,25,4,-9,-43,-11
OPM %,-0%,0%,2%,0%,1%,0%,-0%,-2%,-1%
Other Income +,9,28,32,53,76,32,23,104,26
Interest,4,7,82,91,97,115,148,164,169
Depreciation,15,25,138,134,126,132,132,143,96
Profit before tax,-14,4,-131,-164,-122,-211,-267,-247,-250
Tax %,0%,43%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
Net Profit +,-14,2,-131,-164,-121,-210,-266,-246,-249
EPS in Rs,,0.27,-14.51,-18.18,-13.48,-23.34,-29.53,-27.33,-27.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,40,40,45,45,45,45,45,45
Reserves,507,508,234,141,17,-196,-461,-707,-958
Borrowings +,1,0,849,944,"1,069","1,341","1,622","1,571","1,919"
Other Liabilities +,373,365,471,429,435,439,490,400,390
Total Liabilities,881,914,"1,594","1,559","1,565","1,629","1,696","1,310","1,396"
Fixed Assets +,239,263,"1,055","1,053","1,049","1,132","1,211",953,971
CWIP,0,1,10,3,8,2,1,0,0
Investments,7,23,24,35,94,94,56,43,36
Other Assets +,635,627,505,468,415,401,428,314,389
Total Assets,881,914,"1,594","1,559","1,565","1,629","1,696","1,310","1,396"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-48,-13,114,-2,55,27,35,37,-60
Cash from Investing Activity +,-189,22,-7,-18,-40,-26,11,-20,-8
Cash from Financing Activity +,38,-0,-54,-3,-54,-5,-28,-27,92
Net Cash Flow,-199,9,53,-24,-40,-4,18,-10,24
Free Cash Flow,-55,-58,71,-25,31,1,3,21,-69
CFO/OP,"1,079%",-107%,212%,23%,219%,271%,-364%,-83%,575%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12,7,9,4,4,3,4,3,5
Inventory Days,109,57,44,51,52,49,52,39,47
Days Payable,123,66,66,63,67,64,75,72,76
Cash Conversion Cycle,-2,-1,-13,-8,-10,-12,-19,-30,-24
Working Capital Days,-1,-2,-40,-50,-63,-79,-99,-137,-192
ROCE %,,2%,-6%,-7%,-2%,-8%,-10%,-10%,-8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%,58.81%
FIIs +,8.45%,8.45%,8.84%,9.38%,8.32%,8.31%,8.54%,8.74%,7.56%,7.36%,6.50%,6.55%
DIIs +,2.37%,2.37%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%,1.99%
Government +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,30.21%,30.21%,30.20%,29.65%,30.72%,30.73%,30.48%,30.29%,31.47%,31.67%,32.54%,32.48%
Others +,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%
No. of Shareholders,"58,660","57,358","51,018","49,190","49,192","51,367","50,829","50,376","50,376","49,994","49,221","48,360"

--- CAGR BOXES ---




