--- ABOUT ---
"Commercial Engineers & Body Builders Company Ltd (CEBBCO) is primarily involved in the business of manufacturing metal fabrication comprising load bodies for commercial vehicles, rail freight wagons, and components. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,851",277,394,64.7

Book Value,Dividend Yield,ROCE,ROE
69.7,0.36,9.16,6.39

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,712,753,879,896,"1,115",880,"1,009","1,030","1,045",459,786,890,780
Expenses +,620,657,759,773,970,743,870,887,898,400,683,778,701
Operating Profit,91,97,121,123,146,137,139,143,147,59,103,113,79
OPM %,13%,13%,14%,14%,13%,16%,14%,14%,14%,13%,13%,13%,10%
Other Income +,1,2,6,5,12,8,10,15,12,17,-0,9,2
Interest,9,8,10,11,11,13,17,14,17,16,19,18,16
Depreciation,6,7,7,7,8,12,13,14,15,16,16,17,18
Profit before tax,78,84,110,110,139,120,119,130,127,44,68,87,46
Tax %,49%,25%,25%,26%,25%,23%,25%,26%,20%,29%,33%,28%,41%
Net Profit +,39,63,82,81,105,92,89,96,103,31,45,62,27
EPS in Rs,1.01,1.57,2.05,1.98,2.55,2.23,2.11,2.29,2.43,0.77,1.10,1.47,0.67
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,996,"1,178","2,068","3,644","3,963","2,916"
Expenses +,889,"1,065","1,819","3,157","3,398","2,562"
Operating Profit,106,114,249,487,566,354
OPM %,11%,10%,12%,13%,14%,12%
Other Income +,2,3,5,25,44,28
Interest,21,18,29,41,60,70
Depreciation,21,23,25,28,54,67
Profit before tax,66,76,200,442,496,245
Tax %,19%,34%,40%,25%,23%,32%
Net Profit +,53,50,121,331,380,166
EPS in Rs,5.97,5.55,3.12,8.04,9.00,4.00
Dividend Payout %,0%,0%,16%,7%,14%,25%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,387,387,387,412,424,427
Reserves,246,295,416,"1,204","2,330","2,551"
Borrowings +,138,139,288,349,502,996
Other Liabilities +,220,250,543,975,743,738
Total Liabilities,991,"1,072","1,634","2,940","3,999","4,712"
Fixed Assets +,418,428,464,831,972,"1,119"
CWIP,21,22,27,54,66,266
Investments,2,8,11,93,164,236
Other Assets +,550,615,"1,131","1,962","2,797","3,092"
Total Assets,991,"1,072","1,634","2,940","3,999","4,712"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,67,60,78,-19,104,9
Cash from Investing Activity +,-60,-49,-122,-464,-628,-688
Cash from Financing Activity +,22,-17,121,489,842,454
Net Cash Flow,30,-6,76,5,318,-224
Free Cash Flow,37,23,9,-143,-403,-524
CFO/OP,67%,54%,35%,18%,39%,28%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,26,22,38,49,75,95
Inventory Days,120,130,114,127,94,188
Days Payable,70,58,46,71,50,69
Cash Conversion Cycle,77,94,106,105,119,213
Working Capital Days,34,44,25,44,62,114
ROCE %,,12%,24%,31%,21%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.37%,72.37%,70.12%,70.12%,70.12%,68.11%,68.11%,68.11%,68.11%,68.09%,68.31%,68.31%
FIIs +,0.27%,0.86%,1.26%,2.28%,4.14%,3.45%,3.44%,3.86%,4.45%,4.42%,4.48%,4.19%
DIIs +,2.26%,1.01%,2.05%,1.92%,0.92%,2.00%,1.73%,1.71%,1.39%,1.03%,0.75%,0.78%
Public +,25.10%,25.77%,26.55%,25.68%,24.82%,26.43%,26.70%,26.32%,26.06%,26.46%,26.45%,26.70%
No. of Shareholders,"46,791","96,707","1,27,324","1,75,669","2,27,473","2,93,306","3,09,767","3,83,418","3,81,237","3,87,636","3,88,294","3,86,428"

--- CAGR BOXES ---




