--- ABOUT ---
"Adani Green Energy Limited, incorporated in 2015, is a holding company of several subsidiaries carrying business of renewable power generation within the group and is primarily involved in renewable power generation and other ancillary activities. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,47,472","1,502","1,545",135

Book Value,Dividend Yield,ROCE,ROE
121,0.00,7.39,11.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,598","2,162","2,220","2,311","2,527","2,794","3,005","2,340","3,073","3,800","3,008","2,618","3,502"
Expenses +,334,81,521,645,693,415,788,460,671,758,405,377,620
Operating Profit,"2,264","2,081","1,699","1,666","1,834","2,379","2,217","1,880","2,402","3,042","2,603","2,241","2,882"
OPM %,87%,96%,77%,72%,73%,85%,74%,80%,78%,80%,87%,86%,82%
Other Income +,265,178,353,264,234,271,294,280,39,189,158,208,117
Interest,"1,338","1,393","1,165","1,242","1,224","1,426","1,448","1,251","1,368","1,525","1,635","1,698","1,626"
Depreciation,392,451,474,481,497,596,621,618,663,767,834,886,885
Profit before tax,799,415,413,207,347,628,442,291,410,939,292,-135,488
Tax %,38%,34%,29%,33%,24%,28%,6%,-37%,29%,25%,-81%,-27%,11%
Net Profit +,507,323,371,256,310,629,515,474,383,824,644,5,514
EPS in Rs,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45,4.39,3.54,-0.25,2.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016 15m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,28,502,"1,480","2,058","2,549","3,124","5,133","7,776","9,220","11,212","12,928"
Expenses +,14,98,637,532,"1,099",883,"1,621","2,806","1,881","2,323","2,143"
Operating Profit,13,403,843,"1,526","1,450","2,241","3,512","4,970","7,339","8,889","10,785"
OPM %,48%,80%,57%,74%,57%,72%,68%,64%,80%,79%,83%
Other Income +,7,80,42,73,-111,391,507,667,"1,323","1,316","1,072"
Interest,23,334,552,"1,121",995,"1,953","2,617","2,911","5,088","5,492","6,484"
Depreciation,6,333,543,"1,062",394,486,849,"1,300","1,903","2,498","3,372"
Profit before tax,-9,-184,-210,-585,-50,193,553,"1,426","1,671","2,215","2,001"
Tax %,3%,-75%,-35%,-19%,22%,6%,12%,32%,25%,10%,1%
Net Profit +,-9,-47,-138,-475,-68,182,489,973,"1,260","2,001","1,987"
EPS in Rs,-0.58,-0.37,-1.00,-3.03,-0.15,1.34,3.13,6.15,6.94,9.12,10.03
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,160,"1,274","1,564","1,564","1,564","1,564","1,564","1,584","1,584","1,584","1,647"
Reserves,-9,-71,-223,369,792,636,"1,050","5,720","9,058","10,553","18,318"
