--- ABOUT ---
"Satin Network Limited (SCNL) is a leading microfinance institution (MFI) with presence in 23 states & union territory and 95,000 villages. The company offers a bouquet of financial products in the Non‐MFI segment (comprising loans to MSMEs), a housing finance subsidiary, and business correspondent services and similar services to other financial Institutions through Taraashna Financial Services Limited (TFSL), a business correspondent company and a 100% subsidiary of SCNL. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,601",235,247,7.83

Book Value,Dividend Yield,ROCE,ROE
259,0.00,13.8,12.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,429,462,538,596,642,633,657,684,615,709,788,740,920
Interest,158,185,217,247,252,251,266,268,264,297,344,289,381
Expenses +,132,156,173,192,217,237,323,398,327,352,373,355,320
Financing Profit,139,121,148,156,173,145,68,19,24,60,71,96,218
Financing Margin %,32%,26%,28%,26%,27%,23%,10%,3%,4%,8%,9%,13%,24%
Other Income +,0,1,1,1,5,2,1,4,1,5,5,5,3
Depreciation,8,4,6,6,6,6,7,7,8,6,7,8,9
Profit before tax,132,118,143,151,171,141,62,15,18,58,69,93,212
Tax %,25%,25%,25%,25%,25%,25%,27%,5%,-20%,22%,23%,23%,24%
Net Profit +,99,88,107,113,128,105,45,14,22,45,53,72,162
EPS in Rs,11.57,9.93,10.72,10.24,11.61,9.53,4.05,1.29,1.98,4.08,4.81,6.51,14.67
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,801,"1,031","1,443","1,500","1,377","1,378","1,549","2,234","2,595","3,143"
Interest,436,536,646,589,638,631,617,901,"1,049","1,311"
Expenses +,322,365,471,685,737,700,911,733,"1,290","1,387"
Financing Profit,44,130,326,225,2,47,22,600,256,445
Financing Margin %,5%,13%,23%,15%,0%,3%,1%,27%,10%,14%
Other Income +,0,0,3,4,3,3,2,6,7,18
Depreciation,6,15,13,18,15,16,18,23,27,30
Profit before tax,38,116,316,212,-10,34,5,583,236,432
Tax %,34%,35%,36%,27%,43%,39%,8%,25%,21%,23%
Net Profit +,25,75,201,155,-14,21,5,436,186,332
EPS in Rs,4.78,11.43,29.72,21.52,-1.94,2.76,0.56,39.46,16.85,30.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,37,47,49,52,66,75,85,110,110,110
Reserves,600,838,"1,101","1,397","1,420","1,507","1,543","2,291","2,433","2,753"
Borrowing,"3,889","5,161","5,271","5,542","6,181","5,744","5,911","7,910","8,791","10,991"
Other Liabilities +,251,253,321,309,377,330,310,174,253,532
Total Liabilities,"4,778","6,299","6,741","7,300","8,045","7,655","7,850","10,485","11,587","14,387"
Fixed Assets +,73,75,81,94,131,126,129,133,137,159
CWIP,12,16,16,34,4,0,0,0,0,7
Investments,21,72,264,246,1,49,62,51,55,151
Other Assets +,"4,672","6,136","6,380","6,926","7,909","7,481","7,659","10,301","11,395","14,069"
Total Assets,"4,778","6,299","6,741","7,300","8,045","7,655","7,850","10,485","11,587","14,387"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-966,"-1,541",611,-225,-945,336,-956,"-2,069",-563,-974
Cash from Investing Activity +,-36,-55,-187,56,226,-51,-73,-24,-45,-123
Cash from Financing Activity +,"1,398","1,394",88,243,734,-442,390,"2,259",914,"1,873"
Net Cash Flow,395,-203,512,73,15,-157,-639,166,305,777
Free Cash Flow,"-1,003","-1,562",592,-204,-965,331,-966,"-2,081",-582,"-1,002"
CFO/OP,-196%,-230%,70%,-19%,-146%,56%,-144%,-136%,-37%,-54%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,4%,10%,20%,12%,-1%,1%,0%,22%,8%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,41.70%,39.98%,36.06%,36.17%,36.17%,36.17%,36.17%,36.17%,36.17%,36.17%,36.17%,36.17%
FIIs +,6.72%,6.93%,9.58%,6.67%,7.14%,6.09%,4.83%,4.52%,4.32%,3.90%,3.55%,3.52%
DIIs +,5.19%,3.95%,8.27%,6.92%,7.04%,6.59%,6.11%,6.35%,7.15%,5.18%,5.18%,5.30%
Public +,45.83%,48.65%,45.66%,49.81%,49.21%,50.70%,52.45%,52.53%,51.92%,54.30%,54.67%,54.58%
Others +,0.55%,0.48%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%,0.44%
No. of Shareholders,"20,166","23,527","28,795","44,333","41,951","50,610","52,490","50,129","49,904","48,704","46,944","44,277"

--- CAGR BOXES ---




