--- ABOUT ---
"Apollo Pipes is engaged in manufacturing and trading of cPVC, uPVC, and HDPE pipes, PVC taps, fittings, water storage tank and solvent etc. It is among the top 10 leading piping solution providing Company in India. The products cater to an array of industrial applications such as Agriculture, Water Management, Construction,Infrastructure,and Telecom ducting segments."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,177",494,554,291

Book Value,Dividend Yield,ROCE,ROE
186,0.14,2.10,0.93

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,56.27,50.05,70.67,83.14,255.60,308.50,250.44,307.93,314.78,275.00,235.71,247.18,347.02
Expenses +,49.31,44.97,61.19,76.87,230.19,279.54,231.03,284.66,290.74,254.32,219.94,235.17,328.98
Operating Profit,6.96,5.08,9.48,6.27,25.41,28.96,19.41,23.27,24.04,20.68,15.77,12.01,18.04
OPM %,12.37%,10.15%,13.41%,7.54%,9.94%,9.39%,7.75%,7.56%,7.64%,7.52%,6.69%,4.86%,5.20%
Other Income +,0.09,0.11,0.92,0.87,0.33,0.99,0.64,0.28,3.36,3.00,5.35,0.57,1.49
Interest,0.93,1.08,0.65,0.74,1.47,2.23,3.70,3.13,1.93,2.44,2.51,2.43,3.05
Depreciation,1.11,1.07,1.46,1.32,8.46,9.93,10.58,11.78,12.25,12.12,14.50,15.21,15.06
Profit before tax,5.01,3.04,8.29,5.08,15.81,17.79,5.77,8.64,13.22,9.12,4.11,-5.06,1.42
Tax %,37.33%,34.54%,34.50%,37.80%,56.36%,21.98%,31.54%,26.16%,25.26%,10.53%,66.42%,-6.13%,109.86%
Net Profit +,3.15,1.99,5.43,3.17,6.90,13.88,3.95,6.39,9.87,8.16,1.39,-4.75,-0.13
EPS in Rs,1.05,0.67,3.62,2.11,1.71,3.02,1.01,1.41,2.22,1.85,0.37,-0.74,0.22
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Sales +,100,233,268,987,"1,182","1,105"
Expenses +,92,209,236,890,"1,085","1,038"
Operating Profit,8,24,32,97,97,66
OPM %,8%,10%,12%,10%,8%,6%
Other Income +,9,0,0,4,5,10
Interest,3,5,4,6,12,10
Depreciation,2,4,5,30,45,57
Profit before tax,13,15,24,65,45,10
Tax %,9%,35%,35%,34%,25%,51%
Net Profit +,12,10,16,43,34,5
EPS in Rs,3.87,3.34,5.27,10.84,7.41,1.70
Dividend Payout %,0%,0%,0%,9%,9%,41%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,39,44,44
Reserves,19,24,32,535,749,775
Borrowings +,45,34,20,69,93,124
Other Liabilities +,38,43,64,357,331,343
Total Liabilities,107,106,121,"1,000","1,217","1,286"
Fixed Assets +,37,45,49,497,555,571
CWIP,0,0,0,8,37,90
Investments,0,0,0,52,65,68
Other Assets +,69,60,71,443,560,556
Total Assets,107,106,121,"1,000","1,217","1,286"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,7,22,16,125,29,35
Cash from Investing Activity +,-40,-12,-9,-214,-151,-134
Cash from Financing Activity +,36,-11,-8,-64,205,45
Net Cash Flow,3,-1,-1,-153,83,-54
Free Cash Flow,-33,10,8,28,-101,-85
CFO/OP,106%,111%,69%,148%,42%,65%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,46,47,29,29,34
Inventory Days,125,31,47,102,94,114
Days Payable,46,20,39,85,77,90
Cash Conversion Cycle,151,57,54,46,46,58
Working Capital Days,44,18,43,-3,20,14
ROCE %,,22%,31%,,7%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.80%,50.80%,50.80%,50.77%,45.90%,45.90%,46.49%,46.84%,46.84%,46.84%,46.84%,51.72%
FIIs +,2.56%,2.67%,3.23%,4.24%,4.14%,4.47%,4.03%,3.47%,4.28%,3.71%,3.58%,2.22%
DIIs +,13.09%,14.87%,14.70%,14.68%,17.19%,16.59%,15.26%,14.08%,15.26%,14.59%,12.43%,10.77%
Public +,33.01%,31.11%,30.74%,29.87%,32.37%,32.62%,33.83%,35.29%,33.31%,34.57%,36.86%,35.01%
Others +,0.53%,0.53%,0.53%,0.43%,0.41%,0.41%,0.39%,0.32%,0.31%,0.31%,0.31%,0.29%
No. of Shareholders,"35,245","38,472","41,443","40,999","40,786","43,309","44,497","44,552","45,226","46,095","46,766","44,305"

--- CAGR BOXES ---




