--- ABOUT ---
"Incorporated in 2014, Krishival Foods Ltd is in the business of processing premium nuts, dry fruits, and ice cream. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,092",408,482,50.8

Book Value,Dividend Yield,ROCE,ROE
75.2,0.06,16.2,13.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2021,Dec 2021,Mar 2022,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,6.01,19.91,12.37,29.20,44.59,54.70,73.74,49.52,66.67,74.41,102.07
Expenses +,4.91,17.55,10.59,23.70,38.55,51.70,67.10,44.11,59.26,65.32,96.65
Operating Profit,1.10,2.36,1.78,5.50,6.04,3.00,6.64,5.41,7.41,9.09,5.42
OPM %,18.30%,11.85%,14.39%,18.84%,13.55%,5.48%,9.00%,10.92%,11.11%,12.22%,5.31%
Other Income +,0.15,0.01,0.05,0.03,1.63,0.18,2.23,2.30,2.23,2.44,4.77
Interest,0.68,0.29,0.36,0.25,0.22,0.32,0.38,0.54,0.74,1.19,0.65
Depreciation,0.42,0.36,0.36,0.75,0.76,1.29,1.54,1.31,1.49,2.06,2.56
Profit before tax,0.15,1.72,1.11,4.53,6.69,1.57,6.95,5.86,7.41,8.28,6.98
Tax %,60.00%,14.53%,22.52%,26.05%,26.01%,96.18%,25.18%,24.91%,21.73%,22.58%,20.06%
Net Profit +,0.06,1.46,0.85,3.35,4.94,0.05,5.20,4.40,5.80,6.41,5.59
EPS in Rs,0.04,0.87,0.37,1.31,1.93,0.45,1.60,1.67,2.20,2.40,2.12
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,50,44,28,52,70,103,202,293
Expenses +,47,40,25,45,60,89,181,265
Operating Profit,3,4,3,7,10,13,21,27
OPM %,7%,8%,11%,13%,15%,13%,10%,9%
Other Income +,0,0,0,0,1,2,4,12
Interest,1,1,1,2,1,1,1,3
Depreciation,2,2,2,1,1,2,4,7
Profit before tax,1,1,1,4,9,12,20,29
Tax %,39%,26%,35%,24%,27%,23%,31%,22%
Net Profit +,1,1,1,3,7,9,14,22
EPS in Rs,0.39,0.57,0.40,1.46,2.92,3.65,5.29,8.38
Dividend Payout %,38%,0%,0%,3%,5%,5%,4%,4%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,20,20,22,22,23
Reserves,3,5,5,22,45,100,113,169
Borrowings +,9,11,13,11,10,7,13,36
Other Liabilities +,7,2,3,1,2,4,25,21
Total Liabilities,33,32,36,54,76,132,173,250
Fixed Assets +,16,15,14,13,15,23,34,55
CWIP,0,0,0,0,0,0,2,11
Investments,1,0,1,1,1,1,1,1
Other Assets +,16,17,21,40,61,109,136,184
Total Assets,33,32,36,54,76,132,173,250

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-0,3,4,4,-29,-31,46,-15
Cash from Investing Activity +,1,-0,-1,-1,-2,-10,-28,-25
Cash from Financing Activity +,-3,-3,-2,16,13,44,-9,53
Net Cash Flow,-2,-0,1,20,-18,3,9,14
Free Cash Flow,-0,2,3,4,-32,-41,33,-52
CFO/OP,-5%,79%,109%,77%,-251%,-233%,226%,-28%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,56,21,8,3,22,40,41,61
Inventory Days,61,105,166,112,188,341,96,46
Days Payable,54,18,42,6,8,14,19,13
Cash Conversion Cycle,63,108,131,109,203,367,118,94
Working Capital Days,62,114,166,103,275,350,132,129
ROCE %,,7%,6%,14%,16%,13%,15%,16%

--- SHAREHOLDING PATTERN ---
,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,41.88%,41.88%,41.88%,37.19%,37.19%,37.19%,37.20%,37.21%,37.21%,37.21%,37.23%
FIIs +,0.00%,0.05%,0.00%,11.55%,11.55%,11.80%,10.13%,0.89%,0.89%,0.90%,0.54%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,10.92%,0.00%,0.00%,1.33%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.92%,10.92%,9.50%
Public +,58.12%,58.07%,58.12%,51.27%,51.27%,51.01%,50.99%,50.98%,50.98%,50.98%,51.41%
No. of Shareholders,586,253,270,285,285,331,463,786,"1,265","1,652","1,927"

--- CAGR BOXES ---




