--- ABOUT ---
"Century Textiles and Industries Ltd has transformed from a single-unit textile entity in 1987 into a commercial powerhouse with interests in diverse industries. Currently, the business house is a trendsetter in cotton textiles and also has a remarkable presence in the Pulp and Paper and Real Estate sectors. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,291","1,280","2,460",

Book Value,Dividend Yield,ROCE,ROE
331,0.16,-4.26,-7.43

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,981.79,894.47,862.93,"1,070.25",814.23,353.29,266.38,204.44,394.76,145.56,97.84,81.17,82.61
Expenses +,835.20,758.75,813.78,879.01,614.84,315.69,239.46,222.41,425.39,187.95,171.60,171.81,248.17
Operating Profit,146.59,135.72,49.15,191.24,199.39,37.60,26.92,-17.97,-30.63,-42.39,-73.76,-90.64,-165.56
OPM %,14.93%,15.17%,5.70%,17.87%,24.49%,10.64%,10.11%,-8.79%,-7.76%,-29.12%,-75.39%,-111.67%,-200.41%
Other Income +,117.86,-53.65,-11.65,3.09,-113.92,19.34,13.54,-7.96,-119.16,32.07,70.67,18.92,128.78
Interest,8.50,5.92,10.35,7.68,10.36,11.00,15.49,7.75,11.50,7.06,17.73,19.01,20.60
Depreciation,48.91,50.48,51.29,53.32,15.24,16.12,15.74,16.12,15.83,15.50,15.73,17.77,18.50
Profit before tax,207.04,25.67,-24.14,133.33,59.87,29.82,9.23,-49.80,-177.12,-32.88,-36.55,-108.50,-75.88
Tax %,31.22%,127.50%,36.16%,40.04%,65.53%,41.82%,69.45%,-14.92%,-23.67%,-17.64%,-51.24%,-30.59%,-107.10%
Net Profit +,142.41,-7.06,-32.87,79.95,20.64,17.35,2.82,-42.37,-135.20,-27.08,-17.82,-75.31,5.39
EPS in Rs,13.01,-0.53,-2.73,7.46,0.34,0.70,0.23,-3.63,-11.73,-2.28,-1.41,-6.52,0.97
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"7,645","3,898","3,944","3,423","2,617","4,131","3,832","1,101","1,219",407
Expenses +,"6,721","3,092","2,992","2,855","2,393","3,687","3,265",879,"1,203",780
Operating Profit,924,805,951,568,224,444,567,221,16,-372
OPM %,12%,21%,24%,17%,9%,11%,15%,20%,1%,-91%
Other Income +,62,138,"5,673",14,43,51,101,-21,-94,250
Interest,551,212,102,87,71,52,34,30,46,64
Depreciation,313,199,193,229,231,231,196,59,64,68
Profit before tax,122,532,"6,330",267,-35,212,437,112,-188,-254
Tax %,14%,30%,4%,-35%,-4%,24%,40%,46%,-16%,-55%
Net Profit +,105,372,"6,063",360,-34,162,265,60,-157,-115
EPS in Rs,9.40,33.27,542.81,32.70,-2.73,14.91,24.34,4.52,-14.44,-9.24
Dividend Payout %,59%,20%,1%,9%,-37%,27%,21%,111%,-14%,-27%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,112,112,112,112,112,112,112,112,112,112
Reserves,"2,370","2,636","3,182","3,368","3,393","3,607","3,775","3,867","3,729","3,589"
Borrowings +,"5,700","4,369","1,020","1,400","1,049","1,336","1,059","2,502","4,997","5,636"
Other Liabilities +,"2,154","3,214","1,861","1,868","2,141","2,684","3,465","4,018","7,646","10,895"
Total Liabilities,"10,336","10,331","6,175","6,747","6,693","7,739","8,411","10,499","16,483","20,233"
Fixed Assets +,"7,309","7,256","4,430","4,293","4,139","4,059","3,952","3,734","1,437","1,367"
CWIP,34,35,275,176,210,211,190,58,26,18
Investments,258,223,183,107,238,409,228,692,"1,085","1,512"
Other Assets +,"2,734","2,817","1,287","2,171","2,106","3,060","4,041","6,015","13,935","17,336"
Total Assets,"10,336","10,331","6,175","6,747","6,693","7,739","8,411","10,499","16,483","20,233"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,940,"2,209",548,-23,566,-51,271,-315,"-1,293",747
Cash from Investing Activity +,-247,-195,-123,-241,-92,-176,138,-524,-438,-588
Cash from Financing Activity +,-175,"-1,795",-677,392,-471,207,-553,"1,272","2,218",299
Net Cash Flow,518,219,-253,128,4,-21,-144,433,487,458
Free Cash Flow,794,"2,056",472,-225,481,-177,283,-490,"-1,413",661
CFO/OP,105%,289%,78%,18%,180%,3%,61%,-81%,"-7,452%",-233%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24,39,19,19,22,19,15,55,31,15
Inventory Days,232,328,174,362,486,429,716,,,"23,880"
Days Payable,129,190,130,133,200,158,173,,,"1,428"
Cash Conversion Cycle,126,178,64,248,308,290,558,55,31,"22,467"
Working Capital Days,-109,-182,-19,-16,54,-4,37,592,517,"3,916"
ROCE %,,10%,112%,8%,1%,5%,8%,4%,-0%,-4%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%,50.21%
FIIs +,8.07%,6.64%,6.42%,7.46%,8.52%,9.41%,9.53%,9.28%,9.11%,9.11%,8.96%,9.04%
DIIs +,15.24%,16.10%,17.39%,16.54%,15.76%,15.90%,15.33%,15.86%,16.74%,16.43%,16.90%,16.40%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,25.36%,25.93%,24.86%,24.68%,24.41%,23.43%,23.89%,23.60%,22.89%,23.22%,22.91%,23.34%
Others +,1.12%,1.12%,1.12%,1.12%,1.12%,1.05%,1.05%,1.05%,1.05%,1.03%,1.02%,1.00%
No. of Shareholders,"73,789","72,014","68,301","69,463","91,178","98,994","1,07,955","1,06,615","1,05,295","1,07,236","1,01,623","96,982"

--- CAGR BOXES ---




