--- ABOUT ---
"Tarsons Products Ltd. (TPL) is an Indian labware company engaged in the designing, development, manufacturing, and marketing of 'consumables', 'reusables' and 'others' including benchtop equipment, used in various laboratories across research organizations, academia institutes, pharmaceutical companies, Contract Research Organizations, Diagnostic companies, and hospitals [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,397",263,405,92.8

Book Value,Dividend Yield,ROCE,ROE
119,0.00,4.56,2.38

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2021,Dec 2021,Mar 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,76.05,70.66,84.94,61.79,105.72,84.80,99.25,95.68,112.69,91.36,102.33,107.89,120.93
Expenses +,37.58,37.52,40.61,38.91,75.48,66.04,73.94,66.04,75.67,66.66,74.88,76.37,86.66
Operating Profit,38.47,33.14,44.33,22.88,30.24,18.76,25.31,29.64,37.02,24.70,27.45,31.52,34.27
OPM %,50.59%,46.90%,52.19%,37.03%,28.60%,22.12%,25.50%,30.98%,32.85%,27.04%,26.82%,29.21%,28.34%
Other Income +,1.45,2.46,2.58,3.24,3.38,2.91,8.43,0.85,3.78,3.34,5.80,7.07,6.83
Interest,1.56,1.37,0.45,2.51,4.25,4.32,4.84,5.03,5.20,5.07,5.18,6.05,6.25
Depreciation,4.81,5.35,7.24,10.06,12.33,11.03,14.03,17.41,20.03,19.94,22.48,25.04,29.08
Profit before tax,33.55,28.88,39.22,13.55,17.04,6.32,14.87,8.05,15.57,3.03,5.59,7.50,5.77
Tax %,25.78%,25.66%,24.89%,26.72%,39.50%,36.39%,30.80%,34.66%,34.49%,41.25%,40.61%,32.93%,27.56%
Net Profit +,24.90,21.47,29.46,9.93,10.32,4.02,10.29,5.26,10.20,1.78,3.32,5.04,4.18
EPS in Rs,4.89,4.04,5.54,1.87,1.94,0.76,1.93,0.99,1.92,0.33,0.62,0.95,0.79
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,229,301,296,392,423
Expenses +,125,148,196,282,305
Operating Profit,103,153,100,111,118
OPM %,45%,51%,34%,28%,28%
Other Income +,5,8,11,16,23
Interest,3,4,10,20,23
Depreciation,14,22,40,62,97
Profit before tax,92,135,61,45,22
Tax %,25%,25%,30%,34%,35%
Net Profit +,69,101,43,30,14
EPS in Rs,"3,583.25",18.92,8.01,5.60,2.69
Dividend Payout %,0%,0%,25%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.19,11,11,11,11
Reserves,244,479,602,620,624
Borrowings +,34,22,269,339,393
Other Liabilities +,18,33,90,111,158
Total Liabilities,296,544,972,"1,080","1,186"
Fixed Assets +,120,189,336,536,733
CWIP,22,32,267,233,159
Investments,0,0,0,0,0
Other Assets +,153,323,369,311,295
Total Assets,296,544,972,"1,080","1,186"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,68,83,103,114,118
Cash from Investing Activity +,-64,-138,-285,-145,-130
Cash from Financing Activity +,-27,130,136,39,9
Net Cash Flow,-23,75,-47,8,-3
Free Cash Flow,6,-48,-81,-37,-7
CFO/OP,89%,77%,121%,117%,107%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,75,79,96,74,74
Inventory Days,277,478,572,355,341
Days Payable,35,75,65,44,53
Cash Conversion Cycle,317,482,602,385,361
Working Capital Days,108,150,-1,38,-20
ROCE %,,35%,,7%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.31%,47.30%,47.30%
FIIs +,8.64%,7.85%,6.83%,8.16%,7.95%,8.04%,7.51%,9.53%,9.14%,5.82%,2.46%,0.87%
DIIs +,7.38%,3.15%,2.60%,0.17%,0.11%,0.21%,0.51%,0.30%,0.04%,0.08%,0.00%,0.19%
Public +,36.67%,41.68%,43.27%,44.36%,44.63%,44.45%,44.69%,42.89%,43.50%,46.79%,50.23%,51.65%
No. of Shareholders,"1,07,440","1,08,236","1,07,564","1,02,866","1,05,330","99,586","96,927","93,417","90,891","88,966","87,336","84,093"

--- CAGR BOXES ---




