--- ABOUT ---
"Hindustan Unilever is in the FMCG business comprising primarily of Home Care, Beauty & Personal Care and Foods & Refreshment segments. The Company has manufacturing facilities across the country and sells primarily in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,15,641","2,195","2,660",33.9

Book Value,Dividend Yield,ROCE,ROE
207,1.87,28.4,31.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"15,215","15,496","15,623","15,567","15,210","15,707","15,926","15,556","15,190","16,514","15,919","16,441","16,351"
Expenses +,"11,643","11,832","11,828","11,902","11,675","11,965","12,139","11,867","11,572","12,797","12,137","12,660","12,514"
Operating Profit,"3,572","3,664","3,795","3,665","3,535","3,742","3,787","3,689","3,618","3,717","3,782","3,781","3,837"
OPM %,23%,24%,24%,24%,23%,24%,24%,24%,24%,23%,24%,23%,23%
Other Income +,240,146,178,184,309,209,203,733,149,74,269,"4,048",503
Interest,29,50,88,91,105,93,110,109,77,127,124,88,76
Depreciation,291,286,297,313,320,329,338,318,318,361,322,337,348
Profit before tax,"3,492","3,474","3,588","3,445","3,419","3,529","3,542","3,995","3,372","3,303","3,605","7,404","3,916"
Tax %,26%,26%,26%,27%,25%,26%,27%,25%,27%,16%,25%,11%,24%
Net Profit +,"2,601","2,556","2,657","2,508","2,561","2,612","2,595","2,989","2,475","2,768","2,694","6,603","2,994"
EPS in Rs,11.07,10.87,11.30,10.68,10.89,11.11,11.03,12.70,10.49,11.73,11.43,28.12,12.73
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"31,972","32,186","33,162","35,545","39,310","39,783","47,028","52,446","60,580","61,896","61,328","64,468"
Expenses +,"26,560","26,276","26,834","28,046","30,430","29,922","35,402","39,589","46,433","47,237","46,630","49,429"
Operating Profit,"5,412","5,910","6,328","7,499","8,880","9,861","11,626","12,857","14,147","14,659","14,698","15,039"
OPM %,17%,18%,19%,21%,23%,25%,25%,25%,23%,24%,24%,23%
Other Income +,"1,247",486,606,353,322,424,170,219,448,817,"1,355","4,923"
Interest,18,17,35,26,33,118,117,106,114,334,381,410
Depreciation,322,353,432,520,565,"1,002","1,074","1,091","1,137","1,216","1,253","1,333"
Profit before tax,"6,320","6,026","6,467","7,306","8,604","9,165","10,605","11,879","13,344","13,926","14,419","18,219"
Tax %,31%,31%,31%,28%,30%,26%,25%,25%,24%,26%,26%,17%
Net Profit +,"4,376","4,151","4,490","5,227","6,060","6,756","7,999","8,892","10,143","10,282","10,671","15,059"
EPS in Rs,20.17,19.18,20.68,24.09,27.97,31.17,34.03,37.79,43.07,43.74,45.32,64.01
Dividend Payout %,74%,83%,82%,83%,78%,80%,119%,90%,91%,96%,117%,64%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,216,216,216,216,216,216,235,235,235,235,235,235
Reserves,"3,811","6,357","6,528","7,065","7,651","8,013","47,439","48,826","50,069","50,983","49,167","48,504"
