--- ABOUT ---
"Incorporated in 2006, TBO Tek Ltd is in the business of operating multiple online technology platforms and providing access to book global travel inventory aggregated through travel suppliers like airlines, hotels, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,177","1,490","1,765",66.8

Book Value,Dividend Yield,ROCE,ROE
143,0.00,18.0,17.6

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,281,345,352,327,369,418,451,422,446,511,568,784,814
Expenses +,245,278,283,271,304,340,375,367,381,437,479,684,709
Operating Profit,36,67,70,56,66,79,75,55,65,74,88,100,105
OPM %,13%,19%,20%,17%,18%,19%,17%,13%,15%,14%,16%,13%,13%
Other Income +,6,-4,1,12,7,15,15,20,25,20,15,7,13
Interest,2,2,2,3,4,6,6,6,5,5,9,15,15
Depreciation,7,6,7,8,15,12,13,13,14,14,16,26,30
Profit before tax,34,54,62,57,53,76,71,57,71,75,78,66,74
Tax %,16%,13%,10%,11%,13%,19%,16%,12%,17%,16%,14%,19%,18%
Net Profit +,28,47,56,51,46,61,60,50,59,63,68,54,60
EPS in Rs,2.57,4.59,5.41,4.93,4.47,5.61,5.53,4.60,5.43,5.80,6.22,4.94,5.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,343,441,571,142,483,"1,065","1,393","1,737","2,677"
Expenses +,292,395,484,163,451,876,"1,132","1,453","2,308"
Operating Profit,51,46,87,-21,32,189,261,285,370
OPM %,15%,10%,15%,-15%,7%,18%,19%,16%,14%
Other Income +,9,-1,18,5,37,24,21,75,54
Interest,5,6,5,2,7,14,19,33,44
Depreciation,1,5,12,11,16,25,36,52,86
Profit before tax,53,34,88,-30,46,174,227,275,293
Tax %,33%,23%,17%,16%,27%,15%,12%,16%,17%
Net Profit +,36,26,73,-34,34,148,201,230,244
EPS in Rs,187.62,138.92,384.79,-180.13,3.23,13.84,19.39,21.17,22.50
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,2,10,10,10,11,11
Reserves,130,159,238,202,221,330,534,"1,184","1,540"
Borrowings +,-0,21,17,8,63,71,210,214,756
Other Liabilities +,462,644,536,364,976,"2,147","4,100","4,797","7,002"
Total Liabilities,594,826,793,576,"1,271","2,558","4,855","6,206","9,309"
Fixed Assets +,2,44,35,23,92,136,349,345,"1,633"
CWIP,-0,-0,4,9,0,-0,14,39,-0
Investments,0,0,0,0,0,0,2,173,263
Other Assets +,592,782,755,545,"1,179","2,422","4,490","5,649","7,413"
Total Assets,594,826,793,576,"1,271","2,558","4,855","6,206","9,309"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,6,93,-3,51,198,237,226,289,-21
Cash from Investing Activity +,7,-39,-6,-28,-27,-85,-154,-443,-418
Cash from Financing Activity +,-5,-5,-8,-5,-16,-14,115,365,441
Net Cash Flow,8,49,-18,17,156,138,188,210,3
Free Cash Flow,5,75,-12,43,184,230,188,236,-87
CFO/OP,34%,231%,11%,-255%,674%,138%,97%,112%,9%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,311,314,194,309,401,537,867,853,724
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,311,314,194,309,401,537,867,853,724
Working Capital Days,-81,-129,-36,-391,-234,-137,-114,-104,-98
ROCE %,,29%,42%,1%,18%,53%,43%,27%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,44.40%,44.40%,44.40%,44.40%,44.40%,44.40%,44.40%,44.40%
FIIs +,42.79%,43.06%,38.05%,31.61%,30.11%,30.73%,30.85%,29.71%
DIIs +,6.61%,6.59%,11.78%,17.88%,19.18%,18.90%,19.01%,20.34%
Public +,3.98%,3.72%,3.60%,3.99%,4.27%,3.96%,3.83%,3.87%
Others +,2.22%,2.22%,2.17%,2.11%,2.03%,1.99%,1.89%,1.66%
No. of Shareholders,"32,696","31,523","32,900","33,572","36,588","36,262","38,109","37,625"

--- CAGR BOXES ---




