--- ABOUT ---
"Incorporated in 1991, Cura Technologies Ltd is in the business of Information Technology, Consulting services, Pharma, and Manpower placement [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
81.2,82.1,343,

Book Value,Dividend Yield,ROCE,ROE
-127,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Other Assets +,9.94,9.78,9.67,6.47,39.99,53.20,44.80,100.71,107.32,43.20,20.35
Total Assets,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity +,2.01,2.45,3.00,5.20,-69.04,-10.27,13.57,-1.95,12.25,-10.17,5.06
Cash from Investing Activity +,-0.71,-0.66,-1.50,-4.05,-19.34,-1.43,-9.10,-8.41,0.00,9.47,-0.12
Cash from Financing Activity +,-0.42,-1.59,-1.61,-2.27,95.68,13.81,-7.71,2.22,-11.71,-0.43,-6.09
Net Cash Flow,0.88,0.20,-0.11,-1.12,7.30,2.11,-3.25,-8.14,0.54,-1.13,-1.16
Free Cash Flow,1.65,2.20,1.72,0.74,-85.55,-11.70,4.48,-10.36,12.25,-0.70,4.94
CFO/OP,-285%,-130%,-261%,-281%,"-3,489%",111%,"-1,859%",-291%,-135%,9%,-172%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Debtor Days,271.77,361.28,"1,034.57","1,406.32",160.42,143.89,195.85,267.94,248.66,152.17,203.30
Inventory Days,,"2,024.88",,,,,,,,,
Days Payable,,208.57,,,,,,,,,
Cash Conversion Cycle,271.77,"2,177.59","1,034.57","1,406.32",160.42,143.89,195.85,267.94,248.66,152.17,203.30
Working Capital Days,624.86,697.72,"1,264.21","1,884.04",102.26,-25.46,-33.03,195.06,-394.88,-399.28,-943.11
ROCE %,,4.45%,12.86%,15.84%,8.48%,-10.17%,-3.27%,2.51%,-5.27%,-158.89%,

--- SHAREHOLDING PATTERN ---
,Mar 2022,Jun 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,28.77%,28.77%,28.77%,12.55%,12.55%,12.55%,12.55%,81.36%,75.20%,75.20%,75.20%,74.94%
DIIs +,0.66%,0.66%,0.66%,0.16%,0.16%,0.16%,0.16%,0.03%,0.03%,0.03%,0.03%,0.03%
Public +,70.56%,70.56%,70.57%,87.30%,87.30%,87.28%,87.28%,18.60%,24.77%,24.76%,24.76%,25.01%
No. of Shareholders,"3,034","3,034","3,026","3,025","3,025","2,319","2,319","2,319","2,190","2,608","2,703","2,632"

--- CAGR BOXES ---




