--- ABOUT ---
"Incorporated in 1991, Cura Technologies Ltd is in the business of Information Technology, Consulting services, Pharma, and Manpower placement [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
81.2,82.1,343,

Book Value,Dividend Yield,ROCE,ROE
-127,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,3.68,2.94,1.51,0.68,52.97,47.46,46.63,38.51,33.35,28.64,23.43
Expenses +,4.46,4.94,2.90,2.87,51.02,55.75,47.36,37.84,42.42,148.09,26.37
Operating Profit,-0.78,-2.00,-1.39,-2.19,1.95,-8.29,-0.73,0.67,-9.07,-119.45,-2.94
OPM %,-21.20%,-68.03%,-92.05%,-322.06%,3.68%,-17.47%,-1.57%,1.74%,-27.20%,-417.07%,-12.55%
Other Income +,3.54,3.81,5.07,5.59,5.31,4.66,3.54,3.28,3.43,3.29,3.33
Interest,0.45,0.40,0.29,0.02,3.14,4.98,4.73,2.79,11.71,8.69,6.09
Depreciation,0.77,0.77,0.60,0.64,1.24,8.29,6.54,1.13,1.17,1.50,0.83
Profit before tax,1.54,0.64,2.79,2.74,2.88,-16.90,-8.46,0.03,-18.52,-126.35,-6.53
Tax %,18.83%,23.44%,22.58%,35.04%,34.72%,5.98%,-2.72%,-300.00%,-2.81%,0.55%,1.99%
Net Profit +,1.25,0.49,2.16,1.78,1.88,-17.91,-8.23,0.12,-18.01,-127.05,-6.67
EPS in Rs,,,,,2.71,-18.81,-8.61,0.13,-18.85,-132.97,-6.98
Dividend Payout %,28.80%,48.98%,27.78%,16.85%,18.43%,-1.06%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,6.00,6.00,6.00,6.00,6.93,9.52,9.56,9.56,9.56,9.56,9.56
Reserves,14.41,14.66,16.22,17.70,37.49,47.66,46.28,42.17,62.89,-90.25,-130.77
Borrowings +,4.28,3.05,1.68,0.00,73.68,58.98,56.09,61.10,73.36,82.98,84.46
Other Liabilities +,2.55,2.87,3.26,2.90,15.51,26.64,31.31,85.20,55.00,60.46,75.93
Total Liabilities,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18
Fixed Assets +,16.10,15.36,14.77,15.28,86.34,79.27,78.32,76.61,75.94,11.47,10.71
CWIP,0.00,0.18,1.46,4.85,7.28,10.33,20.12,20.71,17.55,8.08,8.12
Investments,1.20,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
