--- ABOUT ---
"Gujarat Narmada Valley Fertilizers & Chemicals Limited (GNFC), is a joint sector enterprise promoted by the Gujarat State Investments Limited (GSIL), a Government of Gujarat undertaking, and the Gujarat State Fertilizers & Chemicals Ltd.(GSFC). The company was set up in Bharuch in 1976 while its manufacturing and marketing operations were started in 1982. The company operates businesses mainly in the Industrial Chemicals, Fertilizers apart from the small presence of IT services. In the chemical segment, it has a product portfolio of various bulk chemicals that are used in industries for manufacturing various specialty chemicals as well as end products."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,341",568,581,10.3

Book Value,Dividend Yield,ROCE,ROE
620,3.17,12.0,9.13

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,271","1,652","2,080","2,088","2,110","2,021","1,917","1,899","2,055","1,601","1,968","1,996","2,208"
Expenses +,"1,902","1,547","1,911","2,004","1,965","1,868","1,827","1,767","1,815","1,570","1,783","1,815","1,726"
Operating Profit,369,105,169,84,145,153,90,132,240,31,185,181,482
OPM %,16%,6%,8%,4%,7%,8%,5%,7%,12%,2%,9%,9%,22%
Other Income +,123,88,152,121,108,99,123,157,122,150,127,97,125
Interest,1,1,1,7,4,17,2,3,1,2,1,1,2
Depreciation,74,76,78,76,78,78,76,75,74,74,81,73,79
Profit before tax,417,116,242,122,171,157,135,211,287,105,230,204,526
Tax %,20%,27%,26%,22%,26%,27%,24%,25%,27%,26%,23%,26%,25%
Net Profit +,336,88,182,97,130,118,105,163,211,83,179,150,396
EPS in Rs,21.62,5.66,11.71,6.60,8.85,8.03,7.15,11.09,14.36,5.65,12.18,10.21,26.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,642","4,552","4,589","5,837","5,896","5,162","5,129","8,642","10,227","7,930","7,892","7,773"
Expenses +,"4,662","3,989","4,228","4,445","5,022","4,621","4,125","6,259","8,348","7,428","7,277","6,894"
Operating Profit,-21,563,361,"1,392",874,542,"1,003","2,384","1,879",502,615,879
OPM %,-0%,12%,8%,24%,15%,10%,20%,28%,18%,6%,8%,11%
Other Income +,52,252,809,140,215,153,237,209,361,469,501,499
Interest,274,297,203,100,6,5,20,3,5,13,23,6
Depreciation,209,251,251,270,263,264,272,292,303,308,303,307
Profit before tax,-452,268,715,"1,162",819,425,948,"2,298","1,932",651,790,"1,065"
Tax %,0%,35%,27%,32%,10%,-17%,27%,26%,24%,26%,26%,25%
Net Profit +,-443,180,529,795,750,508,697,"1,710","1,472",497,598,808
EPS in Rs,-28.50,11.57,34.02,51.15,48.24,32.69,44.84,110.05,94.68,33.83,40.68,54.99
Dividend Payout %,0%,17%,15%,15%,15%,15%,18%,9%,32%,49%,44%,38%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,155,155,155,155,155,155,155,155,155,147,147,147
Reserves,"2,364","3,168","3,700","4,362","4,909","5,144","5,913","7,835","8,950","8,162","8,429","8,968"
Borrowings +,"3,844","3,101","1,959",303,208,860,4,2,2,3,106,6
Other Liabilities +,"2,164","2,130","2,142","2,411","2,337","2,261","2,321","2,764","2,613","2,405","2,366","2,238"
Total Liabilities,"8,527","8,555","7,956","7,231","7,609","8,421","8,394","10,755","11,720","10,717","11,047","11,359"
