--- ABOUT ---
"Interglobe Aviation Ltd (Indigo) is India’s largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing “low fares, on-time flights, and a courteous and hassle-free service” to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,94,160","5,022","6,232",

Book Value,Dividend Yield,ROCE,ROE
180,0.20,7.12,-12.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"14,161","16,683","14,944","19,452","17,825","19,571","16,970","22,111","22,152","20,496","18,555","23,472","22,438"
Expenses +,"11,409","11,709","12,744","14,303","13,832","14,412","15,338","16,932","16,062","15,270","17,976","18,104","21,628"
Operating Profit,"2,752","4,974","2,200","5,149","3,994","5,159","1,631","5,179","6,089","5,226",580,"5,367",810
OPM %,19%,30%,15%,26%,22%,26%,10%,23%,27%,26%,3%,23%,4%
Other Income +,440,478,559,610,680,678,789,882,946,"1,046","1,044",-478,"1,142"
Interest,918,954,"1,021","1,095","1,099","1,158","1,240","1,308","1,374","1,396","1,465","1,545","1,485"
Depreciation,"1,353","1,408","1,549","1,666","1,803","1,876","2,088","2,226","2,491","2,566","2,640","2,782","2,820"
Profit before tax,920,"3,091",189,"2,998","1,771","2,804",-907,"2,527","3,169","2,311","-2,482",562,"-2,352"
Tax %,0%,0%,0%,0%,-7%,3%,9%,3%,3%,6%,4%,2%,8%
Net Profit +,919,"3,091",189,"2,998","1,895","2,729",-987,"2,449","3,068","2,176","-2,582",549,"-2,537"
EPS in Rs,23.84,80.16,4.90,77.68,49.09,70.70,-25.54,63.38,79.38,56.31,-66.79,14.22,-65.60
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"18,580","23,021","28,497","35,756","14,641","25,931","54,446","68,904","80,803","84,962"
Expenses +,"16,362","19,991","28,646","31,666","14,626","25,356","47,915","52,548","62,701","72,978"
Operating Profit,"2,219","3,030",-149,"4,090",14,575,"6,531","16,356","18,102","11,983"
OPM %,12%,13%,-1%,11%,0%,2%,12%,24%,22%,14%
Other Income +,789,947,"1,325","1,531","1,037",726,"1,435","2,327","3,295","2,755"
Interest,406,413,563,"1,902","2,170","2,386","3,168","4,208","5,124","5,891"
Depreciation,457,437,760,"3,974","4,699","5,069","5,103","6,426","8,680","10,808"
Profit before tax,"2,144","3,127",-147,-256,"-5,818","-6,154",-304,"8,049","7,593","-1,960"
Tax %,23%,28%,-207%,-9%,-0%,0%,0%,-2%,4%,22%
Net Profit +,"1,659","2,242",157,-234,"-5,806","-6,162",-306,"8,172","7,258","-2,394"
EPS in Rs,45.90,58.33,4.09,-6.07,-150.85,-159.94,-7.93,211.73,187.84,-61.87
Dividend Payout %,74%,10%,122%,0%,0%,0%,0%,0%,5%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,361,384,384,385,385,385,386,386,386,387
Reserves,"3,418","6,693","6,561","5,493",-274,"-6,373","-6,638","1,610","8,982","6,584"
Borrowings +,"2,596","2,254","2,429","22,719","29,860","36,878","44,860","51,280","66,810","77,749"
Other Liabilities +,"8,834","11,798","15,651","13,504","13,081","15,073","20,562","28,948","39,666","51,282"
Total Liabilities,"15,210","21,129","25,026","42,101","43,051","45,963","59,170","82,224","115,844","136,002"
Fixed Assets +,"3,794","4,579","5,662","16,779","18,817","21,284","27,658","36,154","51,782","63,178"
CWIP,25,32,24,140,72,125,21,1,3,39
Investments,"3,713","6,344","6,517","9,499","7,339","8,106","11,558","16,546","26,093","27,675"
Other Assets +,"7,677","10,174","12,824","15,682","16,823","16,447","19,933","29,524","37,966","45,111"
Total Assets,"15,210","21,129","25,026","42,101","43,051","45,963","59,170","82,224","115,844","136,002"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"3,782","3,903","3,176","6,972","-1,614","2,091","12,728","21,218","24,151","23,470"
Cash from Investing Activity +,"-3,033","-4,151","-2,526","-4,574","3,179","1,504","-4,043","-11,812","-12,758","-1,952"
Cash from Financing Activity +,"-1,401",766,-592,"-2,407","-1,775","-3,088","-8,432","-9,979","-11,015","-21,276"
Net Cash Flow,-652,518,58,-9,-210,506,253,-573,378,241
Free Cash Flow,"4,158","2,683","1,469","5,910","-2,035","1,750","12,163","20,120","22,558","21,767"
CFO/OP,190%,153%,"-2,197%",178%,"-10,784%",398%,201%,133%,136%,198%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,3,4,5,3,5,5,3,3,3,3
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,3,4,5,3,5,5,3,3,3,3
Working Capital Days,-72,-70,-64,-147,-416,-287,-141,-144,-123,-19
ROCE %,,40%,0%,5%,-14%,-13%,7%,24%,17%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.77%,63.25%,63.12%,57.29%,55.29%,49.29%,49.27%,49.27%,43.54%,41.58%,41.57%,41.57%
FIIs +,19.76%,20.29%,18.70%,23.66%,24.43%,25.40%,24.83%,25.12%,27.31%,28.44%,24.99%,21.64%
DIIs +,10.37%,13.25%,14.65%,15.03%,15.36%,20.59%,21.14%,20.66%,24.02%,24.58%,28.08%,31.14%
Government +,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.04%,0.04%
Public +,2.02%,3.16%,3.45%,3.95%,4.85%,4.64%,4.69%,4.88%,5.05%,5.32%,5.31%,5.60%
No. of Shareholders,"1,05,511","1,40,179","1,41,106","1,70,059","2,39,650","2,49,061","2,73,677","2,89,444","3,03,062","3,16,246","3,87,056","4,02,483"

--- CAGR BOXES ---




