--- ABOUT ---
"Federal-Mogul Goetze (India) Ltd manufactures, supplies, and distributes automotive components like pistons, piston rings, etc to two/three/four-wheeler automobiles in Indian and International markets. It was established in 1954 as a joint venture with Goetze-Werke of Germany. Goetze- Werke is owned by Federal-Mogul. Presently, It operates as a subsidiary of Tenneco Inc, post-Tenneco’s acquisition of Federal-Mogul. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,526",454,622 / 358,13.8

Book Value,Dividend Yield,ROCE,ROE
258,0.00,18.5,13.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,410,411,442,415,428,445,464,433,459,484,490,496,489
Expenses +,356,355,380,367,355,382,395,378,362,413,409,427,406
Operating Profit,53,56,63,48,72,63,69,55,97,71,82,68,82
OPM %,13%,14%,14%,11%,17%,14%,15%,13%,21%,15%,17%,14%,17%
Other Income +,8,7,6,10,9,11,11,10,12,13,12,-4,11
Interest,1,1,1,1,1,1,1,1,2,1,2,2,2
Depreciation,20,21,21,21,22,21,22,22,22,22,22,22,21
Profit before tax,40,41,47,35,59,51,57,42,85,61,70,40,69
Tax %,15%,24%,29%,26%,26%,27%,29%,27%,27%,26%,27%,24%,27%
Net Profit +,34,31,33,26,43,37,41,31,61,45,51,31,51
EPS in Rs,5.70,5.38,5.78,4.40,7.25,6.38,6.87,5.20,10.68,7.77,8.85,5.22,8.83
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 15m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,578","1,329","1,279","1,325","1,342","1,085","1,107","1,343","1,634","1,696","1,800","1,958"
Expenses +,"1,390","1,152","1,064","1,097","1,115",953,979,"1,177","1,423","1,453","1,507","1,656"
Operating Profit,189,178,215,228,227,132,128,166,211,243,294,303
OPM %,12%,13%,17%,17%,17%,12%,12%,12%,13%,14%,16%,15%
Other Income +,18,18,11,11,14,11,-33,7,18,28,36,33
Interest,33,26,17,7,6,4,3,5,5,6,7,7
Depreciation,93,78,79,77,86,93,84,87,84,85,87,88
Profit before tax,79,91,130,155,149,47,8,81,141,181,235,241
Tax %,36%,40%,36%,38%,36%,17%,37%,27%,24%,26%,28%,26%
Net Profit +,51,55,84,96,96,39,5,59,107,133,170,178
EPS in Rs,7.10,8.56,15.05,15.88,15.71,5.84,0.10,9.71,18.13,22.81,29.13,30.68
Dividend Payout %,123%,65%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,56,56,56,56,56,56,56,56,56,56,56,56
Reserves,415,455,558,648,739,762,765,820,924,"1,055","1,212","1,381"
Borrowings +,195,181,83,25,23,1,10,9,8,8,3,1
Other Liabilities +,374,423,384,361,353,356,489,456,499,472,490,574
Total Liabilities,"1,040","1,115","1,080","1,089","1,170","1,175","1,319","1,340","1,487","1,590","1,761","2,012"
Fixed Assets +,486,540,534,554,578,555,547,528,508,534,516,474
CWIP,57,32,48,35,28,42,29,48,85,55,24,72
Investments,-0,-0,0,0,0,0,0,2,2,2,2,10
Other Assets +,496,543,499,500,563,578,743,762,893,999,"1,219","1,456"
Total Assets,"1,040","1,115","1,080","1,089","1,170","1,175","1,319","1,340","1,487","1,590","1,761","2,012"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,126,192,159,138,133,191,152,111,210,160,221,321
Cash from Investing Activity +,-97,-115,-86,-72,-121,-81,-20,-130,-58,-62,-17,-211
Cash from Financing Activity +,-22,-46,-100,-69,-8,-32,-8,-8,-8,-10,-12,-14
Net Cash Flow,8,32,-27,-3,4,78,124,-27,144,88,192,96
Free Cash Flow,23,81,73,55,28,117,94,16,111,81,174,207
CFO/OP,97%,122%,91%,85%,83%,161%,134%,79%,117%,84%,93%,134%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,42,53,55,60,65,66,87,72,61,61,68,50
Inventory Days,139,166,177,178,195,208,185,140,110,112,103,112
Days Payable,142,183,173,160,161,211,287,230,192,169,170,194
Cash Conversion Cycle,40,36,59,79,100,63,-15,-18,-21,4,1,-32
Working Capital Days,3,13,31,51,65,61,48,45,25,32,32,13
ROCE %,16%,16%,20%,21%,19%,6%,6%,10%,15%,17%,20%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%
FIIs +,0.49%,0.63%,0.45%,0.44%,0.53%,0.76%,0.47%,0.30%,0.44%,0.68%,0.54%,0.38%
DIIs +,1.43%,1.13%,1.13%,0.61%,0.00%,0.13%,0.31%,0.22%,0.34%,0.43%,0.44%,0.49%
Public +,23.09%,23.24%,23.42%,23.94%,24.47%,24.13%,24.23%,24.49%,24.23%,23.90%,24.02%,24.13%
No. of Shareholders,"31,157","32,038","35,212","35,142","32,331","31,065","31,482","30,677","30,646","30,458","29,556","29,894"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,4%
5 Years:,12%
3 Years:,6%
TTM:,9%

Compounded Profit Growth
10 Years:,14%
5 Years:,105%
3 Years:,22%
TTM:,9%

Stock Price CAGR
10 Years:,3%
5 Years:,6%
3 Years:,6%
1 Year:,-14%

Return on Equity
10 Years:,10%
5 Years:,12%
3 Years:,13%
Last Year:,13%

